run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23036031 EN023_r02c02_Dep00Ch00_F20/0/00/3    58.22     0.63     969.09     0.68    20.09  -0.0309   0   Good 
23036031 EN024_r02c03_Dep00Ch01_F20/0/01/2    39.56     0.64     954.17     0.65    19.90  -0.0315   0   Good 
23036031 EN025_r02c04_Dep00Ch02_F20/0/01/3    60.16     0.66    1083.72     0.71    21.71  -0.0261   0   Good 
23036031 EN026_r02c05_Dep00Ch03_F20/0/02/2    45.97     0.63    1181.01     0.74    23.31  -0.0226   0   Good 
23036031 EN045_r03c02_Dep00Ch04_F00/0/00/1    94.29     0.67     904.23     0.63    19.18  -0.0341   0   Good 
23036031 EN046_r03c03_Dep00Ch05_F00/0/01/0    53.23     0.65    1015.84     0.72    20.62  -0.0289   0   Good 
23036031 EN047_r03c04_Dep00Ch06_F00/0/01/1    58.69     0.65     978.33     0.71    20.35  -0.0303   0   Good 
23036031 EN048_r03c05_Dep00Ch07_F00/0/02/0    67.81     0.64    1066.88     0.73    21.69  -0.0265   0   Good 
23036031 EN067_r04c02_Dep00Ch08_F00/0/00/3    86.31     0.65     899.84     0.65    18.94  -0.0345   0   Good 
23036031 EN068_r04c03_Dep00Ch09_F00/0/01/2    67.80     0.65    1067.21     0.74    21.27  -0.0269   0   Good 
23036031 EN069_r04c04_Dep00Ch10_F00/0/01/3    56.34     0.65    1223.02     0.77    22.83  -0.0222   0   Good 
23036031 EN070_r04c05_Dep00Ch11_F00/0/02/2    84.45     0.67    1066.01     0.84    22.58  -0.0257   0   Good 
23036031 EN089_r05c02_Dep00Ch12_F01/0/00/1    61.24     0.65    1125.95     0.74    22.02  -0.0248   0   Good 
23036031 EN090_r05c03_Dep00Ch13_F01/0/01/0    55.97     0.66     831.74     0.63    18.16  -0.0383   0   Good 
23036031 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.39     0.67     965.71     0.64    19.02  -0.0321   0   Good 
23036031 EN092_r05c05_Dep00Ch15_F01/0/02/0    56.32     0.65    1059.29     0.77    21.96  -0.0265   0   Good 
23036031 EN111_r06c02_Dep00Ch16_F01/0/00/3    84.56     0.65    1074.97     0.89    24.01  -0.0242   0   Good 
23036031 EN112_r06c03_Dep00Ch17_F01/0/01/2    51.61     0.67     871.16     0.71    19.14  -0.0354   0   Good 
23036031 EN113_r06c04_Dep00Ch18_F01/0/01/3    79.02     0.67     837.29     0.62    18.68  -0.0374   0   Good 
23036031 EN114_r06c05_Dep00Ch19_F01/0/02/2    47.02     0.68    1106.98     0.80    22.28  -0.0250   0   Good 
23036031 EN133_r07c02_Dep00Ch20_F22/0/00/1    51.64     0.66     833.79     0.67    20.33  -0.0356   0   Good 
23036031 EN134_r07c03_Dep00Ch21_F22/0/01/0    78.49     0.65     660.86     0.56    16.52  -0.0507   0   Good 
23036031 EN135_r07c04_Dep00Ch22_F22/0/01/1    58.99     0.67     756.25     0.61    17.33  -0.0432   0   Good 
23036031 EN136_r07c05_Dep00Ch23_F22/0/02/0    52.07     0.68     893.26     0.64    19.46  -0.0342   0   Good 
23036031 EN155_r08c02_Dep00Ch24_F22/0/00/3    68.16     0.65     677.34     0.53    16.43  -0.0496   0   Good 
23036031 EN156_r08c03_Dep00Ch25_F22/0/01/2    61.44     0.67     637.87     0.55    15.99  -0.0533   0   Good 
23036031 EN157_r08c04_Dep00Ch26_F22/0/01/3    59.13     0.65     709.50     0.52    15.99  -0.0479   0   Good 
23036031 EN158_r08c05_Dep00Ch27_F22/0/02/2    39.97     0.67     945.06     0.63    18.49  -0.0333   0   Good 
23036031 EN177_r09c02_Dep00Ch28_F05/0/00/1    82.62     0.68     556.37     0.45    13.79  -0.0651   0   Good 
23036031 EN178_r09c03_Dep00Ch29_F05/0/01/0    60.10     0.69     705.96     0.54    16.48  -0.0475   0   Good 
23036031 EN179_r09c04_Dep00Ch30_F05/0/01/1    90.14     0.65     869.08     0.59    18.01  -0.0368   0   Good 
23036031 EN180_r09c05_Dep00Ch31_F05/0/02/0    73.13     0.61     909.72     0.57    17.94  -0.0352   0   Good 
23036031 EN027_r02c06_Dep01Ch00_F20/0/02/3    81.58     0.63     909.76     0.78    22.30  -0.0305   0   Good 
23036031 EN028_r02c07_Dep01Ch01_F20/0/03/2    69.14     0.66     756.48     0.59    17.94  -0.0424   0   Good 
23036031 EN029_r02c08_Dep01Ch02_F20/0/03/3    91.15     0.63     857.86     0.65    19.08  -0.0360   0   Good 
23036031 EN030_r02c09_Dep01Ch03_F20/0/04/2    47.14     0.63     974.28     0.65    19.64  -0.0312   0   Good 
23036031 EN049_r03c06_Dep01Ch04_F00/0/02/1    52.12     0.62    1080.13     0.89    24.05  -0.0240   0   Good 
23036031 EN050_r03c07_Dep01Ch05_F00/0/03/0    92.78     0.63     779.92     0.65    18.89  -0.0399   0   Good 
23036031 EN051_r03c08_Dep01Ch06_F00/0/03/1    70.22     0.61     838.96     0.71    19.30  -0.0366   0   Good 
23036031 EN052_r03c09_Dep01Ch07_F00/0/04/0    78.19     0.64     914.64     0.63    19.49  -0.0334   0   Good 
23036031 EN071_r04c06_Dep01Ch08_F00/0/02/3   113.34     0.63     948.37     0.77    20.74  -0.0309   0   Good 
23036031 EN072_r04c07_Dep01Ch09_F00/0/03/2    93.37     0.63     839.44     0.72    19.98  -0.0358   0   Good 
23036031 EN073_r04c08_Dep01Ch10_F00/0/03/3    72.31     0.64     894.16     0.70    20.39  -0.0331   0   Good 
23036031 EN074_r04c09_Dep01Ch11_F00/0/04/2    69.83     0.65     867.10     0.63    19.33  -0.0354   0   Good 
23036031 EN093_r05c06_Dep01Ch12_F01/0/02/1    61.34     0.64     992.50     0.91    24.16  -0.0260   0   Good 
23036031 EN094_r05c07_Dep01Ch13_F01/0/03/0    78.06     0.66     628.84     0.59    16.80  -0.0528   0   Good 
23036031 EN095_r05c08_Dep01Ch14_F01/0/03/1    62.81     0.67     696.28     0.63    17.17  -0.0472   0   Good 
23036031 EN096_r05c09_Dep01Ch15_F01/0/04/0    71.79     0.63     907.78     0.67    19.46  -0.0336   0   Good 
23036031 EN115_r06c06_Dep01Ch16_F01/0/02/3    80.07     0.67     957.75     0.76    20.82  -0.0305   0   Good 
23036031 EN116_r06c07_Dep01Ch17_F01/0/03/2    53.97     0.65     684.98     0.58    16.92  -0.0483   0   Good 
23036031 EN117_r06c08_Dep01Ch18_F01/0/03/3    75.22     0.66     867.51     0.72    19.97  -0.0346   0   Good 
23036031 EN118_r06c09_Dep01Ch19_F01/0/04/2    38.21     0.65     972.80     0.74    21.29  -0.0295   0   Good 
