run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23006020 EN023_r02c02_Dep00Ch00_F20/0/00/3    56.54     0.63    1032.59     0.71    20.99  -0.0281   0   Good 
23006020 EN024_r02c03_Dep00Ch01_F20/0/01/2    37.62     0.66    1014.00     0.69    21.42  -0.0282   0   Good 
23006020 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.93     0.65    1151.93     0.76    23.35  -0.0231   0   Good 
23006020 EN026_r02c05_Dep00Ch03_F20/0/02/2    43.68     0.66    1249.46     0.84    23.48  -0.0212   0   Good 
23006020 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.47     0.66     991.73     0.77    21.66  -0.0286   0   Good 
23006020 EN046_r03c03_Dep00Ch05_F00/0/01/0    51.60     0.64    1110.52     0.79    22.04  -0.0252   0   Good 
23006020 EN047_r03c04_Dep00Ch06_F00/0/01/1    57.75     0.66    1068.57     0.83    22.56  -0.0257   0   Good 
23006020 EN048_r03c05_Dep00Ch07_F00/0/02/0    66.42     0.55    1147.66     0.78    22.95  -0.0236   0   Good 
23006020 EN067_r04c02_Dep00Ch08_F00/0/00/3    85.64     0.65     990.30     0.71    21.45  -0.0288   0   Good 
23006020 EN068_r04c03_Dep00Ch09_F00/0/01/2    66.03     0.65    1171.44     0.81    23.45  -0.0227   0   Good 
23006020 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.22     0.64    1339.15     0.89    25.11  -0.0186   0   Good 
23006020 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.41     0.65    1149.70     0.89    24.43  -0.0222   0   Good 
23006020 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.48     0.66    1254.87     0.82    24.76  -0.0201   0   Good 
23006020 EN090_r05c03_Dep00Ch13_F01/0/01/0    54.78     0.68     919.05     0.69    20.39  -0.0322   0   Good 
23006020 EN091_r05c04_Dep00Ch14_F01/0/01/1    60.28     0.69    1067.04     0.68    20.40  -0.0277   0   Good 
23006020 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.52     0.64    1159.52     0.87    23.69  -0.0227   0   Good 
23006020 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.74     0.64    1207.86     1.01    27.20  -0.0189   0   Good 
23006020 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.64     0.65     966.28     0.74    21.19  -0.0298   0   Good 
23006020 EN113_r06c04_Dep00Ch18_F01/0/01/3    77.51     0.67     929.27     0.67    20.36  -0.0319   0   Good 
23006020 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.69     0.61    1216.06     0.76    23.86  -0.0215   0   Good 
23006020 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.14     0.65     979.64     0.93    22.88  -0.0277   0   Good 
23006020 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.63     0.64     757.12     0.64    18.20  -0.0420   0   Good 
23006020 EN135_r07c04_Dep00Ch22_F22/0/01/1    57.42     0.65     864.18     0.67    19.97  -0.0347   0   Good 
23006020 EN136_r07c05_Dep00Ch23_F22/0/02/0    50.17     0.66    1002.40     0.75    20.85  -0.0291   0   Good 
23006020 EN155_r08c02_Dep00Ch24_F22/0/00/3    66.13     0.65     799.77     0.69    19.85  -0.0377   0   Good 
23006020 EN156_r08c03_Dep00Ch25_F22/0/01/2    60.16     0.66     734.66     0.58    17.01  -0.0449   0   Good 
23006020 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.09     0.66     813.91     0.56    17.53  -0.0399   0   Good 
23006020 EN158_r08c05_Dep00Ch27_F22/0/02/2    37.60     0.67    1062.44     0.68    20.06  -0.0282   0   Good 
23006020 EN177_r09c02_Dep00Ch28_F05/0/00/1    80.67     0.66     689.20     0.55    16.32  -0.0489   0   Good 
23006020 EN178_r09c03_Dep00Ch29_F05/0/01/0    57.68     0.67     834.43     0.64    18.39  -0.0379   0   Good 
23006020 EN179_r09c04_Dep00Ch30_F05/0/01/1    86.48     0.65    1017.24     0.65    19.45  -0.0300   0   Good 
23006020 EN180_r09c05_Dep00Ch31_F05/0/02/0    71.67     0.68    1019.52     0.64    19.79  -0.0296   0   Good 
