run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22335027 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.21     0.66    1258.13     1.31    41.66  -0.0066   0   Good 
22335027 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.31     0.67    1216.85     1.28    41.23  -0.0072   0   Good 
22335027 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.33     0.67    1387.95     1.35    43.91  -0.0044   0   Good 
22335027 EN026_r02c05_Dep00Ch03_F20/0/02/2    37.96     0.69    1510.46     1.41    44.50  -0.0036   0   Good 
22335027 EN045_r03c02_Dep00Ch04_F00/0/00/1    86.74     0.68    1219.37     1.28    40.79  -0.0075   0   Good 
22335027 EN046_r03c03_Dep00Ch05_F00/0/01/0    45.57     0.65    1374.33     1.32    42.63  -0.0054   0   Good 
22335027 EN047_r03c04_Dep00Ch06_F00/0/01/1    52.64     0.66    1353.09     1.37    43.44  -0.0049   0   Good 
22335027 EN048_r03c05_Dep00Ch07_F00/0/02/0    60.32     0.66    1424.65     1.44    43.53  -0.0045   0   Good 
22335027 EN067_r04c02_Dep00Ch08_F00/0/00/3    81.73     0.65    1224.51     1.27    40.92  -0.0074   0   Good 
22335027 EN068_r04c03_Dep00Ch09_F00/0/01/2    59.71     0.65    1445.52     1.38    43.81  -0.0043   0   Good 
22335027 EN069_r04c04_Dep00Ch10_F00/0/01/3    48.45     0.68    1669.61     1.46    46.33  -0.0022   0   Good 
22335027 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.48     0.67    1432.80     1.35    42.97  -0.0049   0   Good 
22335027 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.48     0.66    1541.44     1.46    46.83  -0.0021   0   Good 
22335027 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.29     0.68    1110.87     1.15    38.15  -0.0107   0   Good 
22335027 EN091_r05c04_Dep00Ch14_F01/0/01/1    53.99     0.69    1285.25     1.25    39.61  -0.0081   0   Good 
22335027 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.37     0.68    1434.16     1.37    42.84  -0.0050   0   Good 
22335027 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.47     0.64    1488.45     1.43    45.50  -0.0030   0   Good 
22335027 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.35     0.63    1170.88     1.20    37.51  -0.0107   0   Good 
22335027 EN113_r06c04_Dep00Ch18_F01/0/01/3    71.93     0.68    1120.39     1.19    37.61  -0.0111   0   Good 
22335027 EN114_r06c05_Dep00Ch19_F01/0/02/2    40.69     0.68    1504.89     1.40    43.38  -0.0044   0   Good 
22335027 EN133_r07c02_Dep00Ch20_F22/0/00/1    43.75     0.66    1192.62     1.21    38.61  -0.0095   0   Good 
22335027 EN134_r07c03_Dep00Ch21_F22/0/01/0    71.38     0.66     922.08     1.10    34.25  -0.0171   0   Good 
22335027 EN135_r07c04_Dep00Ch22_F22/0/01/1    51.39     0.68    1051.77     1.16    36.95  -0.0124   0   Good 
22335027 EN136_r07c05_Dep00Ch23_F22/0/02/0    44.68     0.62    1223.99     1.19    39.34  -0.0087   0   Good 
22335027 EN155_r08c02_Dep00Ch24_F22/0/00/3    60.00     0.65     966.81     1.11    34.64  -0.0159   0   Good 
22335027 EN156_r08c03_Dep00Ch25_F22/0/01/2    54.00     0.66     895.03     1.05    33.45  -0.0185   0   Good 
22335027 EN157_r08c04_Dep00Ch26_F22/0/01/3    52.23     0.64     981.63     1.10    35.89  -0.0144   0   Good 
22335027 EN158_r08c05_Dep00Ch27_F22/0/02/2    33.19     0.66    1285.33     1.21    40.27  -0.0076   0   Good 
22335027 EN177_r09c02_Dep00Ch28_F05/0/00/1    75.46     0.64     833.66     0.97    31.12  -0.0226   0   Good 
22335027 EN178_r09c03_Dep00Ch29_F05/0/01/0    51.68     0.69     991.14     1.07    34.28  -0.0159   0   Good 
22335027 EN179_r09c04_Dep00Ch30_F05/0/01/1    82.55     0.65    1230.02     1.27    39.02  -0.0089   0   Good 
22335027 EN180_r09c05_Dep00Ch31_F05/0/02/0    66.34     0.66    1223.58     1.14    36.77  -0.0108   0   Good 
22335027 EN027_r02c06_Dep01Ch00_F20/0/02/3    75.10     0.60    1183.15     1.26    39.92  -0.0085   0   Good 
22335027 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.90     0.63     973.95     1.16    36.19  -0.0142   0   Good 
22335027 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.93     0.62    1084.09     1.19    37.01  -0.0120   0   Good 
22335027 EN030_r02c09_Dep01Ch03_F20/0/04/2    44.60     0.63    1200.17     1.22    40.21  -0.0082   0   Good 
22335027 EN049_r03c06_Dep01Ch04_F00/0/02/1    44.69     0.63    1472.79     1.50    45.78  -0.0029   0   Good 
22335027 EN050_r03c07_Dep01Ch05_F00/0/03/0    86.67     0.62    1027.44     1.19    37.67  -0.0120   0   Good 
22335027 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.85     0.64    1114.42     1.22    39.24  -0.0097   0   Good 
22335027 EN052_r03c09_Dep01Ch07_F00/0/04/0    71.42     0.63    1158.32     1.26    39.97  -0.0087   0   Good 
22335027 EN071_r04c06_Dep01Ch08_F00/0/02/3   110.75     0.59    1278.70     1.30    41.88  -0.0064   0   Good 
22335027 EN072_r04c07_Dep01Ch09_F00/0/03/2    86.72     0.62    1103.55     1.23    38.70  -0.0102   0   Good 
22335027 EN073_r04c08_Dep01Ch10_F00/0/03/3    65.98     0.62    1175.62     1.26    40.99  -0.0077   0   Good 
22335027 EN074_r04c09_Dep01Ch11_F00/0/04/2    64.67     0.63    1102.68     1.19    37.99  -0.0109   0   Good 
22335027 EN093_r05c06_Dep01Ch12_F01/0/02/1    54.82     0.62    1385.00     1.45    46.06  -0.0028   0   Good 
22335027 EN094_r05c07_Dep01Ch13_F01/0/03/0    71.04     0.60     858.91     1.02    33.27  -0.0195   0   Good 
22335027 EN095_r05c08_Dep01Ch14_F01/0/03/1    56.75     0.66     917.46     1.09    34.44  -0.0170   0   Good 
22335027 EN096_r05c09_Dep01Ch15_F01/0/04/0    64.94     0.63    1164.22     1.23    39.39  -0.0091   0   Good 
