run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22308003 EN023_r02c02_Dep00Ch00_F20/0/00/3    52.44     0.66    1281.01     1.24    40.20  -0.0076   0   Good 
22308003 EN024_r02c03_Dep00Ch01_F20/0/01/2    33.41     0.67    1241.99     1.27    40.48  -0.0077   0   Good 
22308003 EN025_r02c04_Dep00Ch02_F20/0/01/3    53.94     0.67    1418.21     1.27    41.55  -0.0060   0   Good 
22308003 EN026_r02c05_Dep00Ch03_F20/0/02/2    39.38     0.66    1545.44     1.32    44.44  -0.0036   0   Good 
22308003 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.57     0.64    1244.53     1.20    38.87  -0.0089   0   Good 
22308003 EN046_r03c03_Dep00Ch05_F00/0/01/0    47.08     0.65    1397.42     1.31    41.81  -0.0059   0   Good 
22308003 EN047_r03c04_Dep00Ch06_F00/0/01/1    55.56     0.64    1369.08     1.31    41.99  -0.0059   0   Good 
22308003 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.34     0.66    1451.99     1.29    41.65  -0.0057   0   Good 
22308003 EN067_r04c02_Dep00Ch08_F00/0/00/3    81.13     0.61    1249.54     1.25    40.25  -0.0078   0   Good 
22308003 EN068_r04c03_Dep00Ch09_F00/0/01/2    61.16     0.65    1472.58     1.36    43.86  -0.0042   0   Good 
22308003 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.93     0.64    1700.90     1.46    47.55  -0.0014   0   Good 
22308003 EN070_r04c05_Dep00Ch11_F00/0/02/2    78.21     0.66    1461.75     1.33    42.49  -0.0051   0   Good 
22308003 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.42     0.65    1567.21     1.37    44.77  -0.0033   0   Good 
22308003 EN090_r05c03_Dep00Ch13_F01/0/01/0    49.98     0.67    1132.91     1.15    37.42  -0.0111   0   Good 
22308003 EN091_r05c04_Dep00Ch14_F01/0/01/1    55.48     0.68    1308.23     1.27    40.99  -0.0069   0   Good 
22308003 EN092_r05c05_Dep00Ch15_F01/0/02/0    50.01     0.66    1464.81     1.29    41.65  -0.0057   0   Good 
22308003 EN111_r06c02_Dep00Ch16_F01/0/00/3    78.10     0.66    1518.82     1.47    45.45  -0.0030   0   Good 
22308003 EN112_r06c03_Dep00Ch17_F01/0/01/2    45.22     0.68    1197.15     1.22    39.27  -0.0090   0   Good 
22308003 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.43     0.64    1142.50     1.14    36.85  -0.0115   0   Good 
22308003 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.15     0.66    1530.24     1.41    45.20  -0.0031   0   Good 
22308003 EN133_r07c02_Dep00Ch20_F22/0/00/1    45.40     0.64    1221.61     1.20    38.92  -0.0091   0   Good 
22308003 EN134_r07c03_Dep00Ch21_F22/0/01/0    72.52     0.65     940.51     1.06    34.43  -0.0166   0   Good 
22308003 EN135_r07c04_Dep00Ch22_F22/0/01/1    53.25     0.67    1070.93     1.14    35.92  -0.0131   0   Good 
22308003 EN136_r07c05_Dep00Ch23_F22/0/02/0    45.67     0.67    1249.38     1.19    38.36  -0.0093   0   Good 
22308003 EN155_r08c02_Dep00Ch24_F22/0/00/3    62.27     0.61     989.54     1.06    33.65  -0.0165   0   Good 
22308003 EN156_r08c03_Dep00Ch25_F22/0/01/2    54.28     0.63     912.88     1.04    33.30  -0.0183   0   Good 
22308003 EN157_r08c04_Dep00Ch26_F22/0/01/3    52.04     0.63     999.48     1.11    34.91  -0.0151   0   Good 
22308003 EN158_r08c05_Dep00Ch27_F22/0/02/2    34.46     0.66    1302.77     1.22    39.42  -0.0081   0   Good 
22308003 EN177_r09c02_Dep00Ch28_F05/0/00/1    76.21     0.64     850.61     1.00    31.81  -0.0214   0   Good 
22308003 EN178_r09c03_Dep00Ch29_F05/0/01/0    52.89     0.66    1015.77     1.12    35.90  -0.0139   0   Good 
22308003 EN179_r09c04_Dep00Ch30_F05/0/01/1    83.85     0.66    1251.61     1.21    38.85  -0.0089   0   Good 
22308003 EN180_r09c05_Dep00Ch31_F05/0/02/0    67.88     0.66    1244.04     1.20    37.75  -0.0098   0   Good 
22308003 EN027_r02c06_Dep01Ch00_F20/0/02/3    76.51     0.64    1211.59     1.27    40.03  -0.0082   0   Good 
22308003 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.90     0.64    1002.16     1.18    36.64  -0.0133   0   Good 
