run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23116001 EN023_r02c02_Dep00Ch00_F20/0/00/3    62.59     0.70    1031.16     0.71    20.31  -0.0288   0   Good 
23116001 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.77     0.70    1001.43     0.67    20.10  -0.0299   0   Good 
23116001 EN025_r02c04_Dep00Ch02_F20/0/01/3    62.66     0.68    1153.71     0.76    21.64  -0.0246   0   Good 
23116001 EN026_r02c05_Dep00Ch03_F20/0/02/2    48.92     0.71    1230.86     0.76    22.71  -0.0222   0   Good 
23116001 EN045_r03c02_Dep00Ch04_F00/0/00/1    97.62     0.72     977.38     0.62    19.50  -0.0312   0   Good 
23116001 EN046_r03c03_Dep00Ch05_F00/0/01/0    56.66     0.67    1088.96     0.67    20.36  -0.0272   0   Good 
23116001 EN047_r03c04_Dep00Ch06_F00/0/01/1    64.01     0.69    1052.92     0.71    21.38  -0.0272   0   Good 
23116001 EN048_r03c05_Dep00Ch07_F00/0/02/0    70.58     0.68    1146.15     0.74    21.95  -0.0245   0   Good 
23116001 EN067_r04c02_Dep00Ch08_F00/0/00/3    95.33     0.66     963.52     0.66    19.68  -0.0315   0   Good 
23116001 EN068_r04c03_Dep00Ch09_F00/0/01/2    71.21     0.68    1153.34     0.76    22.49  -0.0239   0   Good 
23116001 EN069_r04c04_Dep00Ch10_F00/0/01/3    59.50     0.68    1317.19     0.74    22.81  -0.0206   0   Good 
23116001 EN070_r04c05_Dep00Ch11_F00/0/02/2    87.51     0.72    1152.80     0.83    22.79  -0.0236   0   Good 
23116001 EN089_r05c02_Dep00Ch12_F01/0/00/1    65.02     0.73    1220.90     0.76    22.86  -0.0222   0   Good 
23116001 EN090_r05c03_Dep00Ch13_F01/0/01/0    59.83     0.72     904.84     0.68    19.56  -0.0336   0   Good 
23116001 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.90     0.74    1039.59     0.61    19.15  -0.0297   0   Good 
23116001 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.26     0.69    1138.81     0.74    22.31  -0.0243   0   Good 
23116001 EN111_r06c02_Dep00Ch16_F01/0/00/3    88.79     0.71    1179.59     0.91    25.26  -0.0210   0   Good 
23116001 EN112_r06c03_Dep00Ch17_F01/0/01/2    55.48     0.72     945.08     0.69    20.22  -0.0315   0   Good 
23116001 EN113_r06c04_Dep00Ch18_F01/0/01/3    83.20     0.71     926.36     0.68    19.94  -0.0324   0   Good 
23116001 EN114_r06c05_Dep00Ch19_F01/0/02/2    50.28     0.71    1190.01     0.75    22.72  -0.0229   0   Good 
23116001 EN133_r07c02_Dep00Ch20_F22/0/00/1    55.45     0.69     932.21     0.77    21.82  -0.0302   0   Good 
23116001 EN134_r07c03_Dep00Ch21_F22/0/01/0    82.97     0.71     715.29     0.57    16.12  -0.0474   0   Good 
