run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23023068 EN023_r02c02_Dep00Ch00_F20/0/00/3    58.18     0.62     995.95     0.74    21.45  -0.0287   0   Good 
23023068 EN024_r02c03_Dep00Ch01_F20/0/01/2    38.92     0.65     976.97     0.76    21.22  -0.0295   0   Good 
23023068 EN025_r02c04_Dep00Ch02_F20/0/01/3    59.41     0.65    1111.12     0.77    23.01  -0.0243   0   Good 
23023068 EN026_r02c05_Dep00Ch03_F20/0/02/2    45.18     0.63    1209.08     0.83    23.96  -0.0215   0   Good 
23023068 EN045_r03c02_Dep00Ch04_F00/0/00/1    93.65     0.64     943.02     0.72    20.84  -0.0309   0   Good 
23023068 EN046_r03c03_Dep00Ch05_F00/0/01/0    52.98     0.66    1055.12     0.79    21.66  -0.0269   0   Good 
23023068 EN047_r03c04_Dep00Ch06_F00/0/01/1    58.72     0.65    1018.04     0.74    21.69  -0.0278   0   Good 
23023068 EN048_r03c05_Dep00Ch07_F00/0/02/0    67.11     0.61    1103.52     0.78    23.29  -0.0242   0   Good 
23023068 EN067_r04c02_Dep00Ch08_F00/0/00/3    88.47     0.66     939.40     0.69    20.44  -0.0315   0   Good 
23023068 EN068_r04c03_Dep00Ch09_F00/0/01/2    67.43     0.66    1111.93     0.77    22.65  -0.0246   0   Good 
23023068 EN069_r04c04_Dep00Ch10_F00/0/01/3    55.54     0.63    1270.54     0.90    24.27  -0.0203   0   Good 
23023068 EN070_r04c05_Dep00Ch11_F00/0/02/2    83.69     0.67    1102.00     0.82    23.45  -0.0241   0   Good 
23023068 EN089_r05c02_Dep00Ch12_F01/0/00/1    59.46     0.67    1181.70     0.87    23.62  -0.0223   0   Good 
23023068 EN090_r05c03_Dep00Ch13_F01/0/01/0    55.92     0.65     868.84     0.70    20.09  -0.0344   0   Good 
23023068 EN091_r05c04_Dep00Ch14_F01/0/01/1    61.28     0.68    1008.18     0.70    20.29  -0.0295   0   Good 
23023068 EN092_r05c05_Dep00Ch15_F01/0/02/0    56.21     0.64    1107.00     0.79    22.08  -0.0252   0   Good 
23023068 EN111_r06c02_Dep00Ch16_F01/0/00/3    83.74     0.66    1134.67     0.97    25.08  -0.0220   0   Good 
23023068 EN112_r06c03_Dep00Ch17_F01/0/01/2    50.89     0.65     911.15     0.70    20.31  -0.0326   0   Good 
23023068 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.83     0.67     874.13     0.65    19.23  -0.0352   0   Good 
23023068 EN114_r06c05_Dep00Ch19_F01/0/02/2    46.32     0.65    1159.95     0.81    23.24  -0.0231   0   Good 
23023068 EN133_r07c02_Dep00Ch20_F22/0/00/1    50.72     0.65     899.42     0.74    20.96  -0.0323   0   Good 
23023068 EN134_r07c03_Dep00Ch21_F22/0/01/0    78.29     0.67     704.70     0.58    17.09  -0.0467   0   Good 
23023068 EN135_r07c04_Dep00Ch22_F22/0/01/1    58.78     0.66     806.28     0.62    18.45  -0.0391   0   Good 
23023068 EN136_r07c05_Dep00Ch23_F22/0/02/0    51.39     0.66     945.34     0.74    21.07  -0.0306   0   Good 
23023068 EN155_r08c02_Dep00Ch24_F22/0/00/3    67.54     0.63     733.22     0.65    18.36  -0.0431   0   Good 
23023068 EN156_r08c03_Dep00Ch25_F22/0/01/2    60.69     0.68     681.65     0.59    17.17  -0.0482   0   Good 
23023068 EN157_r08c04_Dep00Ch26_F22/0/01/3    59.29     0.65     758.67     0.55    16.99  -0.0435   0   Good 
23023068 EN158_r08c05_Dep00Ch27_F22/0/02/2    39.24     0.68    1003.83     0.66    19.34  -0.0305   0   Good 
23023068 EN177_r09c02_Dep00Ch28_F05/0/00/1    82.27     0.67     618.81     0.52    15.19  -0.0562   0   Good 
23023068 EN178_r09c03_Dep00Ch29_F05/0/01/0    59.10     0.69     757.50     0.59    17.09  -0.0434   0   Good 
23023068 EN179_r09c04_Dep00Ch30_F05/0/01/1    89.07     0.68     927.76     0.65    19.19  -0.0332   0   Good 
23023068 EN180_r09c05_Dep00Ch31_F05/0/02/0    73.10     0.63     958.58     0.64    18.36  -0.0330   0   Good 
23023068 EN027_r02c06_Dep01Ch00_F20/0/02/3    81.24     0.62     932.66     0.76    22.46  -0.0295   0   Good 
23023068 EN028_r02c07_Dep01Ch01_F20/0/03/2    69.21     0.66     776.03     0.66    19.45  -0.0394   0   Good 
23023068 EN029_r02c08_Dep01Ch02_F20/0/03/3    91.11     0.62     879.08     0.69    19.23  -0.0350   0   Good 
23023068 EN030_r02c09_Dep01Ch03_F20/0/04/2    46.94     0.64     992.93     0.77    21.78  -0.0284   0   Good 
23023068 EN049_r03c06_Dep01Ch04_F00/0/02/1    52.74     0.63    1111.81     0.97    25.13  -0.0224   0   Good 
23023068 EN050_r03c07_Dep01Ch05_F00/0/03/0    92.73     0.63     803.67     0.74    20.97  -0.0361   0   Good 
23023068 EN051_r03c08_Dep01Ch06_F00/0/03/1    70.62     0.61     863.20     0.73    20.12  -0.0346   0   Good 
23023068 EN052_r03c09_Dep01Ch07_F00/0/04/0    78.10     0.63     936.06     0.72    21.04  -0.0309   0   Good 
23023068 EN071_r04c06_Dep01Ch08_F00/0/02/3   110.19     0.62     982.53     0.80    21.69  -0.0288   0   Good 
23023068 EN072_r04c07_Dep01Ch09_F00/0/03/2    92.89     0.63     862.71     0.86    21.08  -0.0335   0   Good 
23023068 EN073_r04c08_Dep01Ch10_F00/0/03/3    71.86     0.63     919.61     0.80    20.91  -0.0316   0   Good 
23023068 EN074_r04c09_Dep01Ch11_F00/0/04/2    70.04     0.64     886.70     0.77    20.51  -0.0333   0   Good 
23023068 EN093_r05c06_Dep01Ch12_F01/0/02/1    61.29     0.63    1035.85     0.95    23.66  -0.0254   0   Good 
23023068 EN094_r05c07_Dep01Ch13_F01/0/03/0    77.32     0.65     653.33     0.67    17.74  -0.0494   0   Good 
23023068 EN095_r05c08_Dep01Ch14_F01/0/03/1    62.93     0.65     718.39     0.61    17.80  -0.0448   0   Good 
23023068 EN096_r05c09_Dep01Ch15_F01/0/04/0    71.41     0.64     930.61     0.72    20.62  -0.0316   0   Good 
23023068 EN115_r06c06_Dep01Ch16_F01/0/02/3    79.29     0.66    1001.69     0.77    21.85  -0.0281   0   Good 
23023068 EN116_r06c07_Dep01Ch17_F01/0/03/2    53.55     0.63     709.82     0.62    17.93  -0.0452   0   Good 
23023068 EN117_r06c08_Dep01Ch18_F01/0/03/3    76.67     0.65     898.85     0.73    21.90  -0.0313   0   Good 
23023068 EN118_r06c09_Dep01Ch19_F01/0/04/2    38.49     0.65     996.26     0.80    22.23  -0.0279   0   Good 
23023068 EN137_r07c06_Dep01Ch20_F22/0/02/1    68.96     0.64     956.18     0.86    21.96  -0.0293   0   Good 
23023068 EN138_r07c07_Dep01Ch21_F22/0/03/0    73.07     0.59    1009.05     0.74    21.43  -0.0283   0   Good 
23023068 EN139_r07c08_Dep01Ch22_F22/0/03/1    52.81     0.65    1284.38     0.84    25.32  -0.0192   0   Good 
23023068 EN140_r07c09_Dep01Ch23_F22/0/04/0   117.48     0.57    1009.46     0.86    22.94  -0.0268   0   Good 
23023068 EN159_r08c06_Dep01Ch24_F22/0/02/3    97.19     0.64    1115.15     0.85    21.82  -0.0253   0   Good 
23023068 EN160_r08c07_Dep01Ch25_F22/0/03/2   102.03     0.64    1015.70     0.76    21.24  -0.0283   0   Good 
23023068 EN161_r08c08_Dep01Ch26_F22/0/03/3   103.96     0.64    1246.07     0.81    23.65  -0.0211   0   Good 
23023068 EN162_r08c09_Dep01Ch27_F22/0/04/2    45.61     0.76     972.13     0.70    20.28  -0.0306   0   Good 
23023068 EN181_r09c06_Dep01Ch28_F05/0/02/1    64.80     0.63    1125.20     0.75    21.55  -0.0253   0   Good 
23023068 EN182_r09c07_Dep01Ch29_F05/0/03/0    87.57     0.62    1199.44     0.67    20.59  -0.0245   0   Good 
23023068 EN183_r09c08_Dep01Ch30_F05/0/03/1    76.08     0.64    1256.94     0.75    21.84  -0.0224   0   Good 
23023068 EN184_r09c09_Dep01Ch31_F05/0/04/0    36.02     0.76    1018.52     0.77    21.26  -0.0282   0   Good 
23023068 EN031_r02c10_Dep02Ch00_F20/0/04/3    88.41     0.63     877.30     0.71    19.95  -0.0343   0   Good 
23023068 EN032_r02c11_Dep02Ch01_F20/0/05/2    24.51     0.62     731.51     0.54    16.55  -0.0457   0   Good 
23023068 EN033_r02c12_Dep02Ch02_F20/0/05/3   101.36     0.63     695.31     0.46    14.04  -0.0517   0   Good 
23023068 EN034_r02c13_Dep02Ch03_F20/0/06/2    98.73     0.65     681.81     0.47    14.51  -0.0521   0   Good 
23023068 EN053_r03c10_Dep02Ch04_F00/0/04/1    72.81     0.62     855.68     0.64    18.43  -0.0369   0   Good 
23023068 EN054_r03c11_Dep02Ch05_F00/0/05/0    63.94     0.62     816.80     0.61    17.62  -0.0396   0   Good 
23023068 EN055_r03c12_Dep02Ch06_F00/0/05/1    72.56     0.63     749.72     0.52    15.49  -0.0460   0   Good 
23023068 EN056_r03c13_Dep02Ch07_F00/0/06/0    90.50     0.63    1200.59     0.71    22.12  -0.0232   0   Good 
23023068 EN075_r04c10_Dep02Ch08_F00/0/04/3    79.54     0.58     958.97     0.69    20.21  -0.0311   0   Good 
23023068 EN076_r04c11_Dep02Ch09_F00/0/05/2    47.84     0.63     769.83     0.52    16.05  -0.0441   0   Good 
23023068 EN077_r04c12_Dep02Ch10_F00/0/05/3    49.91     0.64     897.78     0.55    17.35  -0.0364   0   Good 
23023068 EN078_r04c13_Dep02Ch11_F00/0/06/2    34.92     0.65     971.88     0.61    18.68  -0.0322   0   Good 
23023068 EN097_r05c10_Dep02Ch12_F01/0/04/1    49.21     0.64     807.06     0.69    19.08  -0.0383   0   Good 
23023068 EN098_r05c11_Dep02Ch13_F01/0/05/0    63.86     0.65     760.14     0.61    17.12  -0.0433   0   Good 
23023068 EN099_r05c12_Dep02Ch14_F01/0/05/1    55.99     0.65     699.19     0.54    15.74  -0.0490   0   Good 
23023068 EN100_r05c13_Dep02Ch15_F01/0/06/0    80.78     0.58     864.06     0.60    17.85  -0.0372   0   Good 
23023068 EN119_r06c10_Dep02Ch16_F01/0/04/3    81.77     0.64     986.94     0.78    21.89  -0.0285   0   Good 
23023068 EN120_r06c11_Dep02Ch17_F01/0/05/2    61.75     0.62     875.38     0.69    19.64  -0.0347   0   Good 
23023068 EN121_r06c12_Dep02Ch18_F01/0/05/3    66.36     0.64     700.38     0.55    16.36  -0.0480   0   Good 
23023068 EN122_r06c13_Dep02Ch19_F01/0/06/2    51.17     0.66     968.38     0.65    19.82  -0.0312   0   Good 
23023068 EN141_r07c10_Dep02Ch20_F22/0/04/1    40.52     0.64    1083.37     0.84    23.12  -0.0248   0   Good 
23023068 EN142_r07c11_Dep02Ch21_F22/0/05/0    73.88     0.62     796.08     0.67    19.10  -0.0388   0   Good 
23023068 EN143_r07c12_Dep02Ch22_F22/0/05/1    44.61     0.63     599.38     0.58    16.50  -0.0559   0   Good 
23023068 EN144_r07c13_Dep02Ch23_F22/0/06/0    72.60     0.63     792.91     0.62    17.19  -0.0414   0   Good 
