run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23070033 EN023_r02c02_Dep00Ch00_F20/0/00/3    60.93     0.76    1785.70     1.28    36.67  -0.0075   0   Good 
23070033 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.72     0.75    1751.14     1.23    36.44  -0.0077   0   Good 
23070033 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.59     0.72    1997.82     1.41    40.50  -0.0048   0   Good 
23070033 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.94     0.77    2182.25     1.53    42.06  -0.0036   0   Good 
23070033 EN045_r03c02_Dep00Ch04_F00/0/00/1    96.18     0.76    1592.97     1.21    35.08  -0.0094   0   Good 
23070033 EN046_r03c03_Dep00Ch05_F00/0/01/0    55.42     0.72    1807.84     1.22    36.73  -0.0073   0   Good 
23070033 EN047_r03c04_Dep00Ch06_F00/0/01/1    63.63     0.72    1742.30     1.31    36.02  -0.0080   0   Good 
23070033 EN048_r03c05_Dep00Ch07_F00/0/02/0    69.29     0.72    1937.68     1.35    39.47  -0.0054   0   Good 
23070033 EN067_r04c02_Dep00Ch08_F00/0/00/3    90.35     0.72    1575.34     1.12    33.57  -0.0104   0   Good 
23070033 EN068_r04c03_Dep00Ch09_F00/0/01/2    70.03     0.75    1890.83     1.32    38.41  -0.0061   0   Good 
23070033 EN069_r04c04_Dep00Ch10_F00/0/01/3    58.43     0.75    2174.11     1.43    41.44  -0.0039   0   Good 
23070033 EN070_r04c05_Dep00Ch11_F00/0/02/2    86.46     0.75    1925.21     1.44    39.37  -0.0055   0   Good 
23070033 EN089_r05c02_Dep00Ch12_F01/0/00/1    64.23     0.79    1921.03     1.30    38.31  -0.0061   0   Good 
23070033 EN090_r05c03_Dep00Ch13_F01/0/01/0    58.72     0.79    1459.14     1.11    32.26  -0.0122   0   Good 
23070033 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.68     0.69    1697.37     1.14    34.02  -0.0094   0   Good 
23070033 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.01     0.77    1865.30     1.41    38.34  -0.0062   0   Good 
23070033 EN111_r06c02_Dep00Ch16_F01/0/00/3    87.95     0.81    1831.84     1.55    41.37  -0.0047   0   Good 
23070033 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.26     0.81    1526.29     1.13    34.24  -0.0103   0   Good 
23070033 EN113_r06c04_Dep00Ch18_F01/0/01/3    81.58     0.76    1468.26     1.12    32.67  -0.0118   0   Good 
23070033 EN114_r06c05_Dep00Ch19_F01/0/02/2    49.76     0.78    1941.64     1.40    40.58  -0.0048   0   Good 
23070033 EN133_r07c02_Dep00Ch20_F22/0/00/1    54.08     0.74    1308.28     1.17    32.42  -0.0134   0   Good 
23070033 EN134_r07c03_Dep00Ch21_F22/0/01/0    81.14     0.72    1060.39     0.88    25.95  -0.0227   0   Good 
23070033 EN135_r07c04_Dep00Ch22_F22/0/01/1    61.38     0.78    1214.35     0.92    27.70  -0.0184   0   Good 
23070033 EN136_r07c05_Dep00Ch23_F22/0/02/0    53.97     0.76    1474.29     1.14    32.69  -0.0117   0   Good 
23070033 EN155_r08c02_Dep00Ch24_F22/0/00/3    70.99     0.75    1058.11     0.89    26.38  -0.0223   0   Good 
23070033 EN156_r08c03_Dep00Ch25_F22/0/01/2    64.37     0.75    1023.64     0.86    24.94  -0.0245   0   Good 
23070033 EN157_r08c04_Dep00Ch26_F22/0/01/3    62.48     0.76    1130.75     0.83    26.15  -0.0211   0   Good 
23070033 EN158_r08c05_Dep00Ch27_F22/0/02/2    43.30     0.77    1554.95     0.99    30.38  -0.0126   0   Good 
23070033 EN177_r09c02_Dep00Ch28_F05/0/00/1    84.63     0.73     740.92     0.61    19.09  -0.0417   0   Good 
23070033 EN178_r09c03_Dep00Ch29_F05/0/01/0    63.13     0.75    1100.23     0.84    25.22  -0.0225   0   Good 
23070033 EN179_r09c04_Dep00Ch30_F05/0/01/1    92.65     0.77    1363.86     0.89    28.11  -0.0161   0   Good 
23070033 EN180_r09c05_Dep00Ch31_F05/0/02/0    76.66     0.80    1507.20     0.96    28.55  -0.0142   0   Good 
23070033 EN027_r02c06_Dep01Ch00_F20/0/02/3    84.71     0.71    1684.87     1.27    37.96  -0.0071   0   Good 
23070033 EN028_r02c07_Dep01Ch01_F20/0/03/2    71.19     0.70    1410.09     1.07    32.87  -0.0121   0   Good 
23070033 EN029_r02c08_Dep01Ch02_F20/0/03/3    93.16     0.69    1598.60     1.15    34.55  -0.0097   0   Good 
23070033 EN030_r02c09_Dep01Ch03_F20/0/04/2    51.47     0.72    1841.73     1.36    40.23  -0.0053   0   Good 
23070033 EN049_r03c06_Dep01Ch04_F00/0/02/1    55.16     0.76    1955.50     1.76    44.55  -0.0028   0   Good 
23070033 EN050_r03c07_Dep01Ch05_F00/0/03/0    95.45     0.68    1438.61     1.25    35.52  -0.0101   0   Good 
23070033 EN051_r03c08_Dep01Ch06_F00/0/03/1    72.42     0.73    1558.95     1.26    36.45  -0.0087   0   Good 
23070033 EN052_r03c09_Dep01Ch07_F00/0/04/0    80.11     0.70    1718.72     1.24    36.94  -0.0076   0   Good 
23070033 EN071_r04c06_Dep01Ch08_F00/0/02/3   115.93     0.72    1716.36     1.24    36.98  -0.0076   0   Good 
23070033 EN072_r04c07_Dep01Ch09_F00/0/03/2    95.20     0.72    1542.95     1.28    37.05  -0.0084   0   Good 
23070033 EN073_r04c08_Dep01Ch10_F00/0/03/3    74.33     0.71    1647.65     1.22    36.53  -0.0082   0   Good 
23070033 EN074_r04c09_Dep01Ch11_F00/0/04/2    72.48     0.74    1624.56     1.20    35.89  -0.0087   0   Good 
23070033 EN093_r05c06_Dep01Ch12_F01/0/02/1    64.66     0.75    1755.93     1.43    41.40  -0.0049   0   Good 
23070033 EN094_r05c07_Dep01Ch13_F01/0/03/0    80.62     0.74    1139.05     0.98    30.16  -0.0174   0   Good 
23070033 EN095_r05c08_Dep01Ch14_F01/0/03/1    65.21     0.74    1253.48     1.05    31.04  -0.0151   0   Good 
23070033 EN096_r05c09_Dep01Ch15_F01/0/04/0    73.93     0.72    1687.46     1.20    36.89  -0.0078   0   Good 
23070033 EN115_r06c06_Dep01Ch16_F01/0/02/3    82.32     0.76    1694.63     1.27    36.38  -0.0080   0   Good 
23070033 EN116_r06c07_Dep01Ch17_F01/0/03/2    57.12     0.77    1237.65     1.00    29.72  -0.0164   0   Good 
23070033 EN117_r06c08_Dep01Ch18_F01/0/03/3    76.14     0.69    1567.07     1.39    36.44  -0.0086   0   Good 
23070033 EN118_r06c09_Dep01Ch19_F01/0/04/2    41.25     0.76    1797.60     1.30    38.37  -0.0065   0   Good 
23070033 EN137_r07c06_Dep01Ch20_F22/0/02/1    71.97     0.73    1493.86     1.32    35.49  -0.0097   0   Good 
23070033 EN138_r07c07_Dep01Ch21_F22/0/03/0    76.08     0.74    1723.96     1.19    35.84  -0.0082   0   Good 
23070033 EN139_r07c08_Dep01Ch22_F22/0/03/1    55.66     0.74    2210.01     1.56    43.02  -0.0032   0   Good 
23070033 EN140_r07c09_Dep01Ch23_F22/0/04/0   120.64     0.76    1787.38     1.31    37.42  -0.0070   0   Good 
23070033 EN159_r08c06_Dep01Ch24_F22/0/02/3    99.95     0.70    1750.41     1.23    34.71  -0.0087   0   Good 
