run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22346048 EN023_r02c02_Dep00Ch00_F20/0/00/3    57.14     0.58     475.94     0.52    16.86  -0.0696   0   Good 
22346048 EN024_r02c03_Dep00Ch01_F20/0/01/2    38.02     0.65     461.40     0.52    16.62  -0.0724   0   Good 
22346048 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.75     0.64     527.41     0.56    17.60  -0.0614   0   Good 
22346048 EN026_r02c05_Dep00Ch03_F20/0/02/2    44.10     0.65     576.08     0.55    17.79  -0.0559   0   Good 
22346048 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.84     0.61     462.43     0.53    16.42  -0.0726   0   Good 
22346048 EN046_r03c03_Dep00Ch05_F00/0/01/0    51.59     0.61     519.42     0.52    16.84  -0.0638   0   Good 
22346048 EN047_r03c04_Dep00Ch06_F00/0/01/1    58.84     0.65     505.08     0.53    16.85  -0.0656   0   Good 
22346048 EN048_r03c05_Dep00Ch07_F00/0/02/0    66.49     0.55     541.72     0.54    17.55  -0.0599   0   Good 
22346048 EN067_r04c02_Dep00Ch08_F00/0/00/3    84.44     0.61     462.32     0.50    15.86  -0.0738   0   Good 
22346048 EN068_r04c03_Dep00Ch09_F00/0/01/2    66.18     0.65     548.31     0.56    17.85  -0.0586   0   Good 
22346048 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.56     0.62     631.54     0.61    18.98  -0.0491   0   Good 
22346048 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.86     0.65     544.48     0.54    17.40  -0.0599   0   Good 
22346048 EN089_r05c02_Dep00Ch12_F01/0/00/1    59.50     0.64     582.75     0.57    18.76  -0.0536   0   Good 
22346048 EN090_r05c03_Dep00Ch13_F01/0/01/0    54.33     0.65     422.05     0.50    15.68  -0.0813   0   Good 
22346048 EN091_r05c04_Dep00Ch14_F01/0/01/1    60.16     0.70     488.67     0.51    16.47  -0.0686   0   Good 
22346048 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.81     0.62     544.74     0.56    17.75  -0.0592   0   Good 
22346048 EN111_r06c02_Dep00Ch16_F01/0/00/3    81.92     0.63     563.16     0.60    19.10  -0.0549   0   Good 
22346048 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.64     0.65     443.97     0.49    15.77  -0.0771   0   Good 
22346048 EN113_r06c04_Dep00Ch18_F01/0/01/3    77.20     0.65     427.39     0.48    15.01  -0.0819   0   Good 
22346048 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.23     0.60     572.46     0.56    18.27  -0.0554   0   Good 
22346048 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.16     0.67     451.38     0.54    16.82  -0.0735   0   Good 
22346048 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.89     0.62     347.80     0.44    13.56  -0.1048   0   Good 
22346048 EN135_r07c04_Dep00Ch22_F22/0/01/1    57.19     0.65     400.46     0.45    14.63  -0.0883   0   Good 
