run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22334026 EN023_r02c02_Dep00Ch00_F20/0/00/3    50.79     0.67    1262.43     1.29    41.05  -0.0071   0   Good 
22334026 EN024_r02c03_Dep00Ch01_F20/0/01/2    31.85     0.63    1219.57     1.31    42.07  -0.0065   0   Good 
22334026 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.34     0.65    1393.84     1.31    43.06  -0.0050   0   Good 
22334026 EN026_r02c05_Dep00Ch03_F20/0/02/2    37.79     0.66    1513.40     1.37    44.41  -0.0037   0   Good 
22334026 EN045_r03c02_Dep00Ch04_F00/0/00/1    86.74     0.65    1222.92     1.31    40.57  -0.0077   0   Good 
22334026 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.06     0.66    1376.21     1.34    44.06  -0.0043   0   Good 
22334026 EN047_r03c04_Dep00Ch06_F00/0/01/1    53.79     0.64    1356.50     1.36    42.16  -0.0058   0   Good 
22334026 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.06     0.64    1427.17     1.40    43.33  -0.0047   0   Good 
22334026 EN067_r04c02_Dep00Ch08_F00/0/00/3    80.59     0.63    1228.24     1.27    39.80  -0.0083   0   Good 
22334026 EN068_r04c03_Dep00Ch09_F00/0/01/2    59.97     0.63    1449.34     1.29    42.26  -0.0053   0   Good 
22334026 EN069_r04c04_Dep00Ch10_F00/0/01/3    48.43     0.65    1675.02     1.48    48.27  -0.0010   0   Good 
22334026 EN070_r04c05_Dep00Ch11_F00/0/02/2    76.88     0.64    1435.81     1.46    45.86  -0.0029   0   Good 
22334026 EN089_r05c02_Dep00Ch12_F01/0/00/1    52.70     0.64    1546.19     1.50    49.27  -0.0005   0   Good 
22334026 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.52     0.66    1114.88     1.20    38.64  -0.0102   0   Good 
22334026 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.09     0.66    1284.66     1.22    39.44  -0.0082   0   Good 
22334026 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.24     0.66    1437.96     1.41    44.81  -0.0036   0   Good 
