run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22336018 EN023_r02c02_Dep00Ch00_F20/0/00/3    56.10     0.62     480.39     0.53    17.03  -0.0686   0   Good 
22336018 EN024_r02c03_Dep00Ch01_F20/0/01/2    37.40     0.62     467.08     0.50    16.04  -0.0727   0   Good 
22336018 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.00     0.63     530.19     0.51    16.89  -0.0624   0   Good 
22336018 EN026_r02c05_Dep00Ch03_F20/0/02/2    42.98     0.64     581.65     0.58    18.09  -0.0549   0   Good 
22336018 EN045_r03c02_Dep00Ch04_F00/0/00/1    91.69     0.61     467.08     0.53    16.85  -0.0710   0   Good 
22336018 EN046_r03c03_Dep00Ch05_F00/0/01/0    50.66     0.63     522.85     0.53    17.10  -0.0629   0   Good 
22336018 EN047_r03c04_Dep00Ch06_F00/0/01/1    58.95     0.64     509.78     0.53    17.14  -0.0645   0   Good 
22336018 EN048_r03c05_Dep00Ch07_F00/0/02/0    64.99     0.62     544.99     0.52    16.48  -0.0615   0   Good 
22336018 EN067_r04c02_Dep00Ch08_F00/0/00/3    86.02     0.63     465.97     0.50    16.00  -0.0730   0   Good 
22336018 EN068_r04c03_Dep00Ch09_F00/0/01/2    65.59     0.63     552.83     0.53    17.30  -0.0592   0   Good 
22336018 EN069_r04c04_Dep00Ch10_F00/0/01/3    53.64     0.63     634.60     0.56    18.12  -0.0502   0   Good 
22336018 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.05     0.64     547.68     0.57    18.07  -0.0583   0   Good 
22336018 EN089_r05c02_Dep00Ch12_F01/0/00/1    57.31     0.64     589.00     0.57    19.02  -0.0526   0   Good 
22336018 EN090_r05c03_Dep00Ch13_F01/0/01/0    53.58     0.64     425.60     0.47    14.99  -0.0823   0   Good 
22336018 EN091_r05c04_Dep00Ch14_F01/0/01/1    59.46     0.65     490.38     0.47    15.46  -0.0704   0   Good 
22336018 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.18     0.63     549.27     0.53    17.02  -0.0600   0   Good 
22336018 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.40     0.62     569.85     0.55    18.16  -0.0559   0   Good 
22336018 EN112_r06c03_Dep00Ch17_F01/0/01/2    48.56     0.63     445.90     0.48    15.41  -0.0776   0   Good 
22336018 EN113_r06c04_Dep00Ch18_F01/0/01/3    76.85     0.65     427.83     0.49    15.51  -0.0806   0   Good 
22336018 EN114_r06c05_Dep00Ch19_F01/0/02/2    44.96     0.61     575.54     0.53    17.33  -0.0568   0   Good 
22336018 EN133_r07c02_Dep00Ch20_F22/0/00/1    48.99     0.66     455.62     0.48    15.72  -0.0752   0   Good 
22336018 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.36     0.61     350.93     0.45    14.09  -0.1023   0   Good 
22336018 EN135_r07c04_Dep00Ch22_F22/0/01/1    56.52     0.63     401.10     0.47    15.23  -0.0867   0   Good 
22336018 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.53     0.64     469.03     0.50    16.21  -0.0720   0   Good 
22336018 EN155_r08c02_Dep00Ch24_F22/0/00/3    65.10     0.62     370.34     0.44    13.79  -0.0978   0   Good 
22336018 EN156_r08c03_Dep00Ch25_F22/0/01/2    58.97     0.63     340.66     0.43    13.61  -0.1068   0   Good 
22336018 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.07     0.62     375.88     0.45    14.31  -0.0950   0   Good 
22336018 EN158_r08c05_Dep00Ch27_F22/0/02/2    36.96     0.65     493.54     0.50    16.43  -0.0680   0   Good 
22336018 EN177_r09c02_Dep00Ch28_F05/0/00/1    80.27     0.62     320.02     0.42    13.37  -0.1145   0   Good 
22336018 EN178_r09c03_Dep00Ch29_F05/0/01/0    56.98     0.65     379.67     0.43    13.74  -0.0955   0   Good 
22336018 EN179_r09c04_Dep00Ch30_F05/0/01/1    88.24     0.63     468.02     0.47    15.54  -0.0736   0   Good 
22336018 EN180_r09c05_Dep00Ch31_F05/0/02/0    70.21     0.64     468.38     0.45    14.60  -0.0756   0   Good 
22336018 EN027_r02c06_Dep01Ch00_F20/0/02/3    80.04     0.65     454.09     0.52    16.69  -0.0734   0   Good 
22336018 EN028_r02c07_Dep01Ch01_F20/0/03/2    67.88     0.62     371.45     0.45    14.46  -0.0957   0   Good 
22336018 EN029_r02c08_Dep01Ch02_F20/0/03/3    89.94     0.63     414.26     0.47    15.08  -0.0843   0   Good 
22336018 EN030_r02c09_Dep01Ch03_F20/0/04/2    48.13     0.62     459.17     0.49    15.71  -0.0747   0   Good 
22336018 EN049_r03c06_Dep01Ch04_F00/0/02/1    50.05     0.64     559.73     0.55    17.58  -0.0579   0   Good 
22336018 EN050_r03c07_Dep01Ch05_F00/0/03/0    91.04     0.60     392.77     0.48    14.99  -0.0891   0   Good 
22336018 EN051_r03c08_Dep01Ch06_F00/0/03/1    69.09     0.63     421.64     0.48    15.35  -0.0822   0   Good 
22336018 EN052_r03c09_Dep01Ch07_F00/0/04/0    76.91     0.59     440.61     0.49    15.55  -0.0782   0   Good 
22336018 EN071_r04c06_Dep01Ch08_F00/0/02/3   113.61     0.62     489.59     0.53    16.31  -0.0688   0   Good 
22336018 EN072_r04c07_Dep01Ch09_F00/0/03/2    91.58     0.60     423.04     0.48    15.34  -0.0819   0   Good 
22336018 EN073_r04c08_Dep01Ch10_F00/0/03/3    70.56     0.61     449.47     0.50    15.56  -0.0766   0   Good 
22336018 EN074_r04c09_Dep01Ch11_F00/0/04/2    68.16     0.63     420.10     0.49    15.68  -0.0817   0   Good 
22336018 EN093_r05c06_Dep01Ch12_F01/0/02/1    59.60     0.62     528.13     0.55    17.45  -0.0616   0   Good 
22336018 EN094_r05c07_Dep01Ch13_F01/0/03/0    75.65     0.63     326.87     0.43    13.75  -0.1109   0   Good 
22336018 EN095_r05c08_Dep01Ch14_F01/0/03/1    61.21     0.66     352.23     0.42    13.60  -0.1033   0   Good 
22336018 EN096_r05c09_Dep01Ch15_F01/0/04/0    70.03     0.63     442.99     0.49    15.57  -0.0777   0   Good 
22336018 EN115_r06c06_Dep01Ch16_F01/0/02/3    77.94     0.63     504.52     0.50    16.53  -0.0663   0   Good 
22336018 EN116_r06c07_Dep01Ch17_F01/0/03/2    52.67     0.64     351.67     0.42    13.36  -0.1042   0   Good 
22336018 EN117_r06c08_Dep01Ch18_F01/0/03/3    75.20     0.65     440.75     0.50    15.90  -0.0774   0   Good 
22336018 EN118_r06c09_Dep01Ch19_F01/0/04/2    36.42     0.65     471.86     0.51    16.39  -0.0712   0   Good 
22336018 EN137_r07c06_Dep01Ch20_F22/0/02/1    67.39     0.62     479.38     0.53    16.19  -0.0705   0   Good 
22336018 EN138_r07c07_Dep01Ch21_F22/0/03/0    71.97     0.59     494.60     0.51    16.39  -0.0680   0   Good 
22336018 EN139_r07c08_Dep01Ch22_F22/0/03/1    50.86     0.64     631.25     0.60    18.98  -0.0491   0   Good 
22336018 EN140_r07c09_Dep01Ch23_F22/0/04/0   115.75     0.64     485.88     0.52    16.90  -0.0681   0   Good 
22336018 EN159_r08c06_Dep01Ch24_F22/0/02/3    97.95     0.60     558.81     0.52    16.68  -0.0596   0   Good 
22336018 EN160_r08c07_Dep01Ch25_F22/0/03/2   100.15     0.65     502.92     0.49    15.83  -0.0679   0   Good 
22336018 EN161_r08c08_Dep01Ch26_F22/0/03/3   102.59     0.61     609.53     0.55    17.85  -0.0527   0   Good 
22336018 EN162_r08c09_Dep01Ch27_F22/0/04/2    45.33     0.75     466.81     0.49    15.77  -0.0733   0   Good 
22336018 EN181_r09c06_Dep01Ch28_F05/0/02/1    63.22     0.61     558.77     0.53    16.98  -0.0591   0   Good 
22336018 EN182_r09c07_Dep01Ch29_F05/0/03/0    86.87     0.65     602.76     0.55    17.80  -0.0534   0   Good 
22336018 EN183_r09c08_Dep01Ch30_F05/0/03/1    74.61     0.63     617.67     0.57    18.16  -0.0515   0   Good 
22336018 EN184_r09c09_Dep01Ch31_F05/0/04/0    34.92     0.71     491.05     0.51    16.63  -0.0680   0   Good 
22336018 EN031_r02c10_Dep02Ch00_F20/0/04/3    86.46     0.61     405.37     0.44    14.18  -0.0884   0   Good 
22336018 EN032_r02c11_Dep02Ch01_F20/0/05/2    22.26     0.61     319.29     0.41    13.03  -0.1158   0   Good 
22336018 EN033_r02c12_Dep02Ch02_F20/0/05/3    99.95     0.61     312.53     0.39    12.60  -0.1197   0   Good 
22336018 EN034_r02c13_Dep02Ch03_F20/0/06/2    96.44     0.62     315.88     0.40    12.91  -0.1174   0   Good 
22336018 EN053_r03c10_Dep02Ch04_F00/0/04/1    70.54     0.62     379.44     0.46    14.60  -0.0933   0   Good 
22336018 EN054_r03c11_Dep02Ch05_F00/0/05/0    62.03     0.61     380.67     0.45    14.37  -0.0936   0   Good 
22336018 EN055_r03c12_Dep02Ch06_F00/0/05/1    70.46     0.63     353.77     0.42    13.59  -0.1029   0   Good 
22336018 EN056_r03c13_Dep02Ch07_F00/0/06/0    88.50     0.62     564.98     0.54    17.49  -0.0575   0   Good 
22336018 EN075_r04c10_Dep02Ch08_F00/0/04/3    78.42     0.60     447.57     0.49    16.12  -0.0757   0   Good 
22336018 EN076_r04c11_Dep02Ch09_F00/0/05/2    45.65     0.61     349.87     0.43    13.65  -0.1039   0   Good 
