run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22319068 EN023_r02c02_Dep00Ch00_F20/0/00/3    52.00     0.66    1266.40     1.33    41.99  -0.0063   0   Good 
22319068 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.73     0.66    1227.47     1.25    40.93  -0.0074   0   Good 
22319068 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.53     0.68    1395.97     1.32    44.13  -0.0042   0   Good 
22319068 EN026_r02c05_Dep00Ch03_F20/0/02/2    38.77     0.69    1521.98     1.37    44.23  -0.0038   0   Good 
22319068 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.75     0.67    1228.25     1.23    40.05  -0.0081   0   Good 
22319068 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.67     0.67    1375.71     1.34    42.20  -0.0057   0   Good 
22319068 EN047_r03c04_Dep00Ch06_F00/0/01/1    52.36     0.66    1356.00     1.24    41.25  -0.0065   0   Good 
22319068 EN048_r03c05_Dep00Ch07_F00/0/02/0    62.15     0.65    1430.05     1.34    43.36  -0.0046   0   Good 
22319068 EN067_r04c02_Dep00Ch08_F00/0/00/3    80.57     0.60    1232.95     1.17    38.02  -0.0097   0   Good 
22319068 EN068_r04c03_Dep00Ch09_F00/0/01/2    60.64     0.65    1456.55     1.36    42.96  -0.0048   0   Good 
22319068 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.24     0.67    1677.13     1.46    47.83  -0.0013   0   Good 
22319068 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.63     0.65    1441.12     1.38    43.59  -0.0044   0   Good 
22319068 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.45     0.66    1551.55     1.41    45.37  -0.0030   0   Good 
22319068 EN090_r05c03_Dep00Ch13_F01/0/01/0    49.33     0.69    1117.67     1.20    37.89  -0.0108   0   Good 
22319068 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.70     0.69    1290.64     1.23    39.52  -0.0081   0   Good 
22319068 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.74     0.70    1443.72     1.38    43.77  -0.0043   0   Good 
22319068 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.93     0.67    1499.07     1.43    46.10  -0.0026   0   Good 
22319068 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.40     0.65    1181.32     1.18    37.86  -0.0103   0   Good 
22319068 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.57     0.67    1131.34     1.16    37.12  -0.0114   0   Good 
22319068 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.59     0.69    1510.28     1.43    46.94  -0.0020   0   Good 
22319068 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.61     0.67    1206.00     1.27    41.01  -0.0075   0   Good 
