run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23035022 EN023_r02c02_Dep00Ch00_F20/0/00/3    59.08     0.66     962.91     0.65    20.21  -0.0309   0   Good 
23035022 EN024_r02c03_Dep00Ch01_F20/0/01/2    39.37     0.66     950.09     0.67    20.57  -0.0310   0   Good 
23035022 EN025_r02c04_Dep00Ch02_F20/0/01/3    60.34     0.67    1078.94     0.74    22.00  -0.0259   0   Good 
23035022 EN026_r02c05_Dep00Ch03_F20/0/02/2    46.19     0.66    1174.30     0.76    22.43  -0.0235   0   Good 
23035022 EN045_r03c02_Dep00Ch04_F00/0/00/1    94.92     0.68     901.34     0.69    19.96  -0.0333   0   Good 
23035022 EN046_r03c03_Dep00Ch05_F00/0/01/0    54.19     0.66    1013.25     0.69    20.03  -0.0296   0   Good 
23035022 EN047_r03c04_Dep00Ch06_F00/0/01/1    61.22     0.68     976.09     0.69    20.93  -0.0298   0   Good 
23035022 EN048_r03c05_Dep00Ch07_F00/0/02/0    68.14     0.67    1067.58     0.74    21.67  -0.0265   0   Good 
23035022 EN067_r04c02_Dep00Ch08_F00/0/00/3    87.36     0.66     897.49     0.66    19.52  -0.0340   0   Good 
23035022 EN068_r04c03_Dep00Ch09_F00/0/01/2    68.10     0.66    1063.24     0.70    22.53  -0.0258   0   Good 
23035022 EN069_r04c04_Dep00Ch10_F00/0/01/3    56.83     0.66    1220.68     0.83    23.85  -0.0214   0   Good 
23035022 EN070_r04c05_Dep00Ch11_F00/0/02/2    84.89     0.67    1063.03     0.76    23.15  -0.0253   0   Good 
23035022 EN089_r05c02_Dep00Ch12_F01/0/00/1    60.40     0.68    1123.38     0.79    23.19  -0.0239   0   Good 
23035022 EN090_r05c03_Dep00Ch13_F01/0/01/0    56.50     0.68     830.46     0.66    19.64  -0.0366   0   Good 
23035022 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.93     0.71     964.16     0.71    19.10  -0.0320   0   Good 
23035022 EN092_r05c05_Dep00Ch15_F01/0/02/0    56.83     0.66    1058.04     0.73    22.08  -0.0264   0   Good 
23035022 EN111_r06c02_Dep00Ch16_F01/0/00/3    84.97     0.67    1072.14     0.91    23.79  -0.0244   0   Good 
23035022 EN112_r06c03_Dep00Ch17_F01/0/01/2    51.75     0.69     868.97     0.70    19.80  -0.0348   0   Good 
23035022 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.84     0.68     835.36     0.64    18.70  -0.0375   0   Good 
23035022 EN114_r06c05_Dep00Ch19_F01/0/02/2    47.83     0.69    1104.71     0.77    22.21  -0.0252   0   Good 
23035022 EN133_r07c02_Dep00Ch20_F22/0/00/1    51.40     0.67     834.22     0.68    20.27  -0.0356   0   Good 
23035022 EN134_r07c03_Dep00Ch21_F22/0/01/0    79.17     0.67     658.39     0.54    16.43  -0.0510   0   Good 
23035022 EN135_r07c04_Dep00Ch22_F22/0/01/1    59.01     0.72     756.08     0.62    17.80  -0.0426   0   Good 
23035022 EN136_r07c05_Dep00Ch23_F22/0/02/0    52.44     0.69     893.38     0.69    19.93  -0.0337   0   Good 
23035022 EN155_r08c02_Dep00Ch24_F22/0/00/3    68.47     0.67     678.51     0.59    17.00  -0.0486   0   Good 
23035022 EN156_r08c03_Dep00Ch25_F22/0/01/2    62.46     0.69     635.92     0.51    15.84  -0.0537   0   Good 
23035022 EN157_r08c04_Dep00Ch26_F22/0/01/3    59.75     0.66     707.79     0.49    15.22  -0.0491   0   Good 
23035022 EN158_r08c05_Dep00Ch27_F22/0/02/2    40.67     0.69     946.21     0.65    19.29  -0.0325   0   Good 
23035022 EN177_r09c02_Dep00Ch28_F05/0/00/1    83.08     0.68     558.95     0.48    14.22  -0.0640   0   Good 
23035022 EN178_r09c03_Dep00Ch29_F05/0/01/0    60.38     0.71     709.75     0.56    16.41  -0.0473   0   Good 
23035022 EN179_r09c04_Dep00Ch30_F05/0/01/1    89.69     0.68     871.96     0.59    17.37  -0.0374   0   Good 
23035022 EN180_r09c05_Dep00Ch31_F05/0/02/0    73.60     0.63     908.93     0.62    18.03  -0.0352   0   Good 
23035022 EN027_r02c06_Dep01Ch00_F20/0/02/3    81.85     0.65     903.21     0.76    21.37  -0.0317   0   Good 
23035022 EN028_r02c07_Dep01Ch01_F20/0/03/2    69.41     0.65     753.87     0.63    18.43  -0.0419   0   Good 
23035022 EN029_r02c08_Dep01Ch02_F20/0/03/3    91.51     0.63     854.21     0.66    19.04  -0.0362   0   Good 
23035022 EN030_r02c09_Dep01Ch03_F20/0/04/2    49.91     0.63     968.44     0.64    21.05  -0.0299   0   Good 
