run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22321006 EN023_r02c02_Dep00Ch00_F20/0/00/3    50.94     0.68    1266.05     1.30    41.74  -0.0065   0   Good 
22321006 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.29     0.65    1229.04     1.26    40.76  -0.0075   0   Good 
22321006 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.14     0.67    1398.84     1.28    41.50  -0.0061   0   Good 
22321006 EN026_r02c05_Dep00Ch03_F20/0/02/2    38.32     0.67    1524.23     1.38    43.33  -0.0044   0   Good 
22321006 EN045_r03c02_Dep00Ch04_F00/0/00/1    86.93     0.66    1230.09     1.23    38.92  -0.0090   0   Good 
22321006 EN046_r03c03_Dep00Ch05_F00/0/01/0    45.82     0.66    1378.72     1.33    43.14  -0.0050   0   Good 
22321006 EN047_r03c04_Dep00Ch06_F00/0/01/1    52.52     0.65    1357.02     1.25    41.35  -0.0064   0   Good 
22321006 EN048_r03c05_Dep00Ch07_F00/0/02/0    60.67     0.65    1429.40     1.34    43.95  -0.0042   0   Good 
22321006 EN067_r04c02_Dep00Ch08_F00/0/00/3    78.73     0.63    1234.83     1.29    41.63  -0.0068   0   Good 
22321006 EN068_r04c03_Dep00Ch09_F00/0/01/2    59.59     0.65    1459.18     1.39    45.08  -0.0034   0   Good 
22321006 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.12     0.65    1676.94     1.43    45.86  -0.0025   0   Good 
22321006 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.51     0.67    1445.61     1.40    44.84  -0.0036   0   Good 
22321006 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.81     0.67    1551.08     1.40    45.29  -0.0030   0   Good 
22321006 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.66     0.67    1118.08     1.23    38.53  -0.0103   0   Good 
22321006 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.65     0.68    1289.52     1.22    40.19  -0.0076   0   Good 
22321006 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.94     0.65    1442.15     1.30    42.01  -0.0055   0   Good 
22321006 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.44     0.65    1500.88     1.44    46.34  -0.0024   0   Good 
22321006 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.20     0.63    1181.22     1.19    37.95  -0.0102   0   Good 
22321006 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.38     0.67    1129.03     1.15    37.39  -0.0112   0   Good 
22321006 EN114_r06c05_Dep00Ch19_F01/0/02/2    40.65     0.67    1517.20     1.36    43.51  -0.0043   0   Good 
22321006 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.29     0.66    1204.80     1.33    41.35  -0.0072   0   Good 
22321006 EN134_r07c03_Dep00Ch21_F22/0/01/0    71.40     0.67     931.15     1.04    33.89  -0.0173   0   Good 
22321006 EN135_r07c04_Dep00Ch22_F22/0/01/1    52.18     0.66    1059.05     1.14    36.58  -0.0127   0   Good 
22321006 EN136_r07c05_Dep00Ch23_F22/0/02/0    44.95     0.63    1233.52     1.29    39.99  -0.0081   0   Good 
22321006 EN155_r08c02_Dep00Ch24_F22/0/00/3    60.47     0.65     976.42     1.08    35.33  -0.0150   0   Good 
22321006 EN156_r08c03_Dep00Ch25_F22/0/01/2    53.79     0.65     900.76     1.01    32.50  -0.0194   0   Good 
22321006 EN157_r08c04_Dep00Ch26_F22/0/01/3    51.31     0.65     987.97     1.10    34.79  -0.0154   0   Good 
