run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22313004 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.99     0.64    1286.25     3.09    45.85  -0.0032   0   Good 
22313004 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.96     0.63    1245.37     2.95    45.88  -0.0033   0   Good 
22313004 EN025_r02c04_Dep00Ch02_F20/0/01/3    53.38     0.63    1424.71     2.98    44.26  -0.0040   0   Good 
22313004 EN026_r02c05_Dep00Ch03_F20/0/02/2    39.14     0.66    1555.61     3.53    53.30   0.0021   0   Good 
22313004 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.51     0.66    1248.24     2.64    41.38  -0.0069   0   Good 
22313004 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.06     0.62    1402.59     3.17    46.04  -0.0028   0   Good 
22313004 EN047_r03c04_Dep00Ch06_F00/0/01/1    52.81     0.66    1382.36     2.83    45.93  -0.0029   0   Good 
22313004 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.33     0.62    1461.74     2.95    47.17  -0.0019   0   Good 
22313004 EN067_r04c02_Dep00Ch08_F00/0/00/3    85.33     0.56    1249.29     2.79    42.20  -0.0062   0   Good 
22313004 EN068_r04c03_Dep00Ch09_F00/0/01/2    60.72     0.64    1478.40     3.30    48.74  -0.0009   0   Good 
22313004 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.55     0.64    1708.49     3.92    51.87   0.0011   0   Good 
22313004 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.87     0.65    1464.05     3.26    46.91  -0.0021   0   Good 
22313004 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.61     0.61    1571.08     3.22    49.18  -0.0005   0   Good 
22313004 EN090_r05c03_Dep00Ch13_F01/0/01/0    49.29     0.64    1135.89     2.82    40.77  -0.0081   0   Good 
22313004 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.82     0.67    1312.78     2.94    44.97  -0.0038   0   Good 
22313004 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.60     0.65    1472.10     2.92    45.64  -0.0030   0   Good 
22313004 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.96     0.64    1527.33     3.30    50.38   0.0003   0   Good 
22313004 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.70     0.65    1210.30     2.94    40.69  -0.0077   0   Good 
