run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23110004 EN023_r02c02_Dep00Ch00_F20/0/00/3    63.66     0.73    1027.20     0.69    21.12  -0.0281   0   Good 
23110004 EN024_r02c03_Dep00Ch01_F20/0/01/2    44.20     0.73    1001.14     0.70    20.61  -0.0294   0   Good 
23110004 EN025_r02c04_Dep00Ch02_F20/0/01/3    64.34     0.72    1151.32     0.79    22.69  -0.0237   0   Good 
23110004 EN026_r02c05_Dep00Ch03_F20/0/02/2    48.73     0.75    1230.98     0.74    22.39  -0.0224   0   Good 
23110004 EN045_r03c02_Dep00Ch04_F00/0/00/1    97.38     0.72     977.56     0.69    20.71  -0.0300   0   Good 
23110004 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.24     0.70    1088.20     0.70    21.21  -0.0265   0   Good 
23110004 EN047_r03c04_Dep00Ch06_F00/0/01/1    64.52     0.68    1051.85     0.77    21.97  -0.0266   0   Good 
23110004 EN048_r03c05_Dep00Ch07_F00/0/02/0    70.53     0.68    1142.15     0.76    21.59  -0.0249   0   Good 
23110004 EN067_r04c02_Dep00Ch08_F00/0/00/3    90.68     0.68     965.23     0.69    19.87  -0.0312   0   Good 
23110004 EN068_r04c03_Dep00Ch09_F00/0/01/2    72.64     0.73    1151.55     0.77    22.33  -0.0240   0   Good 
23110004 EN069_r04c04_Dep00Ch10_F00/0/01/3    60.32     0.70    1315.21     0.81    23.65  -0.0200   0   Good 
23110004 EN070_r04c05_Dep00Ch11_F00/0/02/2    87.71     0.74    1151.34     0.77    23.23  -0.0232   0   Good 
23110004 EN089_r05c02_Dep00Ch12_F01/0/00/1    65.67     0.74    1219.96     0.81    23.57  -0.0217   0   Good 
23110004 EN090_r05c03_Dep00Ch13_F01/0/01/0    61.35     0.75     901.64     0.68    19.98  -0.0333   0   Good 
23110004 EN091_r05c04_Dep00Ch14_F01/0/01/1    65.65     0.75    1039.09     0.66    20.50  -0.0284   0   Good 
23110004 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.58     0.72    1139.20     0.80    22.00  -0.0246   0   Good 
23110004 EN111_r06c02_Dep00Ch16_F01/0/00/3    90.44     0.75    1180.62     0.92    25.29  -0.0209   0   Good 
23110004 EN112_r06c03_Dep00Ch17_F01/0/01/2    57.67     0.74     942.36     0.71    20.25  -0.0316   0   Good 
23110004 EN113_r06c04_Dep00Ch18_F01/0/01/3    82.45     0.73     926.57     0.67    20.07  -0.0323   0   Good 
23110004 EN114_r06c05_Dep00Ch19_F01/0/02/2    51.53     0.73    1192.40     0.84    23.33  -0.0224   0   Good 
23110004 EN133_r07c02_Dep00Ch20_F22/0/00/1    56.87     0.74     932.14     0.80    22.32  -0.0297   0   Good 
23110004 EN134_r07c03_Dep00Ch21_F22/0/01/0    84.04     0.72     714.08     0.60    16.86  -0.0464   0   Good 
23110004 EN135_r07c04_Dep00Ch22_F22/0/01/1    64.56     0.76     833.55     0.59    18.01  -0.0384   0   Good 
23110004 EN136_r07c05_Dep00Ch23_F22/0/02/0    57.60     0.73     975.89     0.69    20.16  -0.0306   0   Good 
23110004 EN155_r08c02_Dep00Ch24_F22/0/00/3    74.50     0.72     761.61     0.63    18.31  -0.0416   0   Good 
23110004 EN156_r08c03_Dep00Ch25_F22/0/01/2    67.34     0.76     711.52     0.59    17.05  -0.0463   0   Good 
23110004 EN157_r08c04_Dep00Ch26_F22/0/01/3    62.67     0.75     781.36     0.53    16.78  -0.0425   0   Good 
23110004 EN158_r08c05_Dep00Ch27_F22/0/02/2    44.05     0.78    1018.16     0.60    18.90  -0.0305   0   Good 
23110004 EN177_r09c02_Dep00Ch28_F05/0/00/1    87.95     0.74     624.43     0.46    14.59  -0.0567   0   Good 
23110004 EN178_r09c03_Dep00Ch29_F05/0/01/0    64.96     0.74     790.21     0.59    17.81  -0.0407   0   Good 
23110004 EN179_r09c04_Dep00Ch30_F05/0/01/1    96.73     0.74     973.69     0.62    18.51  -0.0323   0   Good 
23110004 EN180_r09c05_Dep00Ch31_F05/0/02/0    78.90     0.76     977.85     0.58    17.30  -0.0334   0   Good 
23110004 EN027_r02c06_Dep01Ch00_F20/0/02/3    87.38     0.68     949.92     0.76    21.63  -0.0299   0   Good 
23110004 EN028_r02c07_Dep01Ch01_F20/0/03/2    73.29     0.71     808.30     0.61    18.27  -0.0393   0   Good 
23110004 EN029_r02c08_Dep01Ch02_F20/0/03/3    95.55     0.66     896.01     0.63    19.12  -0.0345   0   Good 
23110004 EN030_r02c09_Dep01Ch03_F20/0/04/2    54.98     0.70    1012.32     0.67    20.08  -0.0296   0   Good 
23110004 EN049_r03c06_Dep01Ch04_F00/0/02/1    54.48     0.69    1149.89     0.96    25.44  -0.0214   0   Good 
23110004 EN050_r03c07_Dep01Ch05_F00/0/03/0    97.40     0.71     822.07     0.75    19.80  -0.0367   0   Good 
23110004 EN051_r03c08_Dep01Ch06_F00/0/03/1    73.91     0.72     874.31     0.72    20.18  -0.0341   0   Good 
23110004 EN052_r03c09_Dep01Ch07_F00/0/04/0    82.31     0.67     957.43     0.67    19.62  -0.0317   0   Good 
23110004 EN071_r04c06_Dep01Ch08_F00/0/02/3   118.31     0.64    1025.07     0.77    21.92  -0.0274   0   Good 
23110004 EN072_r04c07_Dep01Ch09_F00/0/03/2    97.07     0.68     899.18     0.75    20.95  -0.0323   0   Good 
23110004 EN073_r04c08_Dep01Ch10_F00/0/03/3    76.69     0.68     950.47     0.72    20.78  -0.0307   0   Good 
23110004 EN074_r04c09_Dep01Ch11_F00/0/04/2    73.10     0.73     915.32     0.62    18.73  -0.0342   0   Good 
23110004 EN093_r05c06_Dep01Ch12_F01/0/02/1    65.68     0.70    1080.19     0.88    24.50  -0.0236   0   Good 
23110004 EN094_r05c07_Dep01Ch13_F01/0/03/0    82.80     0.71     662.88     0.56    16.83  -0.0500   0   Good 
23110004 EN095_r05c08_Dep01Ch14_F01/0/03/1    66.68     0.65     745.37     0.60    17.97  -0.0430   0   Good 
