run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22318049 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.58     0.67    1264.73     1.28    41.24  -0.0069   0   Good 
22318049 EN024_r02c03_Dep00Ch01_F20/0/01/2    31.91     0.65    1229.29     1.29    41.74  -0.0067   0   Good 
22318049 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.01     0.66    1396.04     1.34    42.35  -0.0055   0   Good 
22318049 EN026_r02c05_Dep00Ch03_F20/0/02/2    38.75     0.66    1522.73     1.34    43.26  -0.0044   0   Good 
22318049 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.25     0.65    1228.17     1.22    39.30  -0.0087   0   Good 
22318049 EN046_r03c03_Dep00Ch05_F00/0/01/0    45.96     0.67    1376.14     1.31    41.75  -0.0060   0   Good 
22318049 EN047_r03c04_Dep00Ch06_F00/0/01/1    53.54     0.65    1352.25     1.29    40.82  -0.0068   0   Good 
22318049 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.41     0.65    1427.94     1.40    42.96  -0.0049   0   Good 
22318049 EN067_r04c02_Dep00Ch08_F00/0/00/3    79.91     0.62    1230.25     1.27    39.75  -0.0083   0   Good 
22318049 EN068_r04c03_Dep00Ch09_F00/0/01/2    59.92     0.65    1455.06     1.35    44.03  -0.0041   0   Good 
22318049 EN069_r04c04_Dep00Ch10_F00/0/01/3    48.87     0.64    1677.77     1.38    45.08  -0.0029   0   Good 
22318049 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.50     0.65    1442.14     1.31    42.03  -0.0055   0   Good 
22318049 EN089_r05c02_Dep00Ch12_F01/0/00/1    52.66     0.65    1548.39     1.45    45.70  -0.0028   0   Good 
22318049 EN090_r05c03_Dep00Ch13_F01/0/01/0    49.04     0.68    1117.78     1.22    38.35  -0.0104   0   Good 
22318049 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.09     0.66    1289.89     1.28    41.39  -0.0067   0   Good 
22318049 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.81     0.67    1440.30     1.30    42.41  -0.0053   0   Good 
22318049 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.21     0.65    1499.74     1.42    46.02  -0.0027   0   Good 
22318049 EN112_r06c03_Dep00Ch17_F01/0/01/2    43.82     0.63    1181.58     1.19    38.77  -0.0095   0   Good 
22318049 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.91     0.66    1130.37     1.23    38.33  -0.0103   0   Good 
22318049 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.35     0.69    1509.64     1.40    44.90  -0.0034   0   Good 
22318049 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.45     0.66    1207.06     1.30    39.35  -0.0088   0   Good 
22318049 EN134_r07c03_Dep00Ch21_F22/0/01/0    71.64     0.66     929.64     1.09    34.59  -0.0166   0   Good 
22318049 EN135_r07c04_Dep00Ch22_F22/0/01/1    52.28     0.67    1058.92     1.11    36.43  -0.0128   0   Good 
22318049 EN136_r07c05_Dep00Ch23_F22/0/02/0    44.35     0.65    1231.05     1.25    40.21  -0.0080   0   Good 
22318049 EN155_r08c02_Dep00Ch24_F22/0/00/3    60.92     0.65     976.79     1.07    34.09  -0.0163   0   Good 
22318049 EN156_r08c03_Dep00Ch25_F22/0/01/2    54.18     0.64     903.65     1.06    33.71  -0.0180   0   Good 
22318049 EN157_r08c04_Dep00Ch26_F22/0/01/3    52.49     0.64     987.39     1.09    35.45  -0.0147   0   Good 
22318049 EN158_r08c05_Dep00Ch27_F22/0/02/2    34.15     0.67    1287.34     1.18    39.10  -0.0085   0   Good 
22318049 EN177_r09c02_Dep00Ch28_F05/0/00/1    76.44     0.65     841.49     0.97    30.88  -0.0227   0   Good 
22318049 EN178_r09c03_Dep00Ch29_F05/0/01/0    53.09     0.68     998.17     1.12    35.60  -0.0144   0   Good 
22318049 EN179_r09c04_Dep00Ch30_F05/0/01/1    83.56     0.66    1235.83     1.22    39.32  -0.0086   0   Good 
22318049 EN180_r09c05_Dep00Ch31_F05/0/02/0    66.57     0.66    1230.51     1.20    37.89  -0.0098   0   Good 
22318049 EN027_r02c06_Dep01Ch00_F20/0/02/3    75.12     0.63    1194.98     1.32    42.32  -0.0064   0   Good 
22318049 EN028_r02c07_Dep01Ch01_F20/0/03/2    61.64     0.59     986.45     1.16    35.97  -0.0142   0   Good 
22318049 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.94     0.63    1096.00     1.18    37.97  -0.0110   0   Good 
22318049 EN030_r02c09_Dep01Ch03_F20/0/04/2    43.65     0.62    1213.43     1.27    39.97  -0.0083   0   Good 
22318049 EN049_r03c06_Dep01Ch04_F00/0/02/1    44.63     0.59    1482.77     1.37    44.53  -0.0037   0   Good 
22318049 EN050_r03c07_Dep01Ch05_F00/0/03/0    85.99     0.62    1031.57     1.16    36.74  -0.0129   0   Good 
22318049 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.25     0.64    1123.52     1.18    37.60  -0.0110   0   Good 
22318049 EN052_r03c09_Dep01Ch07_F00/0/04/0    72.03     0.63    1166.28     1.18    38.14  -0.0102   0   Good 
22318049 EN071_r04c06_Dep01Ch08_F00/0/02/3   109.00     0.62    1291.96     1.28    41.09  -0.0069   0   Good 
22318049 EN072_r04c07_Dep01Ch09_F00/0/03/2    86.61     0.63    1108.93     1.16    37.23  -0.0115   0   Good 
22318049 EN073_r04c08_Dep01Ch10_F00/0/03/3    65.46     0.61    1183.11     1.20    38.02  -0.0101   0   Good 
22318049 EN074_r04c09_Dep01Ch11_F00/0/04/2    61.77     0.64    1112.06     1.26    38.91  -0.0100   0   Good 
22318049 EN093_r05c06_Dep01Ch12_F01/0/02/1    54.25     0.63    1402.47     1.38    44.41  -0.0040   0   Good 
22318049 EN094_r05c07_Dep01Ch13_F01/0/03/0    70.65     0.64     863.64     1.07    33.14  -0.0195   0   Good 
22318049 EN095_r05c08_Dep01Ch14_F01/0/03/1    56.15     0.65     925.52     1.03    32.74  -0.0186   0   Good 
22318049 EN096_r05c09_Dep01Ch15_F01/0/04/0    64.43     0.64    1175.10     1.17    37.58  -0.0106   0   Good 
22318049 EN115_r06c06_Dep01Ch16_F01/0/02/3    73.62     0.63    1335.25     1.33    41.02  -0.0067   0   Good 
22318049 EN116_r06c07_Dep01Ch17_F01/0/03/2    46.84     0.65     931.91     1.06    33.94  -0.0172   0   Good 
22318049 EN117_r06c08_Dep01Ch18_F01/0/03/3    65.38     0.60    1163.75     1.20    38.50  -0.0099   0   Good 
22318049 EN118_r06c09_Dep01Ch19_F01/0/04/2    31.62     0.64    1239.79     1.21    38.87  -0.0090   0   Good 
22318049 EN137_r07c06_Dep01Ch20_F22/0/02/1    62.75     0.63    1266.03     1.30    40.79  -0.0073   0   Good 
22318049 EN138_r07c07_Dep01Ch21_F22/0/03/0    66.46     0.65    1303.47     1.29    41.09  -0.0068   0   Good 
22318049 EN139_r07c08_Dep01Ch22_F22/0/03/1    45.70     0.64    1660.50     1.51    46.84  -0.0019   0   Good 
