run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23087057 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.21     0.70    1016.39     0.76    21.11  -0.0284   0   Good 
23087057 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.13     0.70    1000.00     0.71    21.62  -0.0284   0   Good 
23087057 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.77     0.67    1137.28     0.89    24.24  -0.0226   0   Good 
23087057 EN026_r02c05_Dep00Ch03_F20/0/02/2    48.09     0.71    1224.35     0.80    23.49  -0.0217   0   Good 
23087057 EN045_r03c02_Dep00Ch04_F00/0/00/1    96.99     0.72     990.59     0.80    22.04  -0.0282   0   Good 
23087057 EN046_r03c03_Dep00Ch05_F00/0/01/0    56.16     0.69    1095.72     0.78    22.01  -0.0255   0   Good 
23087057 EN047_r03c04_Dep00Ch06_F00/0/01/1    63.82     0.70    1059.85     0.79    22.33  -0.0261   0   Good 
23087057 EN048_r03c05_Dep00Ch07_F00/0/02/0    70.73     0.70    1143.09     0.94    23.66  -0.0230   0   Good 
23087057 EN067_r04c02_Dep00Ch08_F00/0/00/3    94.93     0.64     970.70     0.73    20.22  -0.0307   0   Good 
23087057 EN068_r04c03_Dep00Ch09_F00/0/01/2    70.27     0.71    1153.85     0.84    24.50  -0.0221   0   Good 
23087057 EN069_r04c04_Dep00Ch10_F00/0/01/3    58.69     0.70    1337.70     0.91    25.28  -0.0185   0   Good 
23087057 EN070_r04c05_Dep00Ch11_F00/0/02/2    87.25     0.70    1135.21     0.90    23.63  -0.0232   0   Good 
23087057 EN089_r05c02_Dep00Ch12_F01/0/00/1    64.47     0.78    1236.64     0.83    23.57  -0.0214   0   Good 
23087057 EN090_r05c03_Dep00Ch13_F01/0/01/0    59.30     0.74     913.21     0.72    20.76  -0.0320   0   Good 
23087057 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.40     0.72    1048.64     0.79    20.81  -0.0278   0   Good 
