run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22349061 EN023_r02c02_Dep00Ch00_F20/0/00/3    57.35     0.57     476.34     0.52    16.49  -0.0703   0   Good 
22349061 EN024_r02c03_Dep00Ch01_F20/0/01/2    38.12     0.64     463.71     0.49    15.67  -0.0740   0   Good 
22349061 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.57     0.62     527.92     0.53    17.12  -0.0623   0   Good 
22349061 EN026_r02c05_Dep00Ch03_F20/0/02/2    44.43     0.63     576.45     0.54    17.51  -0.0564   0   Good 
22349061 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.56     0.62     464.13     0.51    16.15  -0.0729   0   Good 
22349061 EN046_r03c03_Dep00Ch05_F00/0/01/0    51.99     0.62     520.45     0.53    17.20  -0.0630   0   Good 
22349061 EN047_r03c04_Dep00Ch06_F00/0/01/1    57.99     0.63     507.55     0.51    16.44  -0.0661   0   Good 
22349061 EN048_r03c05_Dep00Ch07_F00/0/02/0    66.58     0.52     543.39     0.53    17.16  -0.0604   0   Good 
22349061 EN067_r04c02_Dep00Ch08_F00/0/00/3    87.11     0.62     462.93     0.50    15.63  -0.0743   0   Good 
22349061 EN068_r04c03_Dep00Ch09_F00/0/01/2    65.54     0.65     550.24     0.55    17.36  -0.0593   0   Good 
22349061 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.20     0.62     633.80     0.58    19.27  -0.0485   0   Good 
22349061 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.67     0.65     544.46     0.54    17.36  -0.0599   0   Good 
22349061 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.11     0.65     584.80     0.56    18.39  -0.0541   0   Good 
22349061 EN090_r05c03_Dep00Ch13_F01/0/01/0    54.48     0.65     423.51     0.47    15.19  -0.0822   0   Good 
22349061 EN091_r05c04_Dep00Ch14_F01/0/01/1    60.02     0.67     489.52     0.51    16.14  -0.0692   0   Good 
22349061 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.75     0.63     545.97     0.54    17.27  -0.0599   0   Good 
22349061 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.21     0.64     566.41     0.57    18.09  -0.0563   0   Good 
22349061 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.18     0.63     444.17     0.51    15.90  -0.0768   0   Good 
22349061 EN113_r06c04_Dep00Ch18_F01/0/01/3    75.84     0.65     426.69     0.50    15.81  -0.0801   0   Good 
22349061 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.35     0.58     574.60     0.56    18.15  -0.0554   0   Good 
22349061 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.12     0.67     452.22     0.50    16.19  -0.0748   0   Good 
22349061 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.45     0.63     348.63     0.43    13.53  -0.1046   0   Good 
22349061 EN135_r07c04_Dep00Ch22_F22/0/01/1    56.89     0.64     400.29     0.46    14.63  -0.0884   0   Good 
22349061 EN136_r07c05_Dep00Ch23_F22/0/02/0    50.00     0.64     467.98     0.49    15.46  -0.0738   0   Good 
22349061 EN155_r08c02_Dep00Ch24_F22/0/00/3    67.04     0.63     367.02     0.45    14.35  -0.0971   0   Good 
22349061 EN156_r08c03_Dep00Ch25_F22/0/01/2    59.92     0.63     338.88     0.41    13.39  -0.1080   0   Good 
22349061 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.51     0.63     374.44     0.43    14.01  -0.0961   0   Good 
22349061 EN158_r08c05_Dep00Ch27_F22/0/02/2    38.05     0.66     491.46     0.49    15.65  -0.0699   0   Good 
22349061 EN177_r09c02_Dep00Ch28_F05/0/00/1    80.59     0.62     316.84     0.38    12.28  -0.1191   0   Good 
22349061 EN178_r09c03_Dep00Ch29_F05/0/01/0    57.97     0.65     378.58     0.46    14.52  -0.0937   0   Good 
22349061 EN179_r09c04_Dep00Ch30_F05/0/01/1    87.14     0.64     466.83     0.47    15.05  -0.0749   0   Good 
22349061 EN180_r09c05_Dep00Ch31_F05/0/02/0    72.00     0.65     467.32     0.51    16.30  -0.0721   0   Good 
22349061 EN027_r02c06_Dep01Ch00_F20/0/02/3    80.77     0.63     449.07     0.53    16.72  -0.0741   0   Good 
22349061 EN028_r02c07_Dep01Ch01_F20/0/03/2    67.67     0.63     368.95     0.46    14.07  -0.0974   0   Good 
22349061 EN029_r02c08_Dep01Ch02_F20/0/03/3    90.10     0.63     412.09     0.46    14.65  -0.0858   0   Good 
22349061 EN030_r02c09_Dep01Ch03_F20/0/04/2    47.44     0.61     456.96     0.52    16.67  -0.0729   0   Good 
22349061 EN049_r03c06_Dep01Ch04_F00/0/02/1    49.64     0.61     555.44     0.58    18.37  -0.0570   0   Good 
22349061 EN050_r03c07_Dep01Ch05_F00/0/03/0    91.06     0.60     389.43     0.50    15.50  -0.0886   0   Good 
22349061 EN051_r03c08_Dep01Ch06_F00/0/03/1    68.63     0.62     419.42     0.47    14.95  -0.0836   0   Good 
22349061 EN052_r03c09_Dep01Ch07_F00/0/04/0    76.55     0.61     437.18     0.50    15.89  -0.0780   0   Good 
22349061 EN071_r04c06_Dep01Ch08_F00/0/02/3   108.86     0.61     487.12     0.52    16.92  -0.0679   0   Good 
22349061 EN072_r04c07_Dep01Ch09_F00/0/03/2    91.70     0.61     421.67     0.50    15.17  -0.0826   0   Good 
22349061 EN073_r04c08_Dep01Ch10_F00/0/03/3    70.49     0.60     447.87     0.49    15.19  -0.0777   0   Good 
22349061 EN074_r04c09_Dep01Ch11_F00/0/04/2    69.53     0.63     417.15     0.48    14.89  -0.0842   0   Good 
22349061 EN093_r05c06_Dep01Ch12_F01/0/02/1    59.68     0.61     524.54     0.55    17.39  -0.0622   0   Good 
22349061 EN094_r05c07_Dep01Ch13_F01/0/03/0    75.81     0.63     325.06     0.45    13.63  -0.1119   0   Good 
22349061 EN095_r05c08_Dep01Ch14_F01/0/03/1    61.33     0.65     350.94     0.46    14.45  -0.1013   0   Good 
22349061 EN096_r05c09_Dep01Ch15_F01/0/04/0    70.09     0.62     440.54     0.47    14.82  -0.0799   0   Good 
22349061 EN115_r06c06_Dep01Ch16_F01/0/02/3    77.84     0.63     502.01     0.52    16.54  -0.0666   0   Good 
22349061 EN116_r06c07_Dep01Ch17_F01/0/03/2    52.45     0.63     350.90     0.45    14.40  -0.1015   0   Good 
22349061 EN117_r06c08_Dep01Ch18_F01/0/03/3    71.60     0.64     438.97     0.49    15.74  -0.0780   0   Good 
22349061 EN118_r06c09_Dep01Ch19_F01/0/04/2    36.23     0.64     470.64     0.53    16.92  -0.0703   0   Good 
22349061 EN137_r07c06_Dep01Ch20_F22/0/02/1    67.62     0.61     475.17     0.51    16.34  -0.0708   0   Good 
22349061 EN138_r07c07_Dep01Ch21_F22/0/03/0    71.95     0.61     491.84     0.49    15.93  -0.0693   0   Good 
22349061 EN139_r07c08_Dep01Ch22_F22/0/03/1    50.23     0.63     629.03     0.59    18.95  -0.0494   0   Good 
22349061 EN140_r07c09_Dep01Ch23_F22/0/04/0   114.98     0.65     483.65     0.52    16.55  -0.0692   0   Good 
