run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23059042 EN023_r02c02_Dep00Ch00_F20/0/00/3    58.82     0.66     921.59     0.73    20.47  -0.0320   0   Good 
23059042 EN024_r02c03_Dep00Ch01_F20/0/01/2    39.52     0.66     910.53     0.69    20.05  -0.0329   0   Good 
23059042 EN025_r02c04_Dep00Ch02_F20/0/01/3    60.13     0.66    1034.30     0.80    21.65  -0.0274   0   Good 
23059042 EN026_r02c05_Dep00Ch03_F20/0/02/2    45.61     0.63    1124.35     0.76    22.29  -0.0246   0   Good 
23059042 EN045_r03c02_Dep00Ch04_F00/0/00/1    94.13     0.68     838.65     0.70    19.99  -0.0358   0   Good 
23059042 EN046_r03c03_Dep00Ch05_F00/0/01/0    53.59     0.66     941.55     0.68    19.87  -0.0320   0   Good 
23059042 EN047_r03c04_Dep00Ch06_F00/0/01/1    61.09     0.65     908.48     0.69    20.36  -0.0326   0   Good 
23059042 EN048_r03c05_Dep00Ch07_F00/0/02/0    67.45     0.64    1010.01     0.80    21.70  -0.0280   0   Good 
23059042 EN067_r04c02_Dep00Ch08_F00/0/00/3    89.72     0.66     829.39     0.63    18.47  -0.0380   0   Good 
23059042 EN068_r04c03_Dep00Ch09_F00/0/01/2    67.25     0.66     989.78     0.79    21.88  -0.0284   0   Good 
23059042 EN069_r04c04_Dep00Ch10_F00/0/01/3    56.43     0.65    1134.34     0.77    22.06  -0.0246   0   Good 
23059042 EN070_r04c05_Dep00Ch11_F00/0/02/2    84.60     0.66    1003.88     0.79    20.93  -0.0290   0   Good 
23059042 EN089_r05c02_Dep00Ch12_F01/0/00/1    61.12     0.67    1025.16     0.74    21.24  -0.0281   0   Good 
23059042 EN090_r05c03_Dep00Ch13_F01/0/01/0    56.19     0.68     770.11     0.62    18.04  -0.0415   0   Good 
23059042 EN091_r05c04_Dep00Ch14_F01/0/01/1    61.98     0.68     895.09     0.62    18.69  -0.0350   0   Good 
23059042 EN092_r05c05_Dep00Ch15_F01/0/02/0    56.65     0.67     982.75     0.76    21.02  -0.0295   0   Good 
23059042 EN111_r06c02_Dep00Ch16_F01/0/00/3    84.76     0.66     978.12     0.96    23.43  -0.0272   0   Good 
23059042 EN112_r06c03_Dep00Ch17_F01/0/01/2    51.00     0.67     805.51     0.64    19.29  -0.0381   0   Good 
23059042 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.65     0.68     773.63     0.59    18.39  -0.0409   0   Good 
23059042 EN114_r06c05_Dep00Ch19_F01/0/02/2    47.60     0.67    1023.78     0.79    22.10  -0.0273   0   Good 
23059042 EN133_r07c02_Dep00Ch20_F22/0/00/1    50.93     0.67     717.63     0.69    18.71  -0.0436   0   Good 
23059042 EN134_r07c03_Dep00Ch21_F22/0/01/0    78.51     0.66     577.94     0.49    15.15  -0.0603   0   Good 
23059042 EN135_r07c04_Dep00Ch22_F22/0/01/1    58.95     0.67     662.57     0.58    16.56  -0.0505   0   Good 
23059042 EN136_r07c05_Dep00Ch23_F22/0/02/0    52.04     0.68     793.72     0.64    18.78  -0.0393   0   Good 
23059042 EN155_r08c02_Dep00Ch24_F22/0/00/3    68.55     0.66     581.29     0.50    15.46  -0.0594   0   Good 
23059042 EN156_r08c03_Dep00Ch25_F22/0/01/2    61.87     0.67     556.38     0.50    15.03  -0.0628   0   Good 
23059042 EN157_r08c04_Dep00Ch26_F22/0/01/3    58.19     0.67     619.89     0.47    14.39  -0.0574   0   Good 
23059042 EN158_r08c05_Dep00Ch27_F22/0/02/2    40.64     0.68     837.28     0.60    17.22  -0.0392   0   Good 
23059042 EN177_r09c02_Dep00Ch28_F05/0/00/1    82.26     0.68     435.59     0.40    11.86  -0.0876   0   Good 
23059042 EN178_r09c03_Dep00Ch29_F05/0/01/0    60.23     0.69     607.93     0.50    15.04  -0.0575   0   Good 
23059042 EN179_r09c04_Dep00Ch30_F05/0/01/1    91.01     0.67     750.70     0.56    15.82  -0.0455   0   Good 
23059042 EN180_r09c05_Dep00Ch31_F05/0/02/0    73.54     0.61     812.49     0.55    17.03  -0.0406   0   Good 
23059042 EN027_r02c06_Dep01Ch00_F20/0/02/3    83.41     0.65     867.66     0.76    22.26  -0.0320   0   Good 
