run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23097070 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.79     0.69     999.33     0.77    22.61  -0.0274   0   Good 
23097070 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.13     0.67     990.82     0.72    21.79  -0.0285   0   Good 
23097070 EN025_r02c04_Dep00Ch02_F20/0/01/3    62.61     0.60    1114.07     0.85    22.89  -0.0243   0   Good 
23097070 EN026_r02c05_Dep00Ch03_F20/0/02/2    48.88     0.69    1198.54     0.83    23.52  -0.0221   0   Good 
23097070 EN045_r03c02_Dep00Ch04_F00/0/00/1    98.08     0.69     967.47     0.73    21.56  -0.0294   0   Good 
23097070 EN046_r03c03_Dep00Ch05_F00/0/01/0    56.14     0.67    1056.94     0.71    21.33  -0.0271   0   Good 
23097070 EN047_r03c04_Dep00Ch06_F00/0/01/1    63.56     0.68    1029.51     0.80    22.76  -0.0265   0   Good 
23097070 EN048_r03c05_Dep00Ch07_F00/0/02/0    71.07     0.69    1115.76     0.83    23.08  -0.0241   0   Good 
23097070 EN067_r04c02_Dep00Ch08_F00/0/00/3    93.03     0.66     950.84     0.76    20.94  -0.0306   0   Good 
23097070 EN068_r04c03_Dep00Ch09_F00/0/01/2    70.71     0.69    1113.20     0.84    22.83  -0.0244   0   Good 
23097070 EN069_r04c04_Dep00Ch10_F00/0/01/3    59.57     0.66    1289.39     0.87    24.82  -0.0195   0   Good 
23097070 EN070_r04c05_Dep00Ch11_F00/0/02/2    88.00     0.69    1110.60     0.82    23.95  -0.0235   0   Good 
23097070 EN089_r05c02_Dep00Ch12_F01/0/00/1    65.02     0.73    1194.99     0.78    23.51  -0.0222   0   Good 
23097070 EN090_r05c03_Dep00Ch13_F01/0/01/0    59.21     0.73     881.55     0.70    20.76  -0.0332   0   Good 
23097070 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.89     0.72    1016.40     0.69    20.25  -0.0293   0   Good 
23097070 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.05     0.70    1112.41     0.76    21.71  -0.0254   0   Good 
23097070 EN111_r06c02_Dep00Ch16_F01/0/00/3    89.59     0.69    1151.52     1.02    27.13  -0.0199   0   Good 
23097070 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.58     0.74     908.01     0.72    21.06  -0.0319   0   Good 
23097070 EN113_r06c04_Dep00Ch18_F01/0/01/3    83.18     0.69     870.12     0.66    19.44  -0.0351   0   Good 
23097070 EN114_r06c05_Dep00Ch19_F01/0/02/2    51.11     0.71    1163.00     0.89    24.37  -0.0220   0   Good 
23097070 EN133_r07c02_Dep00Ch20_F22/0/00/1    55.38     0.68     904.56     0.83    22.51  -0.0304   0   Good 
23097070 EN134_r07c03_Dep00Ch21_F22/0/01/0    82.71     0.71     698.02     0.59    17.33  -0.0468   0   Good 
23097070 EN135_r07c04_Dep00Ch22_F22/0/01/1    63.27     0.68     813.81     0.63    18.64  -0.0385   0   Good 
23097070 EN136_r07c05_Dep00Ch23_F22/0/02/0    55.44     0.70     946.16     0.71    21.20  -0.0304   0   Good 
23097070 EN155_r08c02_Dep00Ch24_F22/0/00/3    72.83     0.69     746.62     0.63    18.78  -0.0418   0   Good 
23097070 EN156_r08c03_Dep00Ch25_F22/0/01/2    66.66     0.71     697.42     0.56    17.22  -0.0470   0   Good 
23097070 EN157_r08c04_Dep00Ch26_F22/0/01/3    62.96     0.71     771.28     0.56    17.54  -0.0421   0   Good 
23097070 EN158_r08c05_Dep00Ch27_F22/0/02/2    43.93     0.71     988.75     0.69    19.62  -0.0307   0   Good 
23097070 EN177_r09c02_Dep00Ch28_F05/0/00/1    87.67     0.72     627.80     0.47    15.27  -0.0553   0   Good 
23097070 EN178_r09c03_Dep00Ch29_F05/0/01/0    64.25     0.73     767.15     0.59    17.47  -0.0424   0   Good 
23097070 EN179_r09c04_Dep00Ch30_F05/0/01/1    94.59     0.67     957.65     0.64    19.63  -0.0317   0   Good 
23097070 EN180_r09c05_Dep00Ch31_F05/0/02/0    78.02     0.72     954.82     0.64    19.47  -0.0320   0   Good 
23097070 EN027_r02c06_Dep01Ch00_F20/0/02/3    84.87     0.66     918.88     0.87    23.14  -0.0292   0   Good 
23097070 EN028_r02c07_Dep01Ch01_F20/0/03/2    71.93     0.65     779.88     0.67    19.40  -0.0392   0   Good 
23097070 EN029_r02c08_Dep01Ch02_F20/0/03/3    94.34     0.66     879.64     0.72    20.62  -0.0334   0   Good 
23097070 EN030_r02c09_Dep01Ch03_F20/0/04/2    51.08     0.64     980.49     0.74    21.08  -0.0295   0   Good 
23097070 EN049_r03c06_Dep01Ch04_F00/0/02/1    54.84     0.68    1119.28     1.01    25.87  -0.0216   0   Good 
23097070 EN050_r03c07_Dep01Ch05_F00/0/03/0    95.66     0.66     801.03     0.72    20.77  -0.0365   0   Good 
23097070 EN051_r03c08_Dep01Ch06_F00/0/03/1    72.68     0.68     852.41     0.74    20.69  -0.0344   0   Good 
23097070 EN052_r03c09_Dep01Ch07_F00/0/04/0    81.01     0.67     928.95     0.75    21.50  -0.0307   0   Good 
23097070 EN071_r04c06_Dep01Ch08_F00/0/02/3   116.03     0.63     981.59     0.84    22.71  -0.0278   0   Good 
23097070 EN072_r04c07_Dep01Ch09_F00/0/03/2    95.93     0.67     867.58     0.73    21.33  -0.0330   0   Good 
23097070 EN073_r04c08_Dep01Ch10_F00/0/03/3    75.27     0.65     923.42     0.80    21.74  -0.0306   0   Good 
23097070 EN074_r04c09_Dep01Ch11_F00/0/04/2    75.44     0.68     882.22     0.73    21.23  -0.0326   0   Good 
23097070 EN093_r05c06_Dep01Ch12_F01/0/02/1    65.23     0.68    1042.09     0.96    25.82  -0.0232   0   Good 
23097070 EN094_r05c07_Dep01Ch13_F01/0/03/0    80.63     0.70     641.99     0.57    17.59  -0.0505   0   Good 
23097070 EN095_r05c08_Dep01Ch14_F01/0/03/1    65.67     0.69     706.72     0.59    17.88  -0.0455   0   Good 
23097070 EN096_r05c09_Dep01Ch15_F01/0/04/0    74.04     0.66     927.04     0.73    20.66  -0.0316   0   Good 
