run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22354047 EN023_r02c02_Dep00Ch00_F20/0/00/3    57.54     0.61     477.77     0.51    16.64  -0.0698   0   Good 
22354047 EN024_r02c03_Dep00Ch01_F20/0/01/2    37.73     0.66     465.87     0.50    16.17  -0.0726   0   Good 
22354047 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.19     0.63     533.47     0.53    17.02  -0.0618   0   Good 
22354047 EN026_r02c05_Dep00Ch03_F20/0/02/2    43.68     0.66     580.75     0.55    17.92  -0.0552   0   Good 
22354047 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.52     0.64     463.80     0.51    16.07  -0.0732   0   Good 
22354047 EN046_r03c03_Dep00Ch05_F00/0/01/0    51.86     0.65     520.36     0.51    16.23  -0.0649   0   Good 
22354047 EN047_r03c04_Dep00Ch06_F00/0/01/1    60.07     0.65     506.17     0.54    16.85  -0.0655   0   Good 
22354047 EN048_r03c05_Dep00Ch07_F00/0/02/0    65.89     0.61     542.13     0.56    17.90  -0.0592   0   Good 
22354047 EN067_r04c02_Dep00Ch08_F00/0/00/3    86.62     0.62     462.53     0.50    16.13  -0.0732   0   Good 
22354047 EN068_r04c03_Dep00Ch09_F00/0/01/2    65.95     0.66     549.42     0.53    17.13  -0.0598   0   Good 
22354047 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.72     0.63     632.08     0.58    18.73  -0.0495   0   Good 
22354047 EN070_r04c05_Dep00Ch11_F00/0/02/2    83.21     0.65     544.77     0.55    17.41  -0.0598   0   Good 
22354047 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.74     0.66     584.20     0.56    17.67  -0.0553   0   Good 
22354047 EN090_r05c03_Dep00Ch13_F01/0/01/0    54.64     0.65     422.60     0.48    15.19  -0.0824   0   Good 
22354047 EN091_r05c04_Dep00Ch14_F01/0/01/1    60.13     0.69     488.13     0.53    16.04  -0.0696   0   Good 
22354047 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.84     0.63     545.44     0.55    17.61  -0.0594   0   Good 
22354047 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.45     0.63     564.59     0.59    18.26  -0.0562   0   Good 
22354047 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.57     0.64     443.79     0.50    15.91  -0.0768   0   Good 
22354047 EN113_r06c04_Dep00Ch18_F01/0/01/3    77.02     0.67     426.69     0.47    14.95  -0.0822   0   Good 
22354047 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.79     0.60     573.59     0.55    17.57  -0.0565   0   Good 
22354047 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.35     0.64     450.81     0.53    16.85  -0.0735   0   Good 
22354047 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.52     0.63     348.43     0.44    14.03  -0.1032   0   Good 
22354047 EN135_r07c04_Dep00Ch22_F22/0/01/1    57.00     0.66     399.98     0.45    14.73  -0.0882   0   Good 
22354047 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.72     0.66     468.35     0.50    15.83  -0.0730   0   Good 
22354047 EN155_r08c02_Dep00Ch24_F22/0/00/3    65.95     0.63     366.48     0.44    13.80  -0.0988   0   Good 
22354047 EN156_r08c03_Dep00Ch25_F22/0/01/2    59.58     0.65     337.85     0.42    13.50  -0.1080   0   Good 
22354047 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.55     0.64     374.17     0.45    14.26  -0.0955   0   Good 
22354047 EN158_r08c05_Dep00Ch27_F22/0/02/2    38.05     0.66     492.68     0.50    15.87  -0.0693   0   Good 
22354047 EN177_r09c02_Dep00Ch28_F05/0/00/1    80.36     0.65     317.40     0.42    13.34  -0.1155   0   Good 
22354047 EN178_r09c03_Dep00Ch29_F05/0/01/0    57.30     0.66     379.91     0.45    14.41  -0.0937   0   Good 
22354047 EN179_r09c04_Dep00Ch30_F05/0/01/1    87.41     0.64     465.63     0.48    15.48  -0.0741   0   Good 
22354047 EN180_r09c05_Dep00Ch31_F05/0/02/0    71.36     0.66     469.15     0.48    15.40  -0.0738   0   Good 
22354047 EN027_r02c06_Dep01Ch00_F20/0/02/3    80.81     0.63     450.54     0.51    16.21  -0.0750   0   Good 
22354047 EN028_r02c07_Dep01Ch01_F20/0/03/2    67.23     0.63     372.75     0.46    14.46  -0.0953   0   Good 
22354047 EN029_r02c08_Dep01Ch02_F20/0/03/3    90.06     0.63     416.39     0.47    14.98  -0.0841   0   Good 
22354047 EN030_r02c09_Dep01Ch03_F20/0/04/2    47.96     0.63     461.23     0.52    16.36  -0.0729   0   Good 
22354047 EN049_r03c06_Dep01Ch04_F00/0/02/1    48.50     0.62     557.01     0.59    18.46  -0.0566   0   Good 
22354047 EN050_r03c07_Dep01Ch05_F00/0/03/0    90.97     0.58     392.39     0.48    15.28  -0.0885   0   Good 
22354047 EN051_r03c08_Dep01Ch06_F00/0/03/1    68.66     0.61     416.39     0.49    15.56  -0.0827   0   Good 
22354047 EN052_r03c09_Dep01Ch07_F00/0/04/0    76.81     0.58     449.28     0.50    16.33  -0.0750   0   Good 
22354047 EN071_r04c06_Dep01Ch08_F00/0/02/3   110.39     0.61     486.82     0.52    16.72  -0.0684   0   Good 
22354047 EN072_r04c07_Dep01Ch09_F00/0/03/2    91.22     0.61     419.24     0.49    15.60  -0.0821   0   Good 
22354047 EN073_r04c08_Dep01Ch10_F00/0/03/3    70.27     0.61     446.41     0.50    15.76  -0.0767   0   Good 
22354047 EN074_r04c09_Dep01Ch11_F00/0/04/2    69.75     0.62     424.19     0.49    15.66  -0.0810   0   Good 
22354047 EN093_r05c06_Dep01Ch12_F01/0/02/1    59.49     0.62     522.80     0.56    17.63  -0.0619   0   Good 
22354047 EN094_r05c07_Dep01Ch13_F01/0/03/0    75.80     0.63     321.03     0.44    13.76  -0.1129   0   Good 
22354047 EN095_r05c08_Dep01Ch14_F01/0/03/1    61.33     0.66     351.85     0.43    13.79  -0.1029   0   Good 
22354047 EN096_r05c09_Dep01Ch15_F01/0/04/0    70.52     0.62     439.79     0.48    15.33  -0.0788   0   Good 
22354047 EN115_r06c06_Dep01Ch16_F01/0/02/3    77.93     0.64     500.16     0.52    16.54  -0.0669   0   Good 
22354047 EN116_r06c07_Dep01Ch17_F01/0/03/2    51.78     0.63     348.79     0.44    13.77  -0.1039   0   Good 
22354047 EN117_r06c08_Dep01Ch18_F01/0/03/3    75.32     0.64     440.48     0.50    15.84  -0.0776   0   Good 
22354047 EN118_r06c09_Dep01Ch19_F01/0/04/2    36.54     0.65     470.12     0.52    16.36  -0.0715   0   Good 
22354047 EN137_r07c06_Dep01Ch20_F22/0/02/1    67.71     0.61     476.56     0.50    16.08  -0.0712   0   Good 
22354047 EN138_r07c07_Dep01Ch21_F22/0/03/0    71.73     0.61     492.06     0.52    16.55  -0.0680   0   Good 
22354047 EN139_r07c08_Dep01Ch22_F22/0/03/1    50.69     0.63     629.62     0.58    18.49  -0.0500   0   Good 
22354047 EN140_r07c09_Dep01Ch23_F22/0/04/0   115.35     0.62     483.76     0.53    16.92  -0.0684   0   Good 
22354047 EN159_r08c06_Dep01Ch24_F22/0/02/3    97.02     0.61     556.76     0.53    16.79  -0.0596   0   Good 
22354047 EN160_r08c07_Dep01Ch25_F22/0/03/2    99.61     0.64     498.00     0.50    15.78  -0.0687   0   Good 
22354047 EN161_r08c08_Dep01Ch26_F22/0/03/3   102.22     0.62     610.08     0.55    17.80  -0.0528   0   Good 
22354047 EN162_r08c09_Dep01Ch27_F22/0/04/2    44.17     0.74     464.71     0.49    15.54  -0.0741   0   Good 
22354047 EN181_r09c06_Dep01Ch28_F05/0/02/1    62.32     0.63     555.86     0.52    16.63  -0.0600   0   Good 
22354047 EN182_r09c07_Dep01Ch29_F05/0/03/0    83.94     0.65     598.90     0.56    18.23  -0.0530   0   Good 
22354047 EN183_r09c08_Dep01Ch30_F05/0/03/1    74.21     0.64     620.21     0.55    17.72  -0.0520   0   Good 
22354047 EN184_r09c09_Dep01Ch31_F05/0/04/0    34.14     0.71     488.30     0.51    16.17  -0.0693   0   Good 
22354047 EN031_r02c10_Dep02Ch00_F20/0/04/3    87.07     0.60     410.49     0.49    15.36  -0.0844   0   Good 
22354047 EN032_r02c11_Dep02Ch01_F20/0/05/2    22.79     0.63     333.46     0.41    13.17  -0.1105   0   Good 
22354047 EN033_r02c12_Dep02Ch02_F20/0/05/3   100.39     0.61     314.05     0.41    13.16  -0.1173   0   Good 
22354047 EN034_r02c13_Dep02Ch03_F20/0/06/2    97.34     0.61     311.09     0.40    12.78  -0.1197   0   Good 
22354047 EN053_r03c10_Dep02Ch04_F00/0/04/1    71.10     0.59     403.62     0.48    15.25  -0.0861   0   Good 
22354047 EN054_r03c11_Dep02Ch05_F00/0/05/0    62.73     0.60     380.10     0.48    15.03  -0.0920   0   Good 
22354047 EN055_r03c12_Dep02Ch06_F00/0/05/1    70.67     0.63     344.33     0.43    13.56  -0.1058   0   Good 
22354047 EN056_r03c13_Dep02Ch07_F00/0/06/0    89.05     0.60     557.83     0.56    17.92  -0.0575   0   Good 
22354047 EN075_r04c10_Dep02Ch08_F00/0/04/3    78.39     0.61     451.28     0.49    15.62  -0.0762   0   Good 
22354047 EN076_r04c11_Dep02Ch09_F00/0/05/2    46.09     0.62     356.72     0.43    13.42  -0.1025   0   Good 
22354047 EN077_r04c12_Dep02Ch10_F00/0/05/3    49.48     0.63     416.32     0.47    15.06  -0.0839   0   Good 
22354047 EN078_r04c13_Dep02Ch11_F00/0/06/2    33.44     0.62     450.92     0.50    16.02  -0.0754   0   Good 
22354047 EN097_r05c10_Dep02Ch12_F01/0/04/1    47.53     0.55     378.31     0.46    14.61  -0.0935   0   Good 
22354047 EN098_r05c11_Dep02Ch13_F01/0/05/0    63.12     0.61     351.26     0.42    13.44  -0.1041   0   Good 
22354047 EN099_r05c12_Dep02Ch14_F01/0/05/1    54.37     0.64     320.67     0.40    12.72  -0.1162   0   Good 
22354047 EN100_r05c13_Dep02Ch15_F01/0/06/0    79.84     0.61     395.82     0.45    14.55  -0.0896   0   Good 
22354047 EN119_r06c10_Dep02Ch16_F01/0/04/3    80.15     0.62     463.53     0.49    15.55  -0.0743   0   Good 
22354047 EN120_r06c11_Dep02Ch17_F01/0/05/2    60.77     0.64     405.65     0.46    14.64  -0.0872   0   Good 
22354047 EN121_r06c12_Dep02Ch18_F01/0/05/3    65.12     0.64     321.28     0.41    13.05  -0.1150   0   Good 
22354047 EN122_r06c13_Dep02Ch19_F01/0/06/2    50.61     0.66     445.25     0.47    15.22  -0.0781   0   Good 
22354047 EN141_r07c10_Dep02Ch20_F22/0/04/1    40.22     0.61     517.58     0.53    16.99  -0.0638   0   Good 
22354047 EN142_r07c11_Dep02Ch21_F22/0/05/0    72.15     0.60     377.06     0.46    14.22  -0.0949   0   Good 
22354047 EN143_r07c12_Dep02Ch22_F22/0/05/1    43.50     0.65     277.40     0.41    12.78  -0.1342   0   Good 
22354047 EN144_r07c13_Dep02Ch23_F22/0/06/0    71.46     0.63     366.96     0.46    14.70  -0.0962   0   Good 
22354047 EN163_r08c10_Dep02Ch24_F22/0/04/3    53.21     0.61     407.22     0.45    14.62  -0.0869   0   Good 
22354047 EN164_r08c11_Dep02Ch25_F22/0/05/2    54.17     0.63     359.90     0.44    13.90  -0.1003   0   Good 
22354047 EN165_r08c12_Dep02Ch26_F22/0/05/3    59.18     0.63     304.09     0.43    13.67  -0.1195   0   Good 
22354047 EN166_r08c13_Dep02Ch27_F22/0/06/2    45.50     0.65     358.00     0.45    14.14  -0.1002   0   Good 
22354047 EN185_r09c10_Dep02Ch28_F05/0/04/1    35.91     0.63     440.00     0.49    15.59  -0.0782   0   Good 
22354047 EN186_r09c11_Dep02Ch29_F05/0/05/0    57.51     0.62     289.62     0.41    13.06  -0.1276   0   Good 
22354047 EN187_r09c12_Dep02Ch30_F05/0/05/1    84.66     0.62     247.17     0.39    12.11  -0.1533   0   Good 
22354047 EN188_r09c13_Dep02Ch31_F05/0/06/0    50.40     0.64     482.14     0.54    16.73  -0.0690   0   Good 
22354047 EN035_r02c14_Dep03Ch00_F20/0/06/3    62.47     0.69     372.35     0.42    13.62  -0.0977   0   Good 
22354047 EN036_r02c15_Dep03Ch01_F20/0/07/2    47.80     0.69     587.97     0.55    18.07  -0.0543   0   Good 
22354047 EN037_r02c16_Dep03Ch02_F20/0/07/3    75.66     0.68     591.69     0.55    17.80  -0.0544   0   Good 
22354047 EN038_r02c17_Dep03Ch03_F20/0/08/2    40.89     0.67     596.64     0.57    18.03  -0.0536   0   Good 
22354047 EN057_r03c14_Dep03Ch04_F00/0/06/1    63.63     0.70     567.22     0.57    17.67  -0.0570   0   Good 
22354047 EN058_r03c15_Dep03Ch05_F00/0/07/0    78.71     0.69     650.62     0.60    19.19  -0.0474   0   Good 
22354047 EN059_r03c16_Dep03Ch06_F00/0/07/1    47.75     0.69     642.89     0.61    19.26  -0.0478   0   Good 
22354047 EN060_r03c17_Dep03Ch07_F00/0/08/0    75.59     0.70     575.35     0.59    18.46  -0.0548   0   Good 
22354047 EN079_r04c14_Dep03Ch08_F00/0/06/3    88.23     0.69     517.68     0.51    16.00  -0.0657   0   Good 
22354047 EN080_r04c15_Dep03Ch09_F00/0/07/2    72.09     0.69     611.62     0.60    19.02  -0.0507   0   Good 
22354047 EN081_r04c16_Dep03Ch10_F00/0/07/3    90.01     0.70     520.74     0.56    17.61  -0.0622   0   Good 
22354047 EN082_r04c17_Dep03Ch11_F00/0/08/2    57.62     0.70     524.17     0.54    17.09  -0.0628   0   Good 
22354047 EN101_r05c14_Dep03Ch12_F01/0/06/1    94.86     0.68     506.74     0.52    16.73  -0.0657   0   Good 
22354047 EN102_r05c15_Dep03Ch13_F01/0/07/0   108.63     0.72     474.57     0.50    15.77  -0.0721   0   Good 
22354047 EN103_r05c16_Dep03Ch14_F01/0/07/1    59.74     0.73     468.24     0.51    16.10  -0.0724   0   Good 
22354047 EN104_r05c17_Dep03Ch15_F01/0/08/0    65.99     0.69     359.72     0.44    14.13  -0.0997   0   Good 
22354047 EN123_r06c14_Dep03Ch16_F01/0/06/3   109.09     0.69     420.58     0.47    15.26  -0.0826   0   Good 
