run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22332028 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.51     0.63    1260.25     1.34    42.18  -0.0062   0   Good 
22332028 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.82     0.66    1215.26     1.32    41.99  -0.0066   0   Good 
22332028 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.59     0.66    1387.16     1.29    42.65  -0.0053   0   Good 
22332028 EN026_r02c05_Dep00Ch03_F20/0/02/2    39.25     0.69    1511.64     1.35    44.12  -0.0039   0   Good 
22332028 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.24     0.67    1221.16     1.24    39.94  -0.0082   0   Good 
22332028 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.38     0.66    1375.59     1.28    41.48  -0.0062   0   Good 
22332028 EN047_r03c04_Dep00Ch06_F00/0/01/1    53.04     0.66    1352.00     1.34    43.22  -0.0050   0   Good 
22332028 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.35     0.64    1422.12     1.30    42.38  -0.0054   0   Good 
22332028 EN067_r04c02_Dep00Ch08_F00/0/00/3    78.52     0.58    1225.69     1.22    39.00  -0.0090   0   Good 
22332028 EN068_r04c03_Dep00Ch09_F00/0/01/2    60.24     0.65    1450.19     1.29    42.61  -0.0051   0   Good 
22332028 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.20     0.66    1669.28     1.44    46.37  -0.0022   0   Good 
22332028 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.57     0.67    1430.57     1.40    45.12  -0.0034   0   Good 
22332028 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.42     0.66    1541.21     1.48    48.10  -0.0012   0   Good 
22332028 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.86     0.66    1112.23     1.23    38.91  -0.0100   0   Good 
22332028 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.46     0.68    1282.21     1.26    40.41  -0.0075   0   Good 
22332028 EN092_r05c05_Dep00Ch15_F01/0/02/0    50.03     0.66    1434.12     1.36    43.55  -0.0045   0   Good 
22332028 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.72     0.64    1489.32     1.47    47.06  -0.0020   0   Good 
22332028 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.53     0.63    1171.30     1.22    39.44  -0.0090   0   Good 
22332028 EN113_r06c04_Dep00Ch18_F01/0/01/3    71.78     0.67    1121.57     1.16    37.49  -0.0112   0   Good 
22332028 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.35     0.68    1503.86     1.40    45.15  -0.0032   0   Good 
22332028 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.54     0.66    1194.33     1.29    40.92  -0.0076   0   Good 
22332028 EN134_r07c03_Dep00Ch21_F22/0/01/0    72.02     0.66     922.77     1.06    34.14  -0.0172   0   Good 
22332028 EN135_r07c04_Dep00Ch22_F22/0/01/1    52.22     0.67    1050.53     1.12    35.66  -0.0136   0   Good 
22332028 EN136_r07c05_Dep00Ch23_F22/0/02/0    45.22     0.65    1226.46     1.33    40.44  -0.0078   0   Good 
22332028 EN155_r08c02_Dep00Ch24_F22/0/00/3    62.06     0.65     966.60     1.08    34.93  -0.0156   0   Good 
