run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22325013 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.60     0.63    1265.84     1.26    40.15  -0.0078   0   Good 
22325013 EN024_r02c03_Dep00Ch01_F20/0/01/2    32.23     0.64    1228.80     1.24    40.32  -0.0079   0   Good 
22325013 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.92     0.66    1394.64     1.35    43.06  -0.0050   0   Good 
22325013 EN026_r02c05_Dep00Ch03_F20/0/02/2    38.43     0.66    1523.43     1.44    45.11  -0.0032   0   Good 
22325013 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.10     0.66    1229.33     1.22    38.85  -0.0091   0   Good 
22325013 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.49     0.66    1378.07     1.32    42.08  -0.0057   0   Good 
22325013 EN047_r03c04_Dep00Ch06_F00/0/01/1    52.53     0.67    1356.95     1.41    44.17  -0.0043   0   Good 
22325013 EN048_r03c05_Dep00Ch07_F00/0/02/0    60.76     0.65    1429.22     1.38    44.69  -0.0037   0   Good 
22325013 EN067_r04c02_Dep00Ch08_F00/0/00/3    78.08     0.62    1236.42     1.25    38.98  -0.0089   0   Good 
22325013 EN068_r04c03_Dep00Ch09_F00/0/01/2    60.30     0.65    1457.50     1.39    44.54  -0.0037   0   Good 
22325013 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.23     0.66    1677.46     1.39    46.71  -0.0020   0   Good 
22325013 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.41     0.65    1445.06     1.37    44.00  -0.0041   0   Good 
22325013 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.04     0.67    1551.29     1.45    46.56  -0.0022   0   Good 
22325013 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.70     0.68    1119.58     1.24    39.29  -0.0096   0   Good 
22325013 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.63     0.68    1292.04     1.27    40.95  -0.0070   0   Good 
22325013 EN092_r05c05_Dep00Ch15_F01/0/02/0    50.28     0.67    1444.65     1.39    44.28  -0.0040   0   Good 
22325013 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.79     0.65    1498.95     1.44    45.90  -0.0027   0   Good 
22325013 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.14     0.64    1181.01     1.18    37.95  -0.0102   0   Good 
22325013 EN113_r06c04_Dep00Ch18_F01/0/01/3    72.81     0.67    1128.43     1.17    37.39  -0.0112   0   Good 
22325013 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.11     0.67    1513.68     1.41    44.35  -0.0037   0   Good 
22325013 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.05     0.66    1205.16     1.26    40.66  -0.0078   0   Good 
