run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23094051 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.50     0.68    1013.13     0.76    21.03  -0.0286   0   Good LedOrFeeOff?
23094051 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.38     0.69    1004.51     0.75    22.14  -0.0277   0   Good LedOrFeeOff?
23094051 EN025_r02c04_Dep00Ch02_F20/0/01/3    62.38     0.62    1129.40     0.80    23.52  -0.0234   0   Good LedOrFeeOff?
23094051 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.97     0.68    1214.21     0.75    23.22  -0.0221   0   Good LedOrFeeOff?
23094051 EN045_r03c02_Dep00Ch04_F00/0/00/1    97.50     0.69     987.29     0.76    21.84  -0.0285   0   Good LedOrFeeOff?
23094051 EN046_r03c03_Dep00Ch05_F00/0/01/0    56.18     0.69    1078.03     0.73    21.45  -0.0265   0   Good LedOrFeeOff?
23094051 EN047_r03c04_Dep00Ch06_F00/0/01/1    64.49     0.69    1052.81     0.78    22.78  -0.0259   0   Good LedOrFeeOff?
23094051 EN048_r03c05_Dep00Ch07_F00/0/02/0    71.21     0.70    1130.49     0.80    23.50  -0.0234   0   Good LedOrFeeOff?
23094051 EN067_r04c02_Dep00Ch08_F00/0/00/3    94.22     0.65     968.55     0.72    20.91  -0.0300   0   Good LedOrFeeOff?
23094051 EN068_r04c03_Dep00Ch09_F00/0/01/2    70.18     0.68    1138.10     0.89    23.56  -0.0232   0   Good LedOrFeeOff?
23094051 EN069_r04c04_Dep00Ch10_F00/0/01/3    59.13     0.67    1315.76     0.93    26.06  -0.0182   0   Good LedOrFeeOff?
23094051 EN070_r04c05_Dep00Ch11_F00/0/02/2    87.30     0.72    1128.47     0.86    24.64  -0.0225   0   Good LedOrFeeOff?
23094051 EN089_r05c02_Dep00Ch12_F01/0/00/1    64.34     0.72    1224.58     0.86    24.81  -0.0206   0   Good LedOrFeeOff?
23094051 EN090_r05c03_Dep00Ch13_F01/0/01/0    59.87     0.73     900.66     0.73    20.94  -0.0323   0   Good LedOrFeeOff?
23094051 EN091_r05c04_Dep00Ch14_F01/0/01/1    65.37     0.71    1038.65     0.71    20.77  -0.0281   0   Good LedOrFeeOff?
23094051 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.16     0.72    1139.41     0.81    23.68  -0.0231   0   Good LedOrFeeOff?
23094051 EN111_r06c02_Dep00Ch16_F01/0/00/3    88.60     0.68    1178.60     0.95    26.27  -0.0201   0   Good LedOrFeeOff?
23094051 EN112_r06c03_Dep00Ch17_F01/0/01/2    55.22     0.73     927.37     0.71    20.57  -0.0317   0   Good LedOrFeeOff?
23094051 EN113_r06c04_Dep00Ch18_F01/0/01/3    83.52     0.71     889.84     0.69    19.36  -0.0344   0   Good LedOrFeeOff?
23094051 EN114_r06c05_Dep00Ch19_F01/0/02/2    51.37     0.73    1191.88     0.84    23.54  -0.0222   0   Good LedOrFeeOff?
