run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22343029 EN023_r02c02_Dep00Ch00_F20/0/00/3    57.15     0.59     475.09     0.51    16.62  -0.0703   0   Good 
22343029 EN024_r02c03_Dep00Ch01_F20/0/01/2    38.56     0.63     460.09     0.50    16.30  -0.0732   0   Good 
22343029 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.78     0.63     523.40     0.53    17.15  -0.0628   0   Good 
22343029 EN026_r02c05_Dep00Ch03_F20/0/02/2    44.12     0.65     574.11     0.58    18.37  -0.0551   0   Good 
22343029 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.56     0.64     460.47     0.52    16.35  -0.0731   0   Good 
22343029 EN046_r03c03_Dep00Ch05_F00/0/01/0    52.12     0.63     516.58     0.53    17.04  -0.0638   0   Good 
22343029 EN047_r03c04_Dep00Ch06_F00/0/01/1    58.84     0.65     504.77     0.53    16.83  -0.0657   0   Good 
22343029 EN048_r03c05_Dep00Ch07_F00/0/02/0    65.45     0.56     539.77     0.55    17.51  -0.0602   0   Good 
22343029 EN067_r04c02_Dep00Ch08_F00/0/00/3    85.36     0.62     460.19     0.49    15.86  -0.0742   0   Good 
22343029 EN068_r04c03_Dep00Ch09_F00/0/01/2    65.55     0.65     545.68     0.55    17.35  -0.0598   0   Good 
22343029 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.76     0.63     627.39     0.58    18.45  -0.0503   0   Good 
22343029 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.28     0.64     541.72     0.55    17.57  -0.0599   0   Good 
22343029 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.44     0.65     579.89     0.60    19.19  -0.0531   0   Good 
22343029 EN090_r05c03_Dep00Ch13_F01/0/01/0    53.91     0.66     418.98     0.47    15.40  -0.0826   0   Good 
22343029 EN091_r05c04_Dep00Ch14_F01/0/01/1    59.90     0.66     484.91     0.53    16.45  -0.0692   0   Good 
22343029 EN092_r05c05_Dep00Ch15_F01/0/02/0    55.15     0.64     542.62     0.55    17.92  -0.0591   0   Good 
22343029 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.51     0.63     560.80     0.62    19.01  -0.0553   0   Good 
22343029 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.14     0.64     441.91     0.49    15.56  -0.0779   0   Good 
22343029 EN113_r06c04_Dep00Ch18_F01/0/01/3    76.09     0.67     423.45     0.47    14.85  -0.0830   0   Good 
22343029 EN114_r06c05_Dep00Ch19_F01/0/02/2    44.86     0.62     569.34     0.55    17.53  -0.0570   0   Good 
22343029 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.52     0.64     449.40     0.50    15.99  -0.0757   0   Good 
22343029 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.74     0.63     345.69     0.43    13.68  -0.1051   0   Good 
22343029 EN135_r07c04_Dep00Ch22_F22/0/01/1    56.98     0.65     396.73     0.46    14.74  -0.0889   0   Good 
22343029 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.64     0.66     464.92     0.51    16.38  -0.0723   0   Good 
22343029 EN155_r08c02_Dep00Ch24_F22/0/00/3    66.38     0.62     363.93     0.43    13.93  -0.0991   0   Good 
22343029 EN156_r08c03_Dep00Ch25_F22/0/01/2    58.87     0.64     335.82     0.44    13.83  -0.1077   0   Good 
22343029 EN157_r08c04_Dep00Ch26_F22/0/01/3    55.60     0.64     372.95     0.43    13.71  -0.0973   0   Good 
22343029 EN158_r08c05_Dep00Ch27_F22/0/02/2    38.02     0.65     487.39     0.52    16.22  -0.0693   0   Good 
22343029 EN177_r09c02_Dep00Ch28_F05/0/00/1    79.84     0.65     315.27     0.39    12.57  -0.1187   0   Good 
22343029 EN178_r09c03_Dep00Ch29_F05/0/01/0    57.41     0.64     376.09     0.44    14.09  -0.0955   0   Good 
22343029 EN179_r09c04_Dep00Ch30_F05/0/01/1    86.16     0.64     464.76     0.48    15.43  -0.0744   0   Good 
