run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22318095 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.14     0.65    1272.50     1.32    41.73  -0.0065   0   Good 
22318095 EN024_r02c03_Dep00Ch01_F20/0/01/2    31.82     0.65    1234.96     1.24    40.07  -0.0080   0   Good 
22318095 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.05     0.66    1409.55     1.31    42.13  -0.0056   0   Good 
22318095 EN026_r02c05_Dep00Ch03_F20/0/02/2    38.71     0.67    1530.99     1.41    45.06  -0.0032   0   Good 
22318095 EN045_r03c02_Dep00Ch04_F00/0/00/1    86.88     0.66    1237.43     1.21    38.81  -0.0090   0   Good 
22318095 EN046_r03c03_Dep00Ch05_F00/0/01/0    46.13     0.66    1390.25     1.31    42.33  -0.0055   0   Good 
22318095 EN047_r03c04_Dep00Ch06_F00/0/01/1    53.64     0.65    1366.18     1.28    41.64  -0.0061   0   Good 
22318095 EN048_r03c05_Dep00Ch07_F00/0/02/0    59.60     0.65    1441.20     1.30    42.05  -0.0055   0   Good 
22318095 EN067_r04c02_Dep00Ch08_F00/0/00/3    81.16     0.61    1242.27     1.22    39.24  -0.0087   0   Good 
22318095 EN068_r04c03_Dep00Ch09_F00/0/01/2    59.92     0.66    1469.79     1.30    41.18  -0.0060   0   Good 
22318095 EN069_r04c04_Dep00Ch10_F00/0/01/3    48.92     0.64    1690.56     1.37    44.74  -0.0031   0   Good 
22318095 EN070_r04c05_Dep00Ch11_F00/0/02/2    77.82     0.65    1453.53     1.33    42.44  -0.0052   0   Good 
22318095 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.07     0.67    1562.71     1.43    46.27  -0.0024   0   Good 
22318095 EN090_r05c03_Dep00Ch13_F01/0/01/0    48.85     0.67    1128.49     1.20    38.27  -0.0104   0   Good 
22318095 EN091_r05c04_Dep00Ch14_F01/0/01/1    54.41     0.68    1300.12     1.21    37.78  -0.0094   0   Good 
22318095 EN092_r05c05_Dep00Ch15_F01/0/02/0    49.37     0.67    1452.98     1.38    43.49  -0.0045   0   Good 
22318095 EN111_r06c02_Dep00Ch16_F01/0/00/3    77.56     0.65    1511.31     1.37    44.79  -0.0035   0   Good 
22318095 EN112_r06c03_Dep00Ch17_F01/0/01/2    43.79     0.63    1190.10     1.15    36.99  -0.0109   0   Good 
22318095 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.93     0.68    1136.10     1.19    38.03  -0.0105   0   Good 
22318095 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.04     0.68    1525.27     1.35    44.83  -0.0034   0   Good 
22318095 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.38     0.65    1214.73     1.26    40.55  -0.0078   0   Good 
22318095 EN134_r07c03_Dep00Ch21_F22/0/01/0    71.90     0.66     935.53     1.09    33.12  -0.0180   0   Good 
22318095 EN135_r07c04_Dep00Ch22_F22/0/01/1    51.97     0.66    1066.85     1.16    36.80  -0.0124   0   Good 
22318095 EN136_r07c05_Dep00Ch23_F22/0/02/0    44.35     0.64    1244.63     1.19    39.65  -0.0083   0   Good 
22318095 EN155_r08c02_Dep00Ch24_F22/0/00/3    60.89     0.64     983.90     1.12    35.29  -0.0150   0   Good 
22318095 EN156_r08c03_Dep00Ch25_F22/0/01/2    53.99     0.64     910.49     1.03    32.99  -0.0187   0   Good 
22318095 EN157_r08c04_Dep00Ch26_F22/0/01/3    51.91     0.64     994.69     1.06    33.62  -0.0165   0   Good 
22318095 EN158_r08c05_Dep00Ch27_F22/0/02/2    33.69     0.67    1297.37     1.22    40.44  -0.0074   0   Good 
22318095 EN177_r09c02_Dep00Ch28_F05/0/00/1    76.21     0.64     848.74     0.95    30.34  -0.0232   0   Good 
22318095 EN178_r09c03_Dep00Ch29_F05/0/01/0    53.01     0.67    1004.20     1.08    34.13  -0.0158   0   Good 
22318095 EN179_r09c04_Dep00Ch30_F05/0/01/1    83.36     0.66    1241.31     1.18    38.36  -0.0094   0   Good 
22318095 EN180_r09c05_Dep00Ch31_F05/0/02/0    66.57     0.65    1236.90     1.21    38.70  -0.0091   0   Good 
22318095 EN027_r02c06_Dep01Ch00_F20/0/02/3    75.10     0.63    1208.36     1.28    40.03  -0.0083   0   Good 
22318095 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.02     0.61     995.52     1.08    34.27  -0.0158   0   Good 
22318095 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.22     0.64    1107.28     1.13    36.70  -0.0120   0   Good 
22318095 EN030_r02c09_Dep01Ch03_F20/0/04/2    42.66     0.63    1224.06     1.23    39.10  -0.0089   0   Good 
22318095 EN049_r03c06_Dep01Ch04_F00/0/02/1    42.95     0.62    1496.19     1.40    44.98  -0.0034   0   Good 
22318095 EN050_r03c07_Dep01Ch05_F00/0/03/0    86.03     0.63    1044.68     1.18    37.81  -0.0117   0   Good 
22318095 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.29     0.62    1133.21     1.22    38.63  -0.0100   0   Good 
22318095 EN052_r03c09_Dep01Ch07_F00/0/04/0    70.87     0.63    1179.73     1.17    37.83  -0.0103   0   Good 
22318095 EN071_r04c06_Dep01Ch08_F00/0/02/3   110.50     0.61    1299.71     1.30    41.20  -0.0068   0   Good 
22318095 EN072_r04c07_Dep01Ch09_F00/0/03/2    86.79     0.63    1121.75     1.22    38.90  -0.0099   0   Good 
22318095 EN073_r04c08_Dep01Ch10_F00/0/03/3    65.37     0.61    1194.04     1.21    39.10  -0.0091   0   Good 
22318095 EN074_r04c09_Dep01Ch11_F00/0/04/2    62.78     0.65    1120.27     1.25    38.16  -0.0106   0   Good 
22318095 EN093_r05c06_Dep01Ch12_F01/0/02/1    53.78     0.63    1416.01     1.39    44.15  -0.0041   0   Good 
22318095 EN094_r05c07_Dep01Ch13_F01/0/03/0    71.24     0.61     872.14     1.02    32.63  -0.0199   0   Good 
22318095 EN095_r05c08_Dep01Ch14_F01/0/03/1    56.18     0.66     933.60     1.07    33.47  -0.0177   0   Good 
22318095 EN096_r05c09_Dep01Ch15_F01/0/04/0    64.05     0.63    1181.92     1.20    38.26  -0.0099   0   Good 
22318095 EN115_r06c06_Dep01Ch16_F01/0/02/3    73.44     0.63    1349.68     1.30    41.46  -0.0063   0   Good 
22318095 EN116_r06c07_Dep01Ch17_F01/0/03/2    47.10     0.63     942.38     1.12    35.44  -0.0154   0   Good 
22318095 EN117_r06c08_Dep01Ch18_F01/0/03/3    68.09     0.60    1173.03     1.17    38.04  -0.0102   0   Good 
22318095 EN118_r06c09_Dep01Ch19_F01/0/04/2    31.85     0.65    1253.95     1.27    40.12  -0.0079   0   Good 
22318095 EN137_r07c06_Dep01Ch20_F22/0/02/1    62.61     0.63    1280.10     1.32    41.97  -0.0063   0   Good 
22318095 EN138_r07c07_Dep01Ch21_F22/0/03/0    66.69     0.65    1315.92     1.29    41.03  -0.0068   0   Good 
22318095 EN139_r07c08_Dep01Ch22_F22/0/03/1    45.63     0.63    1675.75     1.55    48.93  -0.0006   0   Good 
22318095 EN140_r07c09_Dep01Ch23_F22/0/04/0   110.76     0.65    1294.97     1.31    42.31  -0.0059   0   Good 
22318095 EN159_r08c06_Dep01Ch24_F22/0/02/3    92.47     0.62    1499.35     1.34    43.50  -0.0043   0   Good 
22318095 EN160_r08c07_Dep01Ch25_F22/0/03/2    95.36     0.64    1331.98     1.24    38.95  -0.0083   0   Good 
22318095 EN161_r08c08_Dep01Ch26_F22/0/03/3    97.75     0.64    1628.95     1.38    44.78  -0.0032   0   Good 
