run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22354045 EN023_r02c02_Dep00Ch00_F20/0/00/3    57.73     0.60     153.16     0.32     9.99  -0.2613   0   Good 
22354045 EN024_r02c03_Dep00Ch01_F20/0/01/2    37.97     0.65     175.13     0.33    10.36  -0.2263   0   Good 
22354045 EN025_r02c04_Dep00Ch02_F20/0/01/3    58.30     0.62     261.92     0.41    12.94  -0.1415   0   Good 
22354045 EN026_r02c05_Dep00Ch03_F20/0/02/2    44.21     0.65     337.29     0.43    13.49  -0.1082   0   Good 
22354045 EN045_r03c02_Dep00Ch04_F00/0/00/1    92.97     0.63     172.10     0.32    10.09  -0.2319   0   Good 
22354045 EN046_r03c03_Dep00Ch05_F00/0/01/0    52.16     0.63     223.23     0.35    11.09  -0.1743   0   Good 
22354045 EN047_r03c04_Dep00Ch06_F00/0/01/1    60.09     0.64     279.58     0.39    12.54  -0.1340   0   Good 
22354045 EN048_r03c05_Dep00Ch07_F00/0/02/0    65.63     0.54     347.74     0.44    13.71  -0.1043   0   Good 
22354045 EN067_r04c02_Dep00Ch08_F00/0/00/3    89.94     0.63     175.46     0.31     9.77  -0.2293   0   Good 
22354045 EN068_r04c03_Dep00Ch09_F00/0/01/2    65.86     0.63     245.58     0.36    11.55  -0.1566   0   Good 
22354045 EN069_r04c04_Dep00Ch10_F00/0/01/3    54.56     0.63     349.87     0.43    13.67  -0.1038   0   Good 
22354045 EN070_r04c05_Dep00Ch11_F00/0/02/2    83.04     0.66     338.89     0.44    13.98  -0.1063   0   Good 
22354045 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.11     0.65     242.32     0.37    11.51  -0.1588   0   Good 
22354045 EN090_r05c03_Dep00Ch13_F01/0/01/0    54.47     0.65     208.98     0.35    10.91  -0.1871   0   Good 
22354045 EN091_r05c04_Dep00Ch14_F01/0/01/1    59.99     0.66     283.25     0.38    12.07  -0.1339   0   Good 
22354045 EN092_r05c05_Dep00Ch15_F01/0/02/0    55.17     0.63     344.87     0.42    13.54  -0.1057   0   Good 
22354045 EN111_r06c02_Dep00Ch16_F01/0/00/3    82.42     0.62     252.93     0.37    11.83  -0.1509   0   Good 
22354045 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.79     0.64     229.70     0.35    11.09  -0.1694   0   Good 
22354045 EN113_r06c04_Dep00Ch18_F01/0/01/3    77.48     0.66     256.64     0.40    12.59  -0.1457   0   Good 
22354045 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.51     0.59     380.88     0.43    13.68  -0.0953   0   Good 
22354045 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.49     0.64     196.79     0.34    10.64  -0.2000   0   Good 
22354045 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.93     0.63     171.39     0.32    10.15  -0.2325   0   Good 
22354045 EN135_r07c04_Dep00Ch22_F22/0/01/1    57.06     0.65     235.80     0.37    11.70  -0.1624   0   Good 
22354045 EN136_r07c05_Dep00Ch23_F22/0/02/0    50.23     0.65     312.94     0.40    12.61  -0.1195   0   Good 
22354045 EN155_r08c02_Dep00Ch24_F22/0/00/3    66.28     0.63     161.36     0.32     9.78  -0.2492   0   Good 
22354045 EN156_r08c03_Dep00Ch25_F22/0/01/2    59.69     0.64     165.46     0.32    10.11  -0.2411   0   Good 
22354045 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.61     0.64     231.73     0.34    10.97  -0.1684   0   Good 
22354045 EN158_r08c05_Dep00Ch27_F22/0/02/2    38.18     0.66     342.76     0.42    13.49  -0.1065   0   Good 
22354045 EN177_r09c02_Dep00Ch28_F05/0/00/1    80.42     0.64     149.81     0.30     9.19  -0.2724   0   Good 
22354045 EN178_r09c03_Dep00Ch29_F05/0/01/0    57.37     0.65     210.90     0.34    10.85  -0.1856   0   Good 
22354045 EN179_r09c04_Dep00Ch30_F05/0/01/1    87.09     0.64     305.07     0.38    12.10  -0.1242   0   Good 
22354045 EN180_r09c05_Dep00Ch31_F05/0/02/0    71.93     0.66     345.45     0.43    13.65  -0.1052   0   Good 
22354045 EN027_r02c06_Dep01Ch00_F20/0/02/3    80.65     0.63     304.28     0.43    13.57  -0.1197   0   Good 
