run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22335065 EN023_r02c02_Dep00Ch00_F20/0/00/3    55.84     0.63     481.79     0.52    16.47  -0.0696   0   Good 
22335065 EN024_r02c03_Dep00Ch01_F20/0/01/2    36.65     0.62     467.41     0.52    16.38  -0.0719   0   Good 
22335065 EN025_r02c04_Dep00Ch02_F20/0/01/3    57.21     0.63     532.65     0.51    16.54  -0.0628   0   Good 
22335065 EN026_r02c05_Dep00Ch03_F20/0/02/2    43.26     0.66     581.86     0.58    18.27  -0.0545   0   Good 
22335065 EN045_r03c02_Dep00Ch04_F00/0/00/1    91.34     0.61     469.36     0.51    16.71  -0.0709   0   Good 
22335065 EN046_r03c03_Dep00Ch05_F00/0/01/0    50.20     0.63     525.21     0.54    17.54  -0.0618   0   Good 
22335065 EN047_r03c04_Dep00Ch06_F00/0/01/1    56.70     0.63     510.92     0.53    16.85  -0.0649   0   Good 
22335065 EN048_r03c05_Dep00Ch07_F00/0/02/0    65.42     0.62     545.66     0.52    16.98  -0.0605   0   Good 
22335065 EN067_r04c02_Dep00Ch08_F00/0/00/3    86.63     0.63     466.95     0.50    15.78  -0.0733   0   Good 
22335065 EN068_r04c03_Dep00Ch09_F00/0/01/2    64.77     0.63     554.85     0.56    17.76  -0.0581   0   Good 
22335065 EN069_r04c04_Dep00Ch10_F00/0/01/3    53.57     0.63     636.97     0.59    18.54  -0.0494   0   Good 
22335065 EN070_r04c05_Dep00Ch11_F00/0/02/2    82.16     0.63     550.31     0.55    17.59  -0.0589   0   Good 
22335065 EN089_r05c02_Dep00Ch12_F01/0/00/1    57.89     0.65     588.76     0.58    18.64  -0.0533   0   Good 
22335065 EN090_r05c03_Dep00Ch13_F01/0/01/0    53.45     0.64     425.92     0.48    15.28  -0.0815   0   Good 
22335065 EN091_r05c04_Dep00Ch14_F01/0/01/1    59.24     0.67     492.62     0.50    16.02  -0.0690   0   Good 
22335065 EN092_r05c05_Dep00Ch15_F01/0/02/0    54.12     0.63     550.74     0.54    17.23  -0.0595   0   Good 
22335065 EN111_r06c02_Dep00Ch16_F01/0/00/3    81.57     0.64     571.05     0.58    18.60  -0.0550   0   Good 
22335065 EN112_r06c03_Dep00Ch17_F01/0/01/2    49.64     0.64     446.75     0.47    15.16  -0.0780   0   Good 
22335065 EN113_r06c04_Dep00Ch18_F01/0/01/3    74.52     0.66     429.85     0.48    15.03  -0.0814   0   Good 
22335065 EN114_r06c05_Dep00Ch19_F01/0/02/2    45.06     0.60     576.76     0.56    17.96  -0.0555   0   Good 
22335065 EN133_r07c02_Dep00Ch20_F22/0/00/1    48.27     0.63     455.21     0.49    15.74  -0.0753   0   Good 
22335065 EN134_r07c03_Dep00Ch21_F22/0/01/0    76.27     0.62     351.21     0.44    13.92  -0.1027   0   Good 
22335065 EN135_r07c04_Dep00Ch22_F22/0/01/1    56.21     0.64     402.45     0.45    14.31  -0.0887   0   Good 
22335065 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.43     0.65     471.20     0.52    16.14  -0.0719   0   Good 
22335065 EN155_r08c02_Dep00Ch24_F22/0/00/3    65.34     0.61     370.03     0.43    13.72  -0.0981   0   Good 
22335065 EN156_r08c03_Dep00Ch25_F22/0/01/2    58.30     0.62     341.68     0.42    13.35  -0.1073   0   Good 
22335065 EN157_r08c04_Dep00Ch26_F22/0/01/3    56.69     0.62     377.02     0.44    13.95  -0.0956   0   Good 
22335065 EN158_r08c05_Dep00Ch27_F22/0/02/2    37.33     0.64     492.71     0.50    15.98  -0.0690   0   Good 
22335065 EN177_r09c02_Dep00Ch28_F05/0/00/1    79.91     0.64     319.63     0.41    13.12  -0.1154   0   Good 
22335065 EN178_r09c03_Dep00Ch29_F05/0/01/0    56.76     0.65     379.91     0.45    14.26  -0.0941   0   Good 
22335065 EN179_r09c04_Dep00Ch30_F05/0/01/1    87.55     0.64     468.44     0.50    15.91  -0.0728   0   Good 
22335065 EN180_r09c05_Dep00Ch31_F05/0/02/0    71.10     0.66     467.27     0.47    15.39  -0.0741   0   Good 
22335065 EN027_r02c06_Dep01Ch00_F20/0/02/3    81.29     0.63     454.97     0.55    17.33  -0.0718   0   Good 
22335065 EN028_r02c07_Dep01Ch01_F20/0/03/2    67.29     0.64     373.03     0.46    14.58  -0.0950   0   Good 
22335065 EN029_r02c08_Dep01Ch02_F20/0/03/3    90.14     0.63     415.83     0.46    14.77  -0.0847   0   Good 
22335065 EN030_r02c09_Dep01Ch03_F20/0/04/2    48.77     0.64     459.87     0.51    15.75  -0.0745   0   Good 
22335065 EN049_r03c06_Dep01Ch04_F00/0/02/1    48.57     0.62     561.96     0.57    18.46  -0.0561   0   Good 
22335065 EN050_r03c07_Dep01Ch05_F00/0/03/0    91.24     0.61     394.43     0.47    14.91  -0.0890   0   Good 
22335065 EN051_r03c08_Dep01Ch06_F00/0/03/1    68.88     0.64     422.76     0.48    15.32  -0.0820   0   Good 
22335065 EN052_r03c09_Dep01Ch07_F00/0/04/0    75.92     0.59     441.88     0.49    15.46  -0.0782   0   Good 
22335065 EN071_r04c06_Dep01Ch08_F00/0/02/3   118.50     0.60     490.77     0.53    17.26  -0.0667   0   Good 
22335065 EN072_r04c07_Dep01Ch09_F00/0/03/2    91.65     0.61     425.36     0.48    15.18  -0.0819   0   Good 
22335065 EN073_r04c08_Dep01Ch10_F00/0/03/3    70.24     0.63     450.01     0.52    15.97  -0.0756   0   Good 
22335065 EN074_r04c09_Dep01Ch11_F00/0/04/2    69.18     0.63     422.23     0.49    15.52  -0.0817   0   Good 
22335065 EN093_r05c06_Dep01Ch12_F01/0/02/1    59.64     0.62     527.09     0.55    17.17  -0.0623   0   Good 
22335065 EN094_r05c07_Dep01Ch13_F01/0/03/0    76.21     0.61     327.63     0.43    13.37  -0.1118   0   Good 
22335065 EN095_r05c08_Dep01Ch14_F01/0/03/1    61.71     0.65     351.91     0.42    13.57  -0.1035   0   Good 
22335065 EN096_r05c09_Dep01Ch15_F01/0/04/0    69.55     0.62     444.65     0.51    15.91  -0.0767   0   Good 
22335065 EN115_r06c06_Dep01Ch16_F01/0/02/3    78.10     0.65     505.59     0.52    16.44  -0.0664   0   Good 
22335065 EN116_r06c07_Dep01Ch17_F01/0/03/2    52.30     0.63     353.04     0.44    14.06  -0.1018   0   Good 
22335065 EN117_r06c08_Dep01Ch18_F01/0/03/3    74.28     0.64     442.11     0.49    15.45  -0.0782   0   Good 
22335065 EN118_r06c09_Dep01Ch19_F01/0/04/2    36.85     0.65     472.89     0.50    16.16  -0.0716   0   Good 
22335065 EN137_r07c06_Dep01Ch20_F22/0/02/1    67.64     0.63     477.43     0.52    16.54  -0.0701   0   Good 
22335065 EN138_r07c07_Dep01Ch21_F22/0/03/0    71.99     0.59     495.64     0.50    16.09  -0.0684   0   Good 
22335065 EN139_r07c08_Dep01Ch22_F22/0/03/1    50.50     0.64     631.61     0.57    18.28  -0.0502   0   Good 
22335065 EN140_r07c09_Dep01Ch23_F22/0/04/0   115.89     0.65     486.56     0.51    16.32  -0.0692   0   Good 
