run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23077021 EN023_r02c02_Dep00Ch00_F20/0/00/3    60.02     0.67    1010.95     0.73    21.82  -0.0279   0   Good 
23077021 EN024_r02c03_Dep00Ch01_F20/0/01/2    40.45     0.67    1008.25     0.76    22.24  -0.0275   0   Good 
23077021 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.43     0.66    1139.06     0.89    24.62  -0.0223   0   Good 
23077021 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.07     0.68    1217.48     0.91    24.75  -0.0207   0   Good 
23077021 EN045_r03c02_Dep00Ch04_F00/0/00/1    94.95     0.69     971.54     0.76    22.01  -0.0288   0   Good 
23077021 EN046_r03c03_Dep00Ch05_F00/0/01/0    54.71     0.66    1097.22     0.74    22.58  -0.0250   0   Good 
23077021 EN047_r03c04_Dep00Ch06_F00/0/01/1    60.86     0.67    1058.98     0.82    22.51  -0.0260   0   Good 
23077021 EN048_r03c05_Dep00Ch07_F00/0/02/0    68.57     0.68    1135.63     0.87    23.78  -0.0231   0   Good 
23077021 EN067_r04c02_Dep00Ch08_F00/0/00/3    92.29     0.68     966.03     0.65    21.01  -0.0300   0   Good 
23077021 EN068_r04c03_Dep00Ch09_F00/0/01/2    68.67     0.68    1142.87     0.83    23.66  -0.0231   0   Good 
23077021 EN069_r04c04_Dep00Ch10_F00/0/01/3    57.68     0.68    1319.82     0.99    25.88  -0.0183   0   Good 
23077021 EN070_r04c05_Dep00Ch11_F00/0/02/2    85.54     0.65    1135.54     0.89    24.43  -0.0225   0   Good 
23077021 EN089_r05c02_Dep00Ch12_F01/0/00/1    62.18     0.69    1219.74     0.84    24.35  -0.0210   0   Good 
23077021 EN090_r05c03_Dep00Ch13_F01/0/01/0    57.73     0.71     908.34     0.82    21.66  -0.0312   0   Good 
23077021 EN091_r05c04_Dep00Ch14_F01/0/01/1    63.58     0.64    1032.66     0.73    21.43  -0.0277   0   Good 
23077021 EN092_r05c05_Dep00Ch15_F01/0/02/0    58.34     0.68    1132.71     0.85    23.83  -0.0231   0   Good 
23077021 EN111_r06c02_Dep00Ch16_F01/0/00/3    86.61     0.72    1191.63     1.05    27.46  -0.0189   0   Good 
23077021 EN112_r06c03_Dep00Ch17_F01/0/01/2    53.23     0.70     939.59     0.75    21.84  -0.0300   0   Good 
23077021 EN113_r06c04_Dep00Ch18_F01/0/01/3    80.49     0.71     914.64     0.71    21.30  -0.0314   0   Good 
23077021 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.95     0.72    1192.16     0.92    25.26  -0.0207   0   Good 
23077021 EN133_r07c02_Dep00Ch20_F22/0/00/1    53.32     0.70     953.21     0.88    23.23  -0.0281   0   Good 
23077021 EN134_r07c03_Dep00Ch21_F22/0/01/0    80.00     0.67     721.88     0.57    17.39  -0.0452   0   Good 
23077021 EN135_r07c04_Dep00Ch22_F22/0/01/1    60.63     0.71     848.40     0.66    20.16  -0.0352   0   Good 
23077021 EN136_r07c05_Dep00Ch23_F22/0/02/0    53.54     0.71     994.10     0.82    22.49  -0.0277   0   Good 
23077021 EN155_r08c02_Dep00Ch24_F22/0/00/3    70.23     0.71     779.43     0.69    19.27  -0.0394   0   Good 
23077021 EN156_r08c03_Dep00Ch25_F22/0/01/2    63.55     0.71     711.52     0.62    17.76  -0.0453   0   Good 
23077021 EN157_r08c04_Dep00Ch26_F22/0/01/3    60.69     0.70     795.25     0.61    17.70  -0.0406   0   Good 
23077021 EN158_r08c05_Dep00Ch27_F22/0/02/2    41.71     0.70    1036.39     0.74    20.21  -0.0287   0   Good 
23077021 EN177_r09c02_Dep00Ch28_F05/0/00/1    85.17     0.71     651.25     0.54    16.03  -0.0522   0   Good 
