run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23074032 EN023_r02c02_Dep00Ch00_F20/0/00/3    60.09     0.67    1024.37     0.71    21.59  -0.0277   0   Good 
23074032 EN024_r02c03_Dep00Ch01_F20/0/01/2    40.95     0.68    1019.29     0.79    22.00  -0.0275   0   Good 
23074032 EN025_r02c04_Dep00Ch02_F20/0/01/3    60.76     0.64    1151.75     0.81    23.03  -0.0234   0   Good 
23074032 EN026_r02c05_Dep00Ch03_F20/0/02/2    46.97     0.68    1232.69     0.84    23.48  -0.0215   0   Good 
23074032 EN045_r03c02_Dep00Ch04_F00/0/00/1    95.42     0.67     987.22     0.82    22.28  -0.0281   0   Good 
23074032 EN046_r03c03_Dep00Ch05_F00/0/01/0    54.63     0.66    1111.58     0.75    22.11  -0.0251   0   Good 
23074032 EN047_r03c04_Dep00Ch06_F00/0/01/1    59.74     0.67    1076.48     0.75    21.99  -0.0260   0   Good 
23074032 EN048_r03c05_Dep00Ch07_F00/0/02/0    69.19     0.67    1149.39     0.94    23.89  -0.0227   0   Good 
23074032 EN067_r04c02_Dep00Ch08_F00/0/00/3    93.02     0.66     981.63     0.69    20.45  -0.0301   0   Good 
23074032 EN068_r04c03_Dep00Ch09_F00/0/01/2    68.95     0.67    1157.88     0.85    23.45  -0.0229   0   Good 
23074032 EN069_r04c04_Dep00Ch10_F00/0/01/3    57.71     0.66    1337.25     0.93    26.62  -0.0175   0   Good 
23074032 EN070_r04c05_Dep00Ch11_F00/0/02/2    85.98     0.68    1152.36     0.86    24.28  -0.0223   0   Good 
23074032 EN089_r05c02_Dep00Ch12_F01/0/00/1    63.48     0.71    1238.13     0.81    24.00  -0.0210   0   Good 
23074032 EN090_r05c03_Dep00Ch13_F01/0/01/0    58.25     0.70     924.91     0.76    21.45  -0.0309   0   Good 
23074032 EN091_r05c04_Dep00Ch14_F01/0/01/1    63.22     0.63    1050.90     0.70    20.59  -0.0280   0   Good 
23074032 EN092_r05c05_Dep00Ch15_F01/0/02/0    58.27     0.68    1147.05     0.79    23.34  -0.0232   0   Good 
23074032 EN111_r06c02_Dep00Ch16_F01/0/00/3    87.13     0.72    1210.00     0.93    26.26  -0.0196   0   Good 
23074032 EN112_r06c03_Dep00Ch17_F01/0/01/2    52.90     0.71     954.58     0.70    20.40  -0.0310   0   Good 
23074032 EN113_r06c04_Dep00Ch18_F01/0/01/3    81.36     0.70     929.47     0.72    20.17  -0.0321   0   Good 
23074032 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.95     0.71    1207.86     0.81    24.42  -0.0212   0   Good 
