run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23067047 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.02     0.78    1807.16     1.36    38.77  -0.0062   0   Good 
23067047 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.81     0.77    1775.59     1.21    36.24  -0.0078   0   Good 
23067047 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.61     0.74    2023.56     1.37    40.59  -0.0046   0   Good 
23067047 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.87     0.77    2197.00     1.42    41.36  -0.0039   0   Good 
23067047 EN045_r03c02_Dep00Ch04_F00/0/00/1    96.81     0.78    1616.03     1.24    34.24  -0.0098   0   Good 
23067047 EN046_r03c03_Dep00Ch05_F00/0/01/0    55.93     0.76    1832.05     1.16    35.21  -0.0081   0   Good 
23067047 EN047_r03c04_Dep00Ch06_F00/0/01/1    62.56     0.74    1766.78     1.24    35.13  -0.0084   0   Good 
23067047 EN048_r03c05_Dep00Ch07_F00/0/02/0    69.91     0.75    1956.09     1.36    39.89  -0.0052   0   Good 
23067047 EN067_r04c02_Dep00Ch08_F00/0/00/3    91.61     0.72    1597.39     1.12    32.64  -0.0109   0   Good 
23067047 EN068_r04c03_Dep00Ch09_F00/0/01/2    69.71     0.78    1915.38     1.32    37.92  -0.0063   0   Good 
23067047 EN069_r04c04_Dep00Ch10_F00/0/01/3    58.52     0.76    2200.81     1.51    41.33  -0.0039   0   Good 
23067047 EN070_r04c05_Dep00Ch11_F00/0/02/2    86.75     0.77    1945.75     1.46    40.63  -0.0048   0   Good 
23067047 EN089_r05c02_Dep00Ch12_F01/0/00/1    63.87     0.83    1961.43     1.44    38.73  -0.0057   0   Good 
23067047 EN090_r05c03_Dep00Ch13_F01/0/01/0    58.98     0.80    1483.47     1.19    32.93  -0.0115   0   Good 
23067047 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.47     0.75    1725.25     1.09    33.64  -0.0095   0   Good 
23067047 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.26     0.79    1896.83     1.35    36.40  -0.0072   0   Good 
23067047 EN111_r06c02_Dep00Ch16_F01/0/00/3    87.53     0.80    1871.34     1.72    42.47  -0.0040   0   Good 
23067047 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.12     0.81    1552.57     1.22    34.84  -0.0098   0   Good 
23067047 EN113_r06c04_Dep00Ch18_F01/0/01/3    82.79     0.81    1493.53     0.99    30.99  -0.0127   0   Good 
23067047 EN114_r06c05_Dep00Ch19_F01/0/02/2    49.89     0.79    1975.09     1.47    39.82  -0.0052   0   Good 
23067047 EN133_r07c02_Dep00Ch20_F22/0/00/1    54.33     0.76    1350.73     1.13    32.75  -0.0128   0   Good 
23067047 EN134_r07c03_Dep00Ch21_F22/0/01/0    81.41     0.77    1089.62     0.83    25.77  -0.0222   0   Good 
23067047 EN135_r07c04_Dep00Ch22_F22/0/01/1    61.79     0.78    1244.86     0.99    29.18  -0.0167   0   Good 
23067047 EN136_r07c05_Dep00Ch23_F22/0/02/0    54.35     0.79    1504.92     1.20    33.32  -0.0111   0   Good 
23067047 EN155_r08c02_Dep00Ch24_F22/0/00/3    70.93     0.75    1090.99     0.87    26.77  -0.0213   0   Good 
23067047 EN156_r08c03_Dep00Ch25_F22/0/01/2    65.64     0.79    1049.69     0.87    25.81  -0.0230   0   Good 
23067047 EN157_r08c04_Dep00Ch26_F22/0/01/3    62.12     0.78    1162.63     0.85    26.19  -0.0205   0   Good 
23067047 EN158_r08c05_Dep00Ch27_F22/0/02/2    42.71     0.75    1587.27     0.97    30.96  -0.0120   0   Good 
23067047 EN177_r09c02_Dep00Ch28_F05/0/00/1    85.33     0.77     781.63     0.66    19.43  -0.0391   0   Good 
23067047 EN178_r09c03_Dep00Ch29_F05/0/01/0    63.35     0.78    1135.92     0.86    25.58  -0.0215   0   Good 
23067047 EN179_r09c04_Dep00Ch30_F05/0/01/1    92.51     0.78    1407.22     0.88    27.40  -0.0161   0   Good 
23067047 EN180_r09c05_Dep00Ch31_F05/0/02/0    76.92     0.82    1543.73     0.99    30.12  -0.0129   0   Good 
23067047 EN027_r02c06_Dep01Ch00_F20/0/02/3    84.28     0.71    1698.36     1.46    40.35  -0.0057   0   Good 
23067047 EN028_r02c07_Dep01Ch01_F20/0/03/2    71.47     0.71    1421.73     1.15    32.62  -0.0122   0   Good 
23067047 EN029_r02c08_Dep01Ch02_F20/0/03/3    93.28     0.70    1611.44     1.21    35.34  -0.0091   0   Good 
23067047 EN030_r02c09_Dep01Ch03_F20/0/04/2    50.63     0.69    1854.38     1.38    39.33  -0.0058   0   Good 
23067047 EN049_r03c06_Dep01Ch04_F00/0/02/1    56.11     0.71    1979.12     1.46    42.49  -0.0038   0   Good 
23067047 EN050_r03c07_Dep01Ch05_F00/0/03/0    95.33     0.70    1453.46     1.25    35.43  -0.0100   0   Good 
23067047 EN051_r03c08_Dep01Ch06_F00/0/03/1    72.34     0.73    1574.99     1.28    35.74  -0.0091   0   Good 
23067047 EN052_r03c09_Dep01Ch07_F00/0/04/0    79.99     0.73    1732.59     1.25    37.91  -0.0070   0   Good 
23067047 EN071_r04c06_Dep01Ch08_F00/0/02/3   111.31     0.73    1741.05     1.29    38.61  -0.0065   0   Good 
23067047 EN072_r04c07_Dep01Ch09_F00/0/03/2    95.79     0.73    1558.88     1.24    36.87  -0.0084   0   Good 
23067047 EN073_r04c08_Dep01Ch10_F00/0/03/3    74.47     0.71    1664.58     1.28    36.47  -0.0081   0   Good 
23067047 EN074_r04c09_Dep01Ch11_F00/0/04/2    71.55     0.75    1640.45     1.21    35.66  -0.0087   0   Good 
23067047 EN093_r05c06_Dep01Ch12_F01/0/02/1    64.41     0.75    1785.32     1.57    42.42  -0.0042   0   Good 
23067047 EN094_r05c07_Dep01Ch13_F01/0/03/0    80.23     0.74    1154.00     1.02    29.56  -0.0177   0   Good 
23067047 EN095_r05c08_Dep01Ch14_F01/0/03/1    65.02     0.76    1269.93     1.00    29.05  -0.0165   0   Good 
23067047 EN096_r05c09_Dep01Ch15_F01/0/04/0    73.85     0.72    1704.21     1.35    37.16  -0.0075   0   Good 
23067047 EN115_r06c06_Dep01Ch16_F01/0/02/3    83.85     0.76    1722.80     1.27    37.06  -0.0075   0   Good 
23067047 EN116_r06c07_Dep01Ch17_F01/0/03/2    57.06     0.78    1256.10     1.11    30.63  -0.0154   0   Good 
23067047 EN117_r06c08_Dep01Ch18_F01/0/03/3    79.19     0.68    1584.74     1.28    36.14  -0.0087   0   Good 
23067047 EN118_r06c09_Dep01Ch19_F01/0/04/2    40.80     0.75    1814.88     1.45    40.14  -0.0054   0   Good 
23067047 EN137_r07c06_Dep01Ch20_F22/0/02/1    71.84     0.73    1525.45     1.29    34.45  -0.0102   0   Good 
23067047 EN138_r07c07_Dep01Ch21_F22/0/03/0    76.19     0.74    1750.42     1.25    35.94  -0.0080   0   Good 
23067047 EN139_r07c08_Dep01Ch22_F22/0/03/1    54.91     0.78    2241.18     1.71    43.95  -0.0027   0   Good 
23067047 EN140_r07c09_Dep01Ch23_F22/0/04/0   120.11     0.75    1812.83     1.37    39.09  -0.0060   0   Good 
23067047 EN159_r08c06_Dep01Ch24_F22/0/02/3   100.98     0.69    1785.11     1.25    34.32  -0.0088   0   Good 
23067047 EN160_r08c07_Dep01Ch25_F22/0/03/2   104.56     0.67    1758.57     1.27    35.64  -0.0082   0   Good 
23067047 EN161_r08c08_Dep01Ch26_F22/0/03/3   107.35     0.75    2165.54     1.30    38.65  -0.0052   0   Good 
23067047 EN162_r08c09_Dep01Ch27_F22/0/04/2    49.21     0.86    1746.14     1.15    35.11  -0.0085   0   Good 
23067047 EN181_r09c06_Dep01Ch28_F05/0/02/1    70.31     0.77    1816.82     1.16    33.90  -0.0089   0   Good 
23067047 EN182_r09c07_Dep01Ch29_F05/0/03/0    91.46     0.77    1997.68     1.12    35.08  -0.0075   0   Good 
23067047 EN183_r09c08_Dep01Ch30_F05/0/03/1    79.72     0.72    2097.12     1.20    37.44  -0.0060   0   Good 
23067047 EN184_r09c09_Dep01Ch31_F05/0/04/0    39.72     0.80    1784.58     1.20    35.73  -0.0080   0   Good 
23067047 EN031_r02c10_Dep02Ch00_F20/0/04/3    91.01     0.69    1637.79     1.18    35.69  -0.0087   0   Good 
23067047 EN032_r02c11_Dep02Ch01_F20/0/05/2    26.81     0.71    1370.15     0.89    28.15  -0.0159   0   Good 
