run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23066062 EN023_r02c02_Dep00Ch00_F20/0/00/3    60.90     0.79    1803.59     1.37    39.10  -0.0060   0   Good 
23066062 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.86     0.75    1772.04     1.38    39.49  -0.0059   0   Good 
23066062 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.80     0.72    2021.23     1.50    43.39  -0.0033   0   Good 
23066062 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.36     0.78    2198.29     1.54    43.82  -0.0028   0   Good 
23066062 EN045_r03c02_Dep00Ch04_F00/0/00/1    96.29     0.77    1617.36     1.23    36.50  -0.0083   0   Good 
23066062 EN046_r03c03_Dep00Ch05_F00/0/01/0    55.01     0.74    1831.46     1.34    38.34  -0.0064   0   Good 
23066062 EN047_r03c04_Dep00Ch06_F00/0/01/1    59.96     0.75    1769.82     1.39    38.89  -0.0063   0   Good 
23066062 EN048_r03c05_Dep00Ch07_F00/0/02/0    69.76     0.75    1970.30     1.46    41.51  -0.0043   0   Good 
23066062 EN067_r04c02_Dep00Ch08_F00/0/00/3    88.97     0.73    1604.80     1.23    35.22  -0.0092   0   Good 
23066062 EN068_r04c03_Dep00Ch09_F00/0/01/2    69.42     0.76    1915.74     1.57    41.12  -0.0046   0   Good 
23066062 EN069_r04c04_Dep00Ch10_F00/0/01/3    57.74     0.74    2205.38     1.70    43.71  -0.0029   0   Good 
23066062 EN070_r04c05_Dep00Ch11_F00/0/02/2    86.59     0.75    1950.98     1.56    42.51  -0.0038   0   Good 
23066062 EN089_r05c02_Dep00Ch12_F01/0/00/1    64.93     0.81    1965.12     1.45    42.25  -0.0039   0   Good 
23066062 EN090_r05c03_Dep00Ch13_F01/0/01/0    58.78     0.80    1484.15     1.24    35.14  -0.0100   0   Good 
23066062 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.29     0.74    1729.95     1.16    35.66  -0.0083   0   Good 
23066062 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.72     0.78    1899.58     1.36    39.21  -0.0057   0   Good 
23066062 EN111_r06c02_Dep00Ch16_F01/0/00/3    88.24     0.83    1871.88     1.77    44.44  -0.0030   0   Good 
23066062 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.26     0.81    1556.64     1.21    35.84  -0.0091   0   Good 
23066062 EN113_r06c04_Dep00Ch18_F01/0/01/3    83.07     0.79    1494.69     1.19    33.67  -0.0109   0   Good 
23066062 EN114_r06c05_Dep00Ch19_F01/0/02/2    49.95     0.80    1979.79     1.40    42.06  -0.0040   0   Good 
23066062 EN133_r07c02_Dep00Ch20_F22/0/00/1    53.83     0.78    1358.70     1.33    33.94  -0.0118   0   Good 
23066062 EN134_r07c03_Dep00Ch21_F22/0/01/0    81.28     0.75    1100.70     0.91    27.67  -0.0203   0   Good 
23066062 EN135_r07c04_Dep00Ch22_F22/0/01/1    61.63     0.79    1258.37     0.96    29.11  -0.0166   0   Good 
23066062 EN136_r07c05_Dep00Ch23_F22/0/02/0    54.18     0.77    1518.24     1.23    34.80  -0.0100   0   Good 
23066062 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.26     0.75    1099.25     0.97    27.82  -0.0202   0   Good 
23066062 EN156_r08c03_Dep00Ch25_F22/0/01/2    64.63     0.77    1061.45     0.93    27.41  -0.0213   0   Good 
23066062 EN157_r08c04_Dep00Ch26_F22/0/01/3    61.25     0.77    1177.04     0.89    26.93  -0.0196   0   Good 
23066062 EN158_r08c05_Dep00Ch27_F22/0/02/2    42.92     0.75    1601.78     1.15    31.57  -0.0115   0   Good 
23066062 EN177_r09c02_Dep00Ch28_F05/0/00/1    84.89     0.75     796.09     0.71    21.19  -0.0362   0   Good 
23066062 EN178_r09c03_Dep00Ch29_F05/0/01/0    62.38     0.80    1145.29     0.88    26.62  -0.0204   0   Good 
23066062 EN179_r09c04_Dep00Ch30_F05/0/01/1    92.44     0.78    1417.31     1.02    29.93  -0.0142   0   Good 
23066062 EN180_r09c05_Dep00Ch31_F05/0/02/0    76.61     0.83    1555.56     1.08    31.64  -0.0118   0   Good 
23066062 EN027_r02c06_Dep01Ch00_F20/0/02/3    84.96     0.72    1694.69     1.73    42.67  -0.0043   0   Good 
23066062 EN028_r02c07_Dep01Ch01_F20/0/03/2    70.76     0.70    1417.49     1.19    35.45  -0.0103   0   Good 
23066062 EN029_r02c08_Dep01Ch02_F20/0/03/3    93.10     0.70    1608.26     1.22    35.75  -0.0089   0   Good 
23066062 EN030_r02c09_Dep01Ch03_F20/0/04/2    50.18     0.69    1847.62     1.32    40.41  -0.0052   0   Good 
23066062 EN049_r03c06_Dep01Ch04_F00/0/02/1    55.70     0.71    1983.58     1.89    45.67  -0.0022   0   Good 
23066062 EN050_r03c07_Dep01Ch05_F00/0/03/0    94.37     0.69    1453.60     1.41    37.25  -0.0088   0   Good 
23066062 EN051_r03c08_Dep01Ch06_F00/0/03/1    72.18     0.72    1574.17     1.35    37.98  -0.0076   0   Good 
23066062 EN052_r03c09_Dep01Ch07_F00/0/04/0    79.94     0.71    1726.56     1.36    37.86  -0.0070   0   Good 
23066062 EN071_r04c06_Dep01Ch08_F00/0/02/3   116.43     0.71    1740.46     1.43    39.34  -0.0061   0   Good 
23066062 EN072_r04c07_Dep01Ch09_F00/0/03/2    95.33     0.73    1557.24     1.46    38.85  -0.0072   0   Good 
23066062 EN073_r04c08_Dep01Ch10_F00/0/03/3    74.28     0.70    1664.56     1.48    39.33  -0.0064   0   Good 
23066062 EN074_r04c09_Dep01Ch11_F00/0/04/2    70.99     0.73    1634.75     1.32    37.15  -0.0079   0   Good 
23066062 EN093_r05c06_Dep01Ch12_F01/0/02/1    63.79     0.72    1787.30     1.63    44.64  -0.0030   0   Good 
23066062 EN094_r05c07_Dep01Ch13_F01/0/03/0    80.65     0.75    1158.35     1.08    31.02  -0.0164   0   Good 
23066062 EN095_r05c08_Dep01Ch14_F01/0/03/1    65.47     0.76    1275.54     1.05    31.43  -0.0146   0   Good 
23066062 EN096_r05c09_Dep01Ch15_F01/0/04/0    73.19     0.71    1703.57     1.52    39.62  -0.0061   0   Good 
23066062 EN115_r06c06_Dep01Ch16_F01/0/02/3    82.91     0.74    1725.59     1.48    39.97  -0.0058   0   Good 
23066062 EN116_r06c07_Dep01Ch17_F01/0/03/2    56.63     0.75    1258.16     1.09    31.78  -0.0145   0   Good 
23066062 EN117_r06c08_Dep01Ch18_F01/0/03/3    77.10     0.70    1593.71     1.33    38.60  -0.0072   0   Good 
23066062 EN118_r06c09_Dep01Ch19_F01/0/04/2    40.70     0.74    1810.18     1.66    42.59  -0.0041   0   Good 
23066062 EN137_r07c06_Dep01Ch20_F22/0/02/1    72.39     0.73    1537.38     1.40    36.16  -0.0090   0   Good 
23066062 EN138_r07c07_Dep01Ch21_F22/0/03/0    75.61     0.74    1753.56     1.30    38.15  -0.0068   0   Good 
23066062 EN139_r07c08_Dep01Ch22_F22/0/03/1    54.51     0.75    2247.46     1.61    45.69  -0.0019   0   Good 
23066062 EN140_r07c09_Dep01Ch23_F22/0/04/0   119.94     0.75    1814.28     1.60    42.56  -0.0041   0   Good 
23066062 EN159_r08c06_Dep01Ch24_F22/0/02/3    99.57     0.70    1801.20     1.39    38.89  -0.0062   0   Good 
23066062 EN160_r08c07_Dep01Ch25_F22/0/03/2   104.57     0.69    1755.61     1.25    36.67  -0.0076   0   Good 
23066062 EN161_r08c08_Dep01Ch26_F22/0/03/3   106.86     0.74    2167.87     1.64    43.17  -0.0032   0   Good 
