run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23086037 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.00     0.71    1009.37     0.75    21.51  -0.0282   0   Good 
23086037 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.28     0.69     992.97     0.67    20.66  -0.0295   0   Good 
23086037 EN025_r02c04_Dep00Ch02_F20/0/01/3    61.45     0.62    1120.53     0.73    22.10  -0.0249   0   Good 
23086037 EN026_r02c05_Dep00Ch03_F20/0/02/2    47.21     0.70    1215.71     0.84    23.30  -0.0220   0   Good 
23086037 EN045_r03c02_Dep00Ch04_F00/0/00/1    96.76     0.71     972.05     0.75    20.94  -0.0299   0   Good 
23086037 EN046_r03c03_Dep00Ch05_F00/0/01/0    55.14     0.67    1082.86     0.71    21.11  -0.0267   0   Good 
23086037 EN047_r03c04_Dep00Ch06_F00/0/01/1    62.00     0.69    1056.09     0.75    22.03  -0.0265   0   Good 
23086037 EN048_r03c05_Dep00Ch07_F00/0/02/0    70.32     0.69    1118.86     0.75    21.54  -0.0254   0   Good 
23086037 EN067_r04c02_Dep00Ch08_F00/0/00/3    91.76     0.67     962.39     0.65    19.77  -0.0314   0   Good 
23086037 EN068_r04c03_Dep00Ch09_F00/0/01/2    69.53     0.72    1138.60     0.81    24.02  -0.0228   0   Good 
23086037 EN069_r04c04_Dep00Ch10_F00/0/01/3    58.60     0.69    1315.25     0.83    25.11  -0.0189   0   Good 
23086037 EN070_r04c05_Dep00Ch11_F00/0/02/2    86.95     0.71    1122.42     0.78    23.02  -0.0240   0   Good 
23086037 EN089_r05c02_Dep00Ch12_F01/0/00/1    63.91     0.76    1205.97     0.80    23.02  -0.0224   0   Good 
23086037 EN090_r05c03_Dep00Ch13_F01/0/01/0    58.47     0.71     899.79     0.67    20.16  -0.0332   0   Good 
23086037 EN091_r05c04_Dep00Ch14_F01/0/01/1    63.67     0.63    1028.06     0.64    19.83  -0.0293   0   Good 
23086037 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.31     0.70    1110.11     0.76    22.71  -0.0246   0   Good 
23086037 EN111_r06c02_Dep00Ch16_F01/0/00/3    87.75     0.73    1162.02     0.92    25.25  -0.0213   0   Good 
23086037 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.02     0.70     935.85     0.67    19.62  -0.0325   0   Good 
23086037 EN113_r06c04_Dep00Ch18_F01/0/01/3    81.48     0.71     903.11     0.63    19.21  -0.0341   0   Good 
23086037 EN114_r06c05_Dep00Ch19_F01/0/02/2    50.06     0.72    1178.85     0.82    23.43  -0.0225   0   Good 
23086037 EN133_r07c02_Dep00Ch20_F22/0/00/1    54.42     0.72     902.19     0.70    20.82  -0.0323   0   Good 
23086037 EN134_r07c03_Dep00Ch21_F22/0/01/0    81.42     0.69     705.12     0.56    16.32  -0.0478   0   Good 
23086037 EN135_r07c04_Dep00Ch22_F22/0/01/1    61.93     0.73     820.33     0.61    19.09  -0.0377   0   Good 
23086037 EN136_r07c05_Dep00Ch23_F22/0/02/0    54.26     0.72     955.99     0.71    20.63  -0.0307   0   Good 
23086037 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.90     0.69     760.10     0.61    18.65  -0.0412   0   Good 
23086037 EN156_r08c03_Dep00Ch25_F22/0/01/2    64.97     0.71     700.60     0.60    17.36  -0.0466   0   Good 
23086037 EN157_r08c04_Dep00Ch26_F22/0/01/3    62.47     0.71     762.85     0.53    16.81  -0.0435   0   Good 
23086037 EN158_r08c05_Dep00Ch27_F22/0/02/2    42.80     0.68     996.47     0.64    20.02  -0.0301   0   Good 
23086037 EN177_r09c02_Dep00Ch28_F05/0/00/1    86.89     0.72     620.81     0.49    14.93  -0.0565   0   Good 
23086037 EN178_r09c03_Dep00Ch29_F05/0/01/0    63.47     0.73     770.25     0.56    16.83  -0.0431   0   Good 
23086037 EN179_r09c04_Dep00Ch30_F05/0/01/1    93.43     0.70     946.68     0.60    18.83  -0.0329   0   Good 
23086037 EN180_r09c05_Dep00Ch31_F05/0/02/0    76.47     0.75     972.19     0.61    18.71  -0.0322   0   Good 
23086037 EN027_r02c06_Dep01Ch00_F20/0/02/3    84.84     0.66     941.55     0.78    22.95  -0.0287   0   Good 
23086037 EN028_r02c07_Dep01Ch01_F20/0/03/2    71.72     0.64     790.05     0.67    19.47  -0.0386   0   Good 
23086037 EN029_r02c08_Dep01Ch02_F20/0/03/3    94.10     0.66     895.15     0.62    18.80  -0.0349   0   Good 
23086037 EN030_r02c09_Dep01Ch03_F20/0/04/2    52.29     0.65    1010.50     0.71    20.96  -0.0287   0   Good 
23086037 EN049_r03c06_Dep01Ch04_F00/0/02/1    55.41     0.67    1132.86     0.88    25.91  -0.0213   0   Good 
23086037 EN050_r03c07_Dep01Ch05_F00/0/03/0    95.28     0.64     816.39     0.79    20.23  -0.0365   0   Good 
23086037 EN051_r03c08_Dep01Ch06_F00/0/03/1    72.47     0.66     854.51     0.66    19.80  -0.0353   0   Good 
23086037 EN052_r03c09_Dep01Ch07_F00/0/04/0    80.17     0.64     943.60     0.63    20.14  -0.0316   0   Good 
23086037 EN071_r04c06_Dep01Ch08_F00/0/02/3   117.18     0.66     989.27     0.73    22.10  -0.0282   0   Good 
23086037 EN072_r04c07_Dep01Ch09_F00/0/03/2    95.68     0.66     886.20     0.69    20.60  -0.0332   0   Good 
23086037 EN073_r04c08_Dep01Ch10_F00/0/03/3    74.85     0.65     925.88     0.68    19.92  -0.0325   0   Good 
23086037 EN074_r04c09_Dep01Ch11_F00/0/04/2    72.49     0.67     898.74     0.69    20.04  -0.0333   0   Good 
23086037 EN093_r05c06_Dep01Ch12_F01/0/02/1    64.13     0.68    1051.13     0.94    24.86  -0.0239   0   Good 
23086037 EN094_r05c07_Dep01Ch13_F01/0/03/0    81.03     0.68     654.98     0.60    17.49  -0.0496   0   Good 
23086037 EN095_r05c08_Dep01Ch14_F01/0/03/1    65.60     0.66     727.17     0.59    17.53  -0.0447   0   Good 
23086037 EN096_r05c09_Dep01Ch15_F01/0/04/0    74.40     0.65     933.77     0.66    19.90  -0.0322   0   Good 
23086037 EN115_r06c06_Dep01Ch16_F01/0/02/3    83.31     0.67    1018.95     0.78    22.68  -0.0268   0   Good 
23086037 EN116_r06c07_Dep01Ch17_F01/0/03/2    56.82     0.69     722.19     0.59    17.98  -0.0443   0   Good 
23086037 EN117_r06c08_Dep01Ch18_F01/0/03/3    75.77     0.61     923.54     0.70    20.86  -0.0315   0   Good 
23086037 EN118_r06c09_Dep01Ch19_F01/0/04/2    41.20     0.68    1010.91     0.80    21.90  -0.0278   0   Good 
23086037 EN137_r07c06_Dep01Ch20_F22/0/02/1    72.93     0.66     973.53     0.71    21.26  -0.0295   0   Good 
23086037 EN138_r07c07_Dep01Ch21_F22/0/03/0    76.33     0.68    1031.79     0.84    21.28  -0.0278   0   Good 
23086037 EN139_r07c08_Dep01Ch22_F22/0/03/1    55.69     0.68    1314.69     0.92    25.12  -0.0189   0   Good 
23086037 EN140_r07c09_Dep01Ch23_F22/0/04/0   120.70     0.67    1028.93     0.80    22.12  -0.0271   0   Good 
23086037 EN159_r08c06_Dep01Ch24_F22/0/02/3   100.64     0.59    1123.64     0.70    21.57  -0.0253   0   Good 
23086037 EN160_r08c07_Dep01Ch25_F22/0/03/2   105.00     0.65    1048.00     0.72    20.74  -0.0279   0   Good 
23086037 EN161_r08c08_Dep01Ch26_F22/0/03/3   107.22     0.68    1262.92     0.82    22.67  -0.0216   0   Good 
23086037 EN162_r08c09_Dep01Ch27_F22/0/04/2    49.01     0.83     985.19     0.65    19.78  -0.0307   0   Good 
23086037 EN181_r09c06_Dep01Ch28_F05/0/02/1    69.75     0.71    1131.33     0.67    20.97  -0.0257   0   Good 
23086037 EN182_r09c07_Dep01Ch29_F05/0/03/0    92.77     0.70    1201.37     0.70    21.36  -0.0238   0   Good 
