run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
23101033 EN023_r02c02_Dep00Ch00_F20/0/00/3    61.40     0.70     992.79     0.81    21.60  -0.0286   0   Good 
23101033 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.66     0.70     986.12     0.76    21.41  -0.0290   0   Good 
23101033 EN025_r02c04_Dep00Ch02_F20/0/01/3    62.46     0.61    1105.94     0.84    23.62  -0.0239   0   Good 
23101033 EN026_r02c05_Dep00Ch03_F20/0/02/2    48.36     0.70    1191.57     0.81    24.19  -0.0217   0   Good 
23101033 EN045_r03c02_Dep00Ch04_F00/0/00/1    97.25     0.72     950.64     0.80    21.56  -0.0299   0   Good 
23101033 EN046_r03c03_Dep00Ch05_F00/0/01/0    56.50     0.69    1034.08     0.74    21.67  -0.0274   0   Good 
23101033 EN047_r03c04_Dep00Ch06_F00/0/01/1    64.30     0.68    1008.45     0.79    21.98  -0.0278   0   Good 
23101033 EN048_r03c05_Dep00Ch07_F00/0/02/0    69.94     0.68    1098.72     0.85    23.31  -0.0243   0   Good 
23101033 EN067_r04c02_Dep00Ch08_F00/0/00/3    92.45     0.66     933.74     0.67    20.15  -0.0320   0   Good 
23101033 EN068_r04c03_Dep00Ch09_F00/0/01/2    70.27     0.67    1093.54     0.79    23.09  -0.0246   0   Good 
23101033 EN069_r04c04_Dep00Ch10_F00/0/01/3    59.25     0.67    1263.54     0.84    25.01  -0.0198   0   Good 
23101033 EN070_r04c05_Dep00Ch11_F00/0/02/2    87.44     0.70    1098.89     0.87    24.10  -0.0236   0   Good 
23101033 EN089_r05c02_Dep00Ch12_F01/0/00/1    65.54     0.72    1174.64     0.80    23.32  -0.0227   0   Good 
23101033 EN090_r05c03_Dep00Ch13_F01/0/01/0    59.81     0.73     865.01     0.66    19.70  -0.0350   0   Good 
23101033 EN091_r05c04_Dep00Ch14_F01/0/01/1    64.48     0.70     995.99     0.68    20.58  -0.0295   0   Good 
23101033 EN092_r05c05_Dep00Ch15_F01/0/02/0    59.93     0.70    1093.22     0.79    22.02  -0.0256   0   Good 
23101033 EN111_r06c02_Dep00Ch16_F01/0/00/3    89.26     0.73    1132.13     1.16    26.54  -0.0207   0   Good 
23101033 EN112_r06c03_Dep00Ch17_F01/0/01/2    54.86     0.73     890.56     0.76    20.72  -0.0329   0   Good 
23101033 EN113_r06c04_Dep00Ch18_F01/0/01/3    82.59     0.70     853.33     0.70    19.60  -0.0356   0   Good 
23101033 EN114_r06c05_Dep00Ch19_F01/0/02/2    50.93     0.74    1143.86     0.87    23.54  -0.0231   0   Good 
23101033 EN133_r07c02_Dep00Ch20_F22/0/00/1    55.31     0.68     873.40     0.77    21.72  -0.0324   0   Good 
23101033 EN134_r07c03_Dep00Ch21_F22/0/01/0    82.65     0.71     677.18     0.60    16.73  -0.0491   0   Good 
