run      name                                   ped   pedrms        led   lederr   ledrms  rms/led   flags
22326011 EN023_r02c02_Dep00Ch00_F20/0/00/3    51.91     0.67    1258.81     1.32    42.04  -0.0063   0   Good 
22326011 EN024_r02c03_Dep00Ch01_F20/0/01/2    33.10     0.65    1222.15     1.29    41.21  -0.0072   0   Good 
22326011 EN025_r02c04_Dep00Ch02_F20/0/01/3    52.93     0.67    1388.89     1.32    41.90  -0.0058   0   Good 
22326011 EN026_r02c05_Dep00Ch03_F20/0/02/2    39.38     0.67    1516.62     1.39    44.99  -0.0033   0   Good 
22326011 EN045_r03c02_Dep00Ch04_F00/0/00/1    87.56     0.65    1220.13     1.25    40.09  -0.0081   0   Good 
22326011 EN046_r03c03_Dep00Ch05_F00/0/01/0    47.10     0.65    1371.27     1.36    42.84  -0.0052   0   Good 
22326011 EN047_r03c04_Dep00Ch06_F00/0/01/1    53.82     0.64    1348.66     1.36    43.73  -0.0046   0   Good 
22326011 EN048_r03c05_Dep00Ch07_F00/0/02/0    61.59     0.64    1421.77     1.36    43.91  -0.0043   0   Good 
22326011 EN067_r04c02_Dep00Ch08_F00/0/00/3    80.27     0.59    1225.18     1.26    40.20  -0.0080   0   Good 
22326011 EN068_r04c03_Dep00Ch09_F00/0/01/2    60.31     0.64    1451.27     1.42    44.31  -0.0039   0   Good 
22326011 EN069_r04c04_Dep00Ch10_F00/0/01/3    49.26     0.64    1668.58     1.42    46.03  -0.0024   0   Good 
22326011 EN070_r04c05_Dep00Ch11_F00/0/02/2    78.02     0.65    1434.33     1.36    42.26  -0.0054   0   Good 
22326011 EN089_r05c02_Dep00Ch12_F01/0/00/1    53.84     0.65    1541.59     1.37    44.02  -0.0039   0   Good 
22326011 EN090_r05c03_Dep00Ch13_F01/0/01/0    49.63     0.67    1112.76     1.15    37.13  -0.0116   0   Good 
22326011 EN091_r05c04_Dep00Ch14_F01/0/01/1    55.14     0.67    1283.01     1.22    39.27  -0.0084   0   Good 
22326011 EN092_r05c05_Dep00Ch15_F01/0/02/0    50.02     0.67    1436.49     1.37    43.16  -0.0048   0   Good 
22326011 EN111_r06c02_Dep00Ch16_F01/0/00/3    78.07     0.67    1492.40     1.47    46.98  -0.0020   0   Good 
22326011 EN112_r06c03_Dep00Ch17_F01/0/01/2    44.12     0.64    1174.89     1.19    38.66  -0.0096   0   Good 
22326011 EN113_r06c04_Dep00Ch18_F01/0/01/3    73.37     0.66    1121.95     1.18    37.73  -0.0109   0   Good 
22326011 EN114_r06c05_Dep00Ch19_F01/0/02/2    41.57     0.69    1506.14     1.31    43.48  -0.0043   0   Good 
22326011 EN133_r07c02_Dep00Ch20_F22/0/00/1    44.28     0.65    1197.72     1.24    40.12  -0.0083   0   Good 
22326011 EN134_r07c03_Dep00Ch21_F22/0/01/0    72.12     0.66     925.22     1.06    32.98  -0.0184   0   Good 
22326011 EN135_r07c04_Dep00Ch22_F22/0/01/1    52.19     0.66    1053.04     1.13    36.29  -0.0130   0   Good 
22326011 EN136_r07c05_Dep00Ch23_F22/0/02/0    44.85     0.66    1228.52     1.20    38.64  -0.0092   0   Good 
22326011 EN155_r08c02_Dep00Ch24_F22/0/00/3    61.69     0.64     969.73     1.05    33.50  -0.0170   0   Good 
22326011 EN156_r08c03_Dep00Ch25_F22/0/01/2    54.43     0.64     898.16     1.03    33.59  -0.0183   0   Good 
22326011 EN157_r08c04_Dep00Ch26_F22/0/01/3    51.86     0.64     980.20     1.11    35.33  -0.0150   0   Good 
22326011 EN158_r08c05_Dep00Ch27_F22/0/02/2    33.81     0.67    1283.92     1.21    39.48  -0.0082   0   Good 
22326011 EN177_r09c02_Dep00Ch28_F05/0/00/1    76.61     0.66     837.14     0.97    31.37  -0.0223   0   Good 
22326011 EN178_r09c03_Dep00Ch29_F05/0/01/0    52.80     0.67     992.01     1.04    33.26  -0.0169   0   Good 
